name,part_url,price,size,color,rpm,airflow,noise_level,pwm
NZXT Aer F,https://pcpartpicker.com/product/sKYWGX/nzxt-aer-f140-1034-cfm-140mm-fan-rf-af140-b1,29.98,140,Black,,"34.48,103.43","21,35",true
Deepcool RF 120 3-Pack,https://pcpartpicker.com/product/qgsmP6/deepcool-rf120-565-cfm-120-mm-fans-3-pack-rf-120-3-in-1,,120,Black / Clear,"500,1500",56.5,"17.8,27",true
Lian Li Uni Fan SL,https://pcpartpicker.com/product/ptxbt6/lian-li-uni-fan-sl-705-cfm-140-mm-fan-uf-sl140-1w,,140,White,"500,1500",70.5,30,true
Thermaltake CT,https://pcpartpicker.com/product/TCLp99/thermaltake-ct-1316-cfm-200-mm-fan-cl-f178-pl20wt-a,14.99,200,White,"500,900",131.6,27.2,true
ARCTIC P14 PWM PST A-RGB 3-Pack,https://pcpartpicker.com/product/nWqPxr/arctic-p14-pwm-pst-a-rgb-68-cfm-140-mm-fans-3-pack-acfan00257a,,140,Black,,"0,68",,true
Scythe Wonder Tornado 3-Pack,https://pcpartpicker.com/product/mXsMnQ/scythe-wonder-tornado-7517-cfm-120-mm-fans-3-pack-wt1225fd25x3-p,29.99,120,Black,"350,2500","7.68,75.17","3,35.57",true
Yeston SAKURA 3-Pack,https://pcpartpicker.com/product/QbXMnQ/yeston-sakura-79-cfm-120-mm-fans-3-pack-yt-120-sakuraf3,33.9,120,Blue / White,"800,1800",79,35.4,true
Cooler Master MasterFan MF Prismatic 3-Pack,https://pcpartpicker.com/product/YX2WGX/cooler-master-masterfan-mf-prismatic-55-cfm-120-mm-fans-3-pack-mfy-b2dn-203pa-r1,,120,Black / White,"650,2000",55,"8,27",true
Montech Metal Pro,https://pcpartpicker.com/product/pJtkcf/montech-metal-pro-762-cfm-120-mm-fan-metalpro12b,19.19,120,Black,"600,2200",76.2,29.1,true
Scythe Wonder Tornado,https://pcpartpicker.com/product/VxFCmG/scythe-wonder-tornado-7517-cfm-120-mm-fan-wt1225fd25-p,12.99,120,Black,"350,2500","7.68,75.17","3,35.57",true
Razer Kunai Chroma 3-Pack,https://pcpartpicker.com/product/GfGbt6/razer-kunai-chroma-81-cfm-140-mm-fans-3-pack-rc21-01810200-r3m1,166.94,140,Black,"500,1600","34.48,81","15,30",true
Thermalright TL-B8,https://pcpartpicker.com/product/2xxxFT/thermalright-tl-b8-34-cfm-80-mm-fan-tl-b8w-d6,,80,White,2200,34,24,true
KOLINK UMBRA VOID PRO,https://pcpartpicker.com/product/m2CZxr/kolink-umbra-void-pro-572-cfm-120-mm-fan-umbra-void-pro-120mm,,120,Black,"800,1800",57.2,"19.4,30",true
Razer Kunai Chroma,https://pcpartpicker.com/product/nnC48d/razer-kunai-chroma-655-cfm-120-mm-fan-rc21-01800100-r3m1,65.47,120,Black,"500,2200","17.48,65.5","15,35",true
be quiet! Silent Wings 4,https://pcpartpicker.com/product/mTfxFT/be-quiet-silent-wings-4-767-cfm-120-mm-fan-bl115,24.9,120,White,2500,76.7,31.2,true
Thermaltake TOUGHFAN EX12 Pro 3-Pack,https://pcpartpicker.com/product/PJ9wrH/thermaltake-toughfan-ex12-pro-708-cfm-120-mm-fans-3-pack-cl-f171-pl12bl-a,91.98,120,Black,"500,2000","64.21,70.8","22.6,29.8",true
Cooler Master Megaflow,https://pcpartpicker.com/product/4HCwrH/cooler-master-megaflow-110-cfm-200-mm-fan-r4-lus-07ar-gp,,200,Clear,700,110,19,false
Enermax T.B. RGB 6-Pack,https://pcpartpicker.com/product/3HRzK8/enermax-tb-rgb-4753-cfm-120-mm-fans-6-pack-uctbrgb12-bp6,,120,Black,"500,1500",47.53,22,true
DARKROCK R140,https://pcpartpicker.com/product/4LHp99/darkrock-r140-615-cfm-140-mm-fan-dr-fan-r140-bk,17.99,140,Black,"800,1800",61.5,29,true
Thermaltake CT120 EX ARGB Sync 3-Pack,https://pcpartpicker.com/product/tNvscf/thermaltake-ct120-ex-argb-sync-68-cfm-120-mm-fans-3-pack-cl-f220-pl12rg-a,59.99,120,Green / Black,"500,2000",68,28.5,true
Thermaltake SWAFAN EX12 RGB 3-Pack,https://pcpartpicker.com/product/6BZXsY/thermaltake-swafan-ex12-rgb-5711-cfm-120-mm-fans-3-pack-cl-f161-pl12sw-a,137.98,120,White,"500,2000","56.26,57.11","30.5,32.5",false
HYTE THICC FP12 3-Pack,https://pcpartpicker.com/product/8dP8TW/hyte-thicc-fp12-1058-cfm-120-mm-fans-3-pack-fan-hyte-fp12-bw-3,97.99,120,Black / White,,105.8,"10,47.3",true
Fractal Design Aspect 14 RGB PWM 3-Pack,https://pcpartpicker.com/product/zc4Ycf/fractal-design-aspect-14-rgb-pwm-78-cfm-140-mm-fans-3-pack-fd-f-as1-1407,55,140,Black,"500,1700","20,78","10,35.5",true
Noctua P12 PWM,https://pcpartpicker.com/product/Z7mLrH/noctua-case-fan-nfp12pwm,29.19,120,Brown,"900,1300",,"12.6,19.8",true
Xilence XPF120.ARGB,https://pcpartpicker.com/product/7xzXsY/xilence-xpf120argb-682-cfm-120-mm-fan-xf063,,120,Black,"500,1500",68.2,"18,32.5",true
be quiet! Shadow Wings 2,https://pcpartpicker.com/product/vFGnTW/be-quiet-385-cfm-120-mm-fan-bl089,14.9,120,White / Black,900,38.5,15.9,true
Thermaltake CT120 EX Reverse ARGB Sync 3-Pack,https://pcpartpicker.com/product/RmYRsY/thermaltake-ct120-ex-reverse-argb-sync-6582-cfm-120-mm-fans-3-pack-cl-f198-pl12mg-a,64.98,120,Green,"500,2000",65.82,31.2,true
Scythe Kaze Flex140 Square,https://pcpartpicker.com/product/pYcG3C/scythe-kaze-flex140-square-1008-cfm-140-mm-fan-kf1425fd18s-p,17.98,140,Gray / Black,"300,1800","16.8,100.8","4.19,26.45",true
be quiet! Pure Wings 3,https://pcpartpicker.com/product/KxkH99/be-quiet-pure-wings-3-499-cfm-120-mm-fan-bl104,11.9,120,Black,1600,49.9,25.5,false
Thermaltake TOUGHFAN EX14 Pro 3-Pack,https://pcpartpicker.com/product/JnvD4D/thermaltake-toughfan-ex14-pro-1196-cfm-140-mm-fans-3-pack-cl-f172-pl14bl-a,,140,Black,"500,2000","102.3,119.6","31.6,34.1",true
TRYX ROTA PRO,https://pcpartpicker.com/product/kqDQzy/tryx-rota-pro-8132-cfm-120-mm-fan-f-r120p-nn1m-g0w,31.99,120,White,"500,2250",81.32,30.97,true
darkFlash Aurora DR12 PRO 5-Pack,https://pcpartpicker.com/product/Hzxbt6/darkflash-aurora-dr12-pro-2034-cfm-fans-5-pack-dr12-pro-5in1,,120,Black,1200,20.34,16,false
Cooler Master SickleFlow,https://pcpartpicker.com/product/wL3RsY/cooler-master-case-fan-r4l2r20arr1,,120,Translucent Gray,2000,69.69,19,false
Corsair LL140,https://pcpartpicker.com/product/xYp323/corsair-ll140-rgb-led-515-cfm-140-mm-fan-co-9050073-ww,,140,Black,"600,1300",51.5,25,true
ARCTIC F12 PST 4-Pack,https://pcpartpicker.com/product/8QpzK8/arctic-f12-pst-53-cfm-120-mm-fans-4-pack-acfan00260a,,120,Black,"230,1350",53,22.5,true
Thermalright TL-C12015,https://pcpartpicker.com/product/9CZXsY/thermalright-tl-c12015-52-cfm-120-mm-fan-tl-c12015,,120,Gray,1500,52,24.1,true
ADATA XPG VENTO PRO,https://pcpartpicker.com/product/3DvdnQ/adata-xpg-vento-pro-75-cfm-120-mm-fan-ventopro120pwm-bkcww,,120,Gray / Black,"450,2150",75,"10,28",true
Noctua A15 HS-PWM chromax.black.swap,https://pcpartpicker.com/product/DKFXsY/noctua-nf-a15-hs-pwm-chromaxblackswap-825-cfm-140mm-fan-nf-a15-hs-pwm-chromaxblackswap,28.95,140,Multicolor,"300,1500",82.52,24.6,true
Phanteks M25-140 PWM 3-Pack,https://pcpartpicker.com/product/fVddnQ/phanteks-m25-140-pwm-10462-cfm-140-mm-fans-3-pack-ph-f140m25_pwm_bbk01_3p,58.01,140,Black,"500,1800",104.62,36.57,true
ARCTIC P8,https://pcpartpicker.com/product/pK3mP6/arctic-p8-234-cfm-80-mm-fan-acfan00147a,6.04,80,Black,3000,23.4,,false
Montech AIR FAN P120 2-Pack,https://pcpartpicker.com/product/Xv88TW/montech-air-fan-p120-73-cfm-120-mm-fans-2-pack-air-fan-p120,,120,Gray / Black,"600,1500",73,"10,27",true
Cooler Master MOBIUS 120,https://pcpartpicker.com/product/Pzt9TW/cooler-master-mobius-120-631-cfm-120-mm-fan-mfz-m2nn-21npk-r1,34.73,120,Black,,63.1,22.6,true
MSI MPG F120 ARGB-2W 2-Pack,https://pcpartpicker.com/product/2ZjRsY/msi-mpg-f120-argb-2w-5079-cfm-120-mm-fans-2-pack-mpg-f120-argb-2w,39.99,120,White,"600,1200",50.79,25.7,true
ENDORFY Fluctus,https://pcpartpicker.com/product/ftMMnQ/endorfy-fluctus-120-mm-fan-ey4a001,,120,Black,"250,1800",,,true
ARCTIC F12 PST 5-Pack,https://pcpartpicker.com/product/mCNxFT/arctic-f12-pst-53-cfm-120-mm-fans-5-pack-acfan00250a,,120,Black,"230,1350",53,22.5,true
Antec Fusion 120 ARGB 3-Pack,https://pcpartpicker.com/product/HhWzK8/antec-fusion-120-argb-5793-cfm-120-mm-fans-3-pack-0-761345-57010-7,,120,Black,"600,2000",57.93,"17.02,31.24",true
Thermaltake CT120 2-Pack,https://pcpartpicker.com/product/DD88TW/thermaltake-ct120-5705-cfm-120-mm-fans-2-pack-cl-f151-pl12wt-a,29.99,120,White,"500,2000",57.05,25.8,true
Super Flower MEGACOOL 3-Pack,https://pcpartpicker.com/product/k7Jp99/super-flower-megacool-17503-cfm-140-mm-fans-3-pack-sf-pf141-bk_3p,99.99,140,Black / Purple,"1800,2700","110.33,175.03","39.24,50.59",true
Fractal Design Silent R3,https://pcpartpicker.com/product/ZfH48d/fractal-design-case-fan-fdfanssr3120wt,,120,Black / White,1200,46.5,20.5,false
Phanteks M25-120 PWM D-RGB 3-Pack,https://pcpartpicker.com/product/62QcCJ/phanteks-m25-120-pwm-d-rgb-8426-cfm-120-mm-fans-3-pack-ph-f120m25_drgb_pwm_wt01_3p,,120,White,"500,2000",84.26,35.7,true
ARCTIC P14 Max,https://pcpartpicker.com/product/zWMMnQ/arctic-p14-max-95-cfm-140-mm-fan-acfan00304a,18.98,140,White,"400,2800",95,,true
Corsair iCUE AR120 Digital RGB 3-Pack,https://pcpartpicker.com/product/wcRwrH/corsair-icue-ar120-digital-rgb-59-cfm-120-mm-fans-3-pack-co-9050167-ww,,120,Black,"400,1850","10.7,59","10,27.3",true
ARCTIC P14,https://pcpartpicker.com/product/byjJ7P/arctic-p14-728-cfm-140-mm-fan-acfan00124a,,140,Black,"200,1700",72.8,22.5,true
be quiet! Pure Wings 3,https://pcpartpicker.com/product/3B7scf/be-quiet-pure-wings-3-574-cfm-140-mm-fan-bl107,14.9,140,Black,1200,57.4,21.9,false
Montech METAL 120 PWM,https://pcpartpicker.com/product/YVt9TW/montech-metal-120-pwm-69-cfm-120-mm-fan-metal-120-pwm,12.03,120,Black,"800,1950",69,26,true
ARCTIC P12 PWM PST A-RGB 0dB,https://pcpartpicker.com/product/YLZ9TW/arctic-p12-pwm-pst-a-rgb-0db-488-cfm-120-mm-fan-acfan00254a,59.99,120,White / Gray,,48.8,,true
Noctua S12A ULN,https://pcpartpicker.com/product/T4H323/noctua-case-fan-nfs12auln,65.88,120,Brown,"600,800",,"6.7,8.6",false
ID-COOLING NO-12015-XT ARGB,https://pcpartpicker.com/product/bgGbt6/id-cooling-no-12015-xt-argb-546-cfm-120-mm-fan-no-12015-xt-argb,18.99,120,Gray / Black,"500,2000",54.6,"13.8,31.2",true
Fractal Design Prisma AL,https://pcpartpicker.com/product/WDkH99/fractal-design-prisma-al-8571-cfm-120-mm-fan-fd-fan-pri-al12-pwm-wt,,120,White,"500,2000","20.68,85.71",,true
Thermalright TL-H12015,https://pcpartpicker.com/product/zBLp99/thermalright-tl-h12015-5636-cfm-120-mm-fan-tl-h12015b,8.9,120,Black,1900,56.36,28.4,true
Xigmatek XAF,https://pcpartpicker.com/product/yJckcf/xigmatek-case-fan-xaff1453,8.99,140,Orange,"800,1300",90.3,18,false
Corsair iCUE AF120 RGB SLIM,https://pcpartpicker.com/product/sbLdnQ/corsair-icue-af120-rgb-slim-563-cfm-120-mm-fan-co-9050162-ww,,120,Black,"600,2000","13.4,56.3",27.5,true
HAVN H12 3-Pack,https://pcpartpicker.com/product/h3MXsY/havn-h12-7244-cfm-120-mm-fans-3-pack-hvn-fs-h1230-01-tri,56.99,120,White,,72.44,32.2,true
Noctua P14s redux-900,https://pcpartpicker.com/product/rDrG3C/noctua-case-fan-nfp14sredux900,17.95,140,Black / Gray,900,49.26,13.2,false
Thermalright TL-B6B,https://pcpartpicker.com/product/CfYRsY/thermalright-tl-b6b-1617-cfm-60-mm-fan-tl-b6b,,60,Black,3200,16.17,20.17,true
BitFenix Spectre Pro,https://pcpartpicker.com/product/d8phP6/bitfenix-case-fan-bffspro23030kkrp,,230,Black,900,156.27,25.6,false
Zalman F3,https://pcpartpicker.com/product/LdNp99/zalman-case-fan-f3ledsf,,120,Clear,1200,,"20,23",false
Deepcool CF 3-Pack,https://pcpartpicker.com/product/FDMwrH/deepcool-cf120-565-cfm-120-mm-fans-3-pack-dp-fa-rgb-cf120-3,,120,,"500,1500",56.5,"17.8,27",true
Corsair AF120 (2018),https://pcpartpicker.com/product/2fTPxr/corsair-af120-led-2018-white-52-cfm-120mm-fan-co-9050079-ww,,120,Black / White,1400,52,26,false
Thermalright TL-9015,https://pcpartpicker.com/product/8QKscf/thermalright-tl-9015-4258-cfm-92-mm-fan-tl-9015b-d6,,92,Black,2700,42.58,22.4,true
DARKROCK R140,https://pcpartpicker.com/product/fTqNnQ/darkrock-r140-615-cfm-140-mm-fan-dr-fan-r140-wt,12.99,140,White,"800,1800",61.5,29,true
Geometric Future Squama 3805 3-Pack,https://pcpartpicker.com/product/GZn9TW/geometric-future-squama-3805-115-cfm-120-mm-fans-3-pack-geo-s3805b-3,71.1,120,Black,"700,2500",115,40,true
Alphacool Apex Stealth Metal,https://pcpartpicker.com/product/k7grxr/alphacool-apex-stealth-metal-47-cfm-120-mm-fan-13818,32.99,120,Silver / Black,"400,2000",47,24.6,true
KOLINK UMBRA VOID,https://pcpartpicker.com/product/8Pqrxr/kolink-umbra-void-41-cfm-120-mm-fan-umbra-void-120mm,,120,Black,1500,41,19.6,true
HAVN H12,https://pcpartpicker.com/product/JyRnTW/havn-h12-7244-cfm-120-mm-fan-hvn-fs-h1230-02,20.98,120,Black,,72.44,32.2,true
NZXT FN,https://pcpartpicker.com/product/jmw323/nzxt-fn-140rb-625-cfm-140-mm-fan-fn-140rb,6,140,White,1300,62.5,26.52,false
be quiet! Shadow Wings 2,https://pcpartpicker.com/product/pFjJ7P/be-quiet-bl085-385-cfm-120mm-fan-bl085,,120,Black,1100,38.5,15.9,true
Thermaltake CT140 EX ARGB Sync 3-Pack,https://pcpartpicker.com/product/QL4Pxr/thermaltake-ct140-ex-argb-sync-903-cfm-140-mm-fans-3-pack-cl-f222-pl14rg-a,85.98,140,Green / Black,"500,1800",90.3,30.7,true
GAMDIAS AEOLUS P2,https://pcpartpicker.com/product/c3GhP6/gamdias-aeolus-p2-7497-cfm-120-mm-fan-aeolus-p2-1201,27.99,120,Black,"1000,2400",74.97,,true
Scythe Kaze Flex 120,https://pcpartpicker.com/product/RtpzK8/scythe-kaze-flex-120-6647-cfm-120-mm-fan-kf1225fd15b-p,15.99,120,Black,"300,1500","16.6,66.47","4,29.75",true
Corsair ML120 2-Pack,https://pcpartpicker.com/product/CJyxFT/corsair-co-9050039-ww-750-cfm-120mm-fan-co-9050039-ww,,120,White / Black,"400,2400","12,75","16,37",true
Bitspower Notos 3-Pack,https://pcpartpicker.com/product/76kWGX/bitspower-notos-120-mm-fans-3-pack-bpta-fx1812nt-3,,120,Black / White,"800,1800",,"25,28",true
ENDORFY Stratus,https://pcpartpicker.com/product/DXKscf/endorfy-stratus-120-mm-fan-ey4a008,,120,Black,"200,1400",,,true
Thermalright TL-C12W-S V3,https://pcpartpicker.com/product/dNBzK8/thermalright-tl-c12w-s-v3-6617-cfm-120-mm-fan-tl-c12w-s-v3,6.99,120,White,1500,66.17,25.6,true
Alphacool Apex Stealth Metal,https://pcpartpicker.com/product/6LKscf/alphacool-apex-stealth-metal-7098-cfm-120-mm-fan-13856,29.99,120,Gold / Black,"400,3000",70.98,40.1,true
be quiet! Shadow Wings 2,https://pcpartpicker.com/product/gqtQzy/be-quiet-bl087-498-cfm-140mm-fan-bl087,41.05,140,Black,900,49.8,14.9,true
Fractal Design Aspect 12 RGB 3-Pack,https://pcpartpicker.com/product/xMwypg/fractal-design-aspect-12-rgb-32-cfm-120-mm-fans-3-pack-fd-f-as1-1206,65.34,120,Black,1200,32,18.3,false
Thermaltake Pure ARGB TT Premium Edition 3-Pack,https://pcpartpicker.com/product/nXx2FT/thermaltake-pure-12-argb-tt-premium-edition-5645-cfm-120-mm-fans-3-pack-cl-f079-pl12sw-a,,120,Black,"500,1500",56.45,25.8,true
Corsair ML Elite,https://pcpartpicker.com/product/9pcG3C/corsair-ml-elite-581-cfm-120-mm-fan-co-9050126-ww,38.94,120,White,"450,2000","14.86,58.1","10,30.4",true
Thermalright TL-8015,https://pcpartpicker.com/product/Wcgrxr/thermalright-tl-8015-284-cfm-80-mm-fan-tl-8015w,,80,White,2200,28.4,23.3,true
Geometric Future Squama 2503 3-Pack,https://pcpartpicker.com/product/Ttrqqs/geometric-future-squama-2503-6911-cfm-120-mm-fans-3-pack-geo-s2503b-3,49.9,120,Black,2000,69.11,29,true
NZXT F120Q (2022),https://pcpartpicker.com/product/F2stt6/nzxt-f120q-2022-64-cfm-120-mm-fan-rf-q12sf-w1,,120,White,"500,1200","27.77,64","16.7,22.5",true
Thermaltake TOUGHFAN 12 Pro 2-Pack,https://pcpartpicker.com/product/R4BzK8/thermaltake-toughfan-12-pro-708-cfm-120-mm-fans-2-pack-cl-f159-pl12bl-a,54.99,120,Black,"500,2000","49.13,70.8","18.3,22.6",true
Xilence XPF120.R.PWM,https://pcpartpicker.com/product/3xzXsY/xilence-xpf120rpwm-579-cfm-120-mm-fan-xf042,33.33,120,Red / Black,"500,1500",57.9,28,true
Thermaltake CT140 EX Reverse ARGB Sync 3-Pack,https://pcpartpicker.com/product/Trm2FT/thermaltake-ct140-ex-reverse-argb-sync-9495-cfm-140-mm-fans-3-pack-cl-f229-pl14pk-a,98.98,140,Pink,"500,1800",94.95,32.8,true
Corsair ML140 PRO 2-Pack,https://pcpartpicker.com/product/9jXnTW/corsair-ml140-pro-rgb-554-cfm-140-mm-fans-2-pack-co-9050078-ww,,140,Black / White,"400,1200",55.4,20.4,true
Corsair iCUE AF120 RGB SLIM 2-Pack,https://pcpartpicker.com/product/cXkH99/corsair-icue-af120-rgb-slim-563-cfm-120-mm-fans-2-pack-co-9050165-ww,,120,White,"600,2000","13.4,56.3",27.5,true
Xilence XPF80.W,https://pcpartpicker.com/product/tG88TW/xilence-xpf80w-218-cfm-80-mm-fan-xf034,,80,Black,1800,21.8,20,false
Delta Electronics FFB1212EH-F00,https://pcpartpicker.com/product/Px8Zxr/delta-electronics-ffb1212eh-f00-15033-cfm-120-mm-fan-ffb1212eh-f00,,120,Black,4000,150.33,56.4,false
Corsair SP120 2-Pack,https://pcpartpicker.com/product/bVtCmG/corsair-case-fan-co9050029ww,,120,Black / Red,1650,57.24,26.4,false
Corsair ML120 Pro,https://pcpartpicker.com/product/LkJkcf/corsair-co-9050040-ww-750-cfm-120mm-fan-co-9050040-ww,,120,Black,"400,2400","12,75","16,37",true
Thermalright TL-B14,https://pcpartpicker.com/product/pBzXsY/thermalright-tl-b14-825-cfm-140-mm-fan-tl-b14,,140,Gray,1500,82.5,27.6,true
NZXT Aer P,https://pcpartpicker.com/product/34yxFT/nzxt-aer-p140-982-cfm-140mm-fan-rf-ap140-fp,,140,Black,"500,1800","27.27,98.17","21,38",true
Mars Gaming MF-LINKFINITY,https://pcpartpicker.com/product/BVDnTW/mars-gaming-mf-linkfinity-69-cfm-120-mm-fan-mflinkfinity,32.46,120,Black,"800,2000",69,,true
be quiet! Light Wings LX 3-Pack,https://pcpartpicker.com/product/CxyH99/be-quiet-light-wings-lx-56-cfm-140-mm-fans-3-pack-bl127,54.9,140,Black,1200,56,22.9,true
HAVN H14,https://pcpartpicker.com/product/t7gZxr/havn-h14-8518-cfm-140-mm-fan-hvn-fs-h1430-01,21.98,140,White,,85.18,30.8,true
NoiseBlocker NB-ELOOP X ARGB,https://pcpartpicker.com/product/xHtKHx/noiseblocker-nb-eloop-x-argb-5809-cfm-120-mm-fan-itr-b12x-ps,37.6,120,White,,"0,58.09","0,21.2",true
Gigabyte AORUS EZ CHAIN FAN 120,https://pcpartpicker.com/product/KccBD3/gigabyte-aorus-ez-chain-fan-120-60-cfm-120-mm-fan-gp-ecfan1201-ice,17.53,120,White,"600,2000",60,"8.2,29",true
Phanteks PH-F140D30 3-Pack,https://pcpartpicker.com/product/hrWJ7P/phanteks-ph-f140d30-7193-cfm-140-mm-fans-3-pack-ph-f140d30_drgb_pwm_wt01_3p,126.99,140,White,"250,1800",71.93,29.5,true
Deepcool FT14,https://pcpartpicker.com/product/zk62FT/deepcool-ft14-7883-cfm-140-mm-fan-r-ft14-bkwpn1-g,,140,Black,"500,1650",78.83,25.1,true
Scythe Kaze Flex II Slim,https://pcpartpicker.com/product/Lfrqqs/scythe-kaze-flex-ii-slim-48-cfm-120-mm-fan-kfs1215fd18-p,14.95,120,Black,"300,1800","8.16,48","2.58,27.8",true
Deepcool FL12R 3-Pack,https://pcpartpicker.com/product/RB9nTW/deepcool-fl12r-55-cfm-120-mm-fans-3-pack-r-fl12r-whapn3-g,,120,White,"500,2150",55,32,true
Corsair ML140 Pro,https://pcpartpicker.com/product/D34NnQ/corsair-co-9050045-ww-970-cfm-140mm-fan-co-9050045-ww,,140,Black,"400,2000","20,97","16,37",true
Fractal Design Prisma AL,https://pcpartpicker.com/product/6sn9TW/fractal-design-prisma-al-10385-cfm-140-mm-fan-fd-fan-pri-al14-pwm-wt,,140,White,"500,1700","31.67,103.85","15.1,34.1",true
Apevia APEVIA CO512L-PK Cosmos 120mm Pink LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (5 Pack) 5-Pack,https://pcpartpicker.com/product/9nrYcf/apevia-apevia-co512l-pk-cosmos-120mm-pink-led-ultra-silent-case-fan-w-16-leds-anti-vibration-rubber-pads-5-pack-5667-cfm-120-mm-fans-5-pack-co512l-pk,19.98,120,,1350,"57.67,56.67",24.7,false
ADATA XPG HURRICANE,https://pcpartpicker.com/product/ZtpQzy/adata-xpg-hurricane-91-cfm-140-mm-fan-75261026,11.99,140,Black,"700,1800",91,28.1,true
Cooler Master SickleFlow 120 ARGB,https://pcpartpicker.com/product/39VG3C/cooler-master-sickleflow-120-argb-62-cfm-120-mm-fan-mfx-b2dw-18npa-r1,,120,White,"650,1800",62,"8,27",true
Cooler Master MasterFan MF200R ARGB,https://pcpartpicker.com/product/qkC48d/cooler-master-masterfan-mf200r-argb-903-cfm-200-mm-fan-r4-200r-08fa-r1,57.99,200,Black / Gray,800,90.3,28,false
Cooler Master Mobius OC,https://pcpartpicker.com/product/XHBzK8/cooler-master-mobius-oc-881-cfm-120-mm-fan-mfz-m2nn-32npk-r1,,120,Blue / Black,,"40.2,88.1","17.4,39.3",true
Thermalright TL-P9,https://pcpartpicker.com/product/8B9wrH/thermalright-tl-p9-3277-cfm-92-mm-fan-tl-p9w,9.9,92,White,2200,32.77,23.85,true
MSI MPG EZ120,https://pcpartpicker.com/product/K4fxFT/msi-mpg-ez120-7382-cfm-120-mm-fan-mpg-ez120-argb-white-1w,42.99,120,White,,"0,73.82","0,28.82",true
Fractal Design Momentum,https://pcpartpicker.com/product/B8zp99/fractal-design-momentum-7979-cfm-140-mm-fan-fd-f-mo1-1402,19.99,140,White,"350,1800",79.79,31.9,true
Cooler Master MasterFan SF120P,https://pcpartpicker.com/product/zGm323/cooler-master-masterfan-sf120p-argb-43-cfm-120-mm-fan-mfy-p2dn-24npa-r1,16.87,120,Black,"650,2000",43,"8,30",true
ID-COOLING TF-12025-ARGB-SNOW,https://pcpartpicker.com/product/6zQcCJ/id-cooling-tf-12025-argb-snow-682-cfm-120-mm-fan-tf-12025-argb-snow,,120,White,"500,1500",68.2,"13.8,30.5",true
NZXT Air Flow,https://pcpartpicker.com/product/gVkD4D/nzxt-case-fan-rffz140u1,12,140,Clear,1000,83.6,24.5,false
ID-COOLING AF-125,https://pcpartpicker.com/product/Nmhv6h/id-cooling-af-125-7825-cfm-120-mm-fan-af-125-k,,120,Black,"500,2000",78.25,29.85,true
ARCTIC F12,https://pcpartpicker.com/product/cXg323/arctic-cooling-case-fan-afaco120p2gba01,,120,White / Black,1350,53,22.5,true
Corsair ML140 2-Pack,https://pcpartpicker.com/product/dCdFf7/corsair-co-9050044-ww-970-cfm-140mm-fans-co-9050044-ww,,140,White / Black,"400,2000","20,97","16,37",true
Geometric Future Squama 2503R,https://pcpartpicker.com/product/TkkH99/geometric-future-squama-2503r-718-cfm-140-mm-fan-geo-s2503rw-14s,7.9,140,White,"800,2100",71.8,34,true
be quiet! Light Wings LX 3-Pack,https://pcpartpicker.com/product/DL6NnQ/be-quiet-light-wings-lx-755-cfm-140-mm-fans-3-pack-bl131,58.9,140,White,1800,75.5,30.5,true
Geometric Future Squama 2503R,https://pcpartpicker.com/product/BBQKHx/geometric-future-squama-2503r-718-cfm-140-mm-fan-geo-s2503rb-14s,17.9,140,Black,"800,2100",71.8,34,true
Noctua A14 ULN,https://pcpartpicker.com/product/qx8Zxr/noctua-case-fan-nfa14uln,35.4,140,Brown,"650,800",,"9.1,11.9",false
Corsair RS140 MAX 2-Pack,https://pcpartpicker.com/product/pQHqqs/corsair-rs140-max-104-cfm-140-mm-fans-2-pack-co-9050175-ww,91.98,140,Black,1600,"27.5,104",31,true
TRYX ROTA PRO,https://pcpartpicker.com/product/xTsV3C/tryx-rota-pro-8132-cfm-120-mm-fan-f-r120p-nn1m-g0k,,120,Black,"500,2250",81.32,30.97,true
DARKROCK F140,https://pcpartpicker.com/product/YDTFf7/darkrock-f140-615-cfm-140-mm-fan-dr-fan-f140-wt,14.99,140,White,"800,1800",61.5,29,true
be quiet! Silent Wings 2,https://pcpartpicker.com/product/HRDwrH/be-quiet-case-fan-bl060,,80,Black,2000,26,14.5,false
Geometric Future Squama 2503R,https://pcpartpicker.com/product/fTvD4D/geometric-future-squama-2503r-5767-cfm-120-mm-fan-geo-s2503rb-1,25.89,120,Black,1500,57.67,29.87,true
Thermalright TL-H12-X28,https://pcpartpicker.com/product/Zsh2FT/thermalright-tl-h12-x28-8045-cfm-120-mm-fan-tl-h12w-x28,,120,White,2150,80.45,29.4,true
Fractal Design Venturi HF-14,https://pcpartpicker.com/product/wzM323/fractal-design-case-fan-fdfanventhf14bk,,140,Black,1200,118.2,26.5,false
Thermaltake Riing,https://pcpartpicker.com/product/tmGj4D/thermaltake-case-fan-clf038pl12bua,21.98,120,Black / Blue,"1000,1500",40.6,"18.7,24.6",false
Thermaltake Riing Plus TT Premium Edition,https://pcpartpicker.com/product/VxTPxr/thermaltake-riing-plus-20-rgb-tt-premium-edition-11796-cfm-200-mm-fan-cl-f069-pl20sw-a,,200,Black,"500,1000",117.96,29.2,true
Lian Li Uni Fan AL,https://pcpartpicker.com/product/4tQcCJ/lian-li-uni-fan-al-645-cfm-120-mm-fan-uf-al120-1w,,120,White,"800,1900",64.5,"17,28.3",true
