name,part_url,price,size,color,rpm,airflow,noise_level,pwm
ARCTIC P12 Pro PST,https://pcpartpicker.com/product/NX3WGX/arctic-p12-pro-pst-77-cfm-120-mm-fan-acfan00306a,9.49,120,Black,"600,3000",77,,true
ARCTIC P12 Pro Reverse A-RGB 3-Pack,https://pcpartpicker.com/product/cXpD4D/arctic-p12-pro-reverse-a-rgb-73-cfm-120-mm-fans-3-pack-acfan00333a,28.99,120,Black,"500,3000",73,,true
Noctua P12 redux-1700 PWM,https://pcpartpicker.com/product/VNBTwP/noctua-nf-p12-redux-1700-pwm-708-cfm-120mm-fan-nf-p12-redux-1700-pwm,19.95,120,Gray,"450,1700",70.75,25.1,true
ARCTIC P12 Pro A-RGB,https://pcpartpicker.com/product/DfVfrH/arctic-p12-pro-a-rgb-77-cfm-120-mm-fan-acfan00309a,12.49,120,Black,"600,3000",77,,true
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/7vh2FT/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fans-3-pack-12rslin3b,216.45,120,Black,"200,2100",63.6,32,true
Corsair iCUE LINK RX120 3-Pack,https://pcpartpicker.com/product/8wfxFT/corsair-icue-link-rx120-742-cfm-120-mm-fans-3-pack-co-9051018-ww,107.99,120,Black / White,2100,"10.5,74.2","10,36",false
Thermalright TL-C12C-S X5 5-Pack,https://pcpartpicker.com/product/x3Kscf/thermalright-tl-c12c-s-x5-6617-cfm-120-mm-fans-5-pack-tl-c12c-s-x5,24.39,120,Black,1550,66.17,25.6,true
ARCTIC P14 Pro PST 5-Pack,https://pcpartpicker.com/product/Gsjv6h/arctic-p14-pro-pst-110-cfm-140-mm-fans-5-pack-acfan00319a,35.99,140,Black,"400,2500",110,,true
Corsair iCUE LINK LX120-R RGB 3-Pack,https://pcpartpicker.com/product/nJzXsY/corsair-icue-link-lx120-r-rgb-70-cfm-120-mm-fans-3-pack-co-9051050-ww,143.99,120,Black,2400,70,35.1,true
Lian Li UNI FAN TL 120 3-Pack,https://pcpartpicker.com/product/T7grxr/lian-li-uni-fan-tl-120-901-cfm-120-mm-fans-3-pack-12tl3w,210.49,120,White,"200,2600",90.1,33,false
be quiet! Silent Wings Pro 4,https://pcpartpicker.com/product/L8NxFT/be-quiet-silent-wings-pro-4-9741-cfm-140-mm-fan-bl099,33.81,140,Black,2400,97.41,36.8,true
Thermalright TL-M12QR X3 3-Pack,https://pcpartpicker.com/product/26Nscf/thermalright-tl-m12qr-x3-476-cfm-120-mm-fans-3-pack-tl-m12qr-x3,32.9,120,Black,1500,47.6,23.2,true
Fractal Design Prisma AL 3-Pack,https://pcpartpicker.com/product/bXYRsY/fractal-design-prisma-al-8571-cfm-120-mm-fans-3-pack-d-fan-pri-al12-pwm-3p,,120,White / Black,"500,2000","20.68,85.71",,true
Corsair RS120 ARGB,https://pcpartpicker.com/product/hk26Mp/corsair-rs120-argb-728-cfm-120-mm-fan-co-9050184-ww,19.98,120,White,"420,2100","13.3,72.8","10,36",true
Lian Li UNI FAN SL Wireless 3-Pack,https://pcpartpicker.com/product/DCsV3C/lian-li-uni-fan-sl-wireless-6405-cfm-120-mm-fans-3-pack-12sl1w3w,101.98,120,White,"400,2000",64.05,28.5,true
Thermalright TL-C12CW-S X3 3-Pack,https://pcpartpicker.com/product/XYPQzy/thermalright-tl-c12cw-s-x3-6617-cfm-120-mm-fans-3-pack-tl-c12cw-s-x3-d6,13.19,120,White,1550,66.17,25.6,true
Corsair iCUE LINK RX120 3-Pack,https://pcpartpicker.com/product/kPWJ7P/corsair-icue-link-rx120-742-cfm-120-mm-fans-3-pack-co-9051022-ww,84.98,120,White,2100,"10.5,74.2","10,36",false
NZXT F120 RGB Core,https://pcpartpicker.com/product/3HGhP6/nzxt-f120-rgb-core-7886-cfm-120-mm-fan-rf-c12sf-b1,19.98,120,Black,"500,1800",78.86,33.88,true
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/VDTFf7/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fans-3-pack-12rslin3w,167.71,120,White,"200,2100",63.6,32,true
Corsair iCUE LINK LX120 RGB 3-Pack,https://pcpartpicker.com/product/HdLdnQ/corsair-icue-link-lx120-rgb-699-cfm-120-mm-fans-3-pack-co-9051026-ww,99.99,120,Black,"400,2400","9.75,69.9","10,36",true
Noctua NF-A14x25 G2 PWM Sx2-PP 2-Pack,https://pcpartpicker.com/product/6GWJ7P/noctua-nf-a14x25-g2-pwm-sx2-pp-916-cfm-140-mm-fans-2-pack-nf-a14x25-g2-pwm-sx2-pp,89.95,140,Brown,"1250,1500","74.8,91.6","19.7,24.8",true
Noctua A14 PWM chromax.black.swap,https://pcpartpicker.com/product/sWM323/noctua-nf-a14-pwm-chromaxblackswap-825-cfm-140mm-fan-nf-a14-pwm-chromaxblackswap,28.95,140,Multicolor,"300,1500",82.52,24.6,true
Thermalright TL-C12C-S,https://pcpartpicker.com/product/BM7scf/thermalright-tl-c12c-s-6617-cfm-120-mm-fan-tl-c12c-s,7.9,120,Black,1550,66.17,25.6,true
Lian Li UNI FAN SL Wireless 3-Pack,https://pcpartpicker.com/product/wtV2FT/lian-li-uni-fan-sl-wireless-6405-cfm-120-mm-fans-3-pack-12sl1w3b,97.98,120,Black,"400,2000",64.05,28.5,true
be quiet! Pure Wings 3,https://pcpartpicker.com/product/QM26Mp/be-quiet-pure-wings-3-499-cfm-120-mm-fan-bl105,11.9,120,Black,1600,49.9,25.5,true
ARCTIC P12 PWM PST,https://pcpartpicker.com/product/68WfrH/arctic-p12-pwm-pst-563-cfm-120-mm-fan-acfan00120a,9.88,120,Black,"200,1800",56.3,,true
