name,part_url,price,type,efficiency,wattage,modular,color
Corsair SF850 (2024),https://pcpartpicker.com/product/ZsTZxr/corsair-sf850-2024-850-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020256,181.99,SFX,platinum,850,Full,Black
Cooler Master MWE GOLD 750 V2 FULL MODULAR,https://pcpartpicker.com/product/sscG3C/cooler-master-mwe-gold-v2-750-w-80-gold-certified-fully-modular-atx-power-supply-mpe-7501-afaag-us,106.99,ATX,gold,750,Full,Black
be quiet! Pure Power 13 M,https://pcpartpicker.com/product/PJpD4D/be-quiet-pure-power-13-m-1000-w-80-gold-certified-fully-modular-atx-power-supply-bp028us,149.9,ATX,gold,1000,Full,Black
Super Flower Leadex Titanium,https://pcpartpicker.com/product/YNBFf7/super-flower-leadex-titanium-2800-w-80-titanium-certified-fully-modular-atx-power-supply-sf-2800f14hp,941.99,ATX,titanium,2800,Full,Black
MSI MAG A650GLS PCIE5,https://pcpartpicker.com/product/DsgZxr/msi-mag-a650gls-pcie5-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gls-pcie5,99.99,ATX,gold,650,Full,Black
Corsair RM1000e (2025),https://pcpartpicker.com/product/9K2j4D/corsair-rm1000e-2025-1000-w-fully-modular-atx-power-supply-cp-9020294-na,212.99,ATX,,1000,Full,White
be quiet! Pure Power 13 M,https://pcpartpicker.com/product/yWJBD3/be-quiet-pure-power-13-m-750-w-80-gold-certified-fully-modular-atx-power-supply-bp026us,94.9,ATX,gold,750,Full,Black
SeaSonic PRIME PX-2200 ATX 3 (2024),https://pcpartpicker.com/product/kqxxFT/seasonic-prime-px-2200-atx-3-2024-2200-w-80-platinum-certified-fully-modular-atx-power-supply-atx3-prime-px-2200,,ATX,platinum,2200,Full,Black
Corsair CX650M (2021),https://pcpartpicker.com/product/x96p99/corsair-cx650m-2021-650-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020221-na,69.98,ATX,bronze,650,Semi,Black
be quiet! Pure Power 13 M,https://pcpartpicker.com/product/dbRnTW/be-quiet-pure-power-13-m-850-w-80-gold-certified-fully-modular-atx-power-supply-bp027us,107.9,ATX,gold,850,Full,Black
MSI MPG A850GS PCIE5,https://pcpartpicker.com/product/rGqNnQ/msi-mpg-a850gs-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a850gs-pcie5,118.99,ATX,gold,850,Full,Black
Corsair RM850x (2021),https://pcpartpicker.com/product/26rRsY/corsair-rm850x-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na,,ATX,gold,850,Full,Black
Thermaltake Toughpower GX2,https://pcpartpicker.com/product/pG6qqs/thermaltake-toughpower-gx2-600-w-80-gold-certified-atx-power-supply-ps-tpd-0600nnfagu-2,76.99,ATX,gold,600,false,Black
Thermaltake Smart,https://pcpartpicker.com/product/6RTrxr/thermaltake-smart-600-w-80-certified-atx-power-supply-ps-spd-0600npcwus-w,54.99,ATX,plus,600,false,
Corsair HX1200i (2025),https://pcpartpicker.com/product/ghjv6h/corsair-hx1200i-2025-1200-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020307-na,346.99,ATX,platinum,1200,Full,Black
Lian Li EDGE,https://pcpartpicker.com/product/WX4Zxr/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000-white,,ATX,platinum,1000,Full,White
MSI MAG A750BN PCIE5,https://pcpartpicker.com/product/bpvD4D/msi-mag-a750bn-pcie5-750-w-80-bronze-certified-atx-power-supply-mag-a750bn-pcie5,88.98,ATX,bronze,750,false,Black
Apevia CAPTAIN,https://pcpartpicker.com/product/rqmmP6/apevia-captain-550-w-atx-power-supply-captain550,31.99,ATX,,550,false,Black
Lian Li EDGE,https://pcpartpicker.com/product/ZCHqqs/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000,159.99,ATX,platinum,1000,Full,Black
MSI MAG A650GL,https://pcpartpicker.com/product/xfV2FT/msi-mag-a650gl-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gl,132.99,ATX,gold,650,Full,Black
Corsair RM850e (2025),https://pcpartpicker.com/product/K4ZWGX/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020293-na,134.99,ATX,,850,Full,White
Corsair RM750e (2025),https://pcpartpicker.com/product/q3Nscf/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020292-na,130.99,ATX,,750,Full,White
Apevia Galaxy,https://pcpartpicker.com/product/cN26Mp/apevia-galaxy-650-w-80-gold-certified-semi-modular-atx-power-supply-atx-gx650w,70.99,ATX,gold,650,Semi,Black
