name,part_url,price,socket,form_factor,max_memory,memory_slots,color
MSI B650 GAMING PLUS WIFI,https://pcpartpicker.com/product/szfxFT/msi-b650-gaming-plus-wifi-atx-am5-motherboard-b650-gaming-plus-wifi,246.95,AM5,ATX,192,4,Black
MSI MAG B850 TOMAHAWK MAX WIFI,https://pcpartpicker.com/product/vjpD4D/msi-mag-b850-tomahawk-max-wifi-atx-am5-motherboard-mag-b850-tomahawk-max-wifi,247,AM5,ATX,256,4,Black / Green
Asus B650E MAX GAMING WIFI W,https://pcpartpicker.com/product/QtnXsY/asus-b650e-max-gaming-wifi-w-atx-am5-motherboard-b650e-max-gaming-wifi-w,159.99,AM5,ATX,256,4,White
Asus PRIME B550M-A WIFI II,https://pcpartpicker.com/product/jQrRsY/asus-prime-b550m-a-wifi-ii-micro-atx-am4-motherboard-prime-b550m-a-wifi-ii,126.99,AM4,Micro ATX,128,4,Blue / Silver
Gigabyte B850 AORUS ELITE WIFI7,https://pcpartpicker.com/product/72RnTW/gigabyte-b850-aorus-elite-wifi7-atx-am5-motherboard-b850-aorus-elite-wifi7,252.38,AM5,ATX,256,4,Black
Asus TUF GAMING B850-PLUS WIFI,https://pcpartpicker.com/product/sRG2FT/asus-tuf-gaming-b850-plus-wifi-atx-am5-motherboard-tuf-gaming-b850-plus-wifi,210.33,AM5,ATX,256,4,Black / Silver
Asus TUF GAMING B650E-E WIFI,https://pcpartpicker.com/product/K8XMnQ/asus-tuf-gaming-b650e-e-wifi-atx-am5-motherboard-tuf-gaming-b650e-e-wifi,169.99,AM5,ATX,256,4,Black
Gigabyte B550 EAGLE WIFI6,https://pcpartpicker.com/product/fzNscf/gigabyte-b550-eagle-wifi6-atx-am4-motherboard-b550-eagle-wifi6,111.99,AM4,ATX,128,4,Black
Gigabyte A520M K V2,https://pcpartpicker.com/product/ZjCZxr/gigabyte-a520m-k-v2-micro-atx-am4-motherboard-a520m-k-v2,77,AM4,Micro ATX,64,2,Brown / Black
Asus ROG STRIX B850-A GAMING WIFI,https://pcpartpicker.com/product/d4CCmG/asus-rog-strix-b850-a-gaming-wifi-atx-am5-motherboard-rog-strix-b850-a-gaming-wifi,258.99,AM5,ATX,192,4,White
MSI B550M PRO-VDH WIFI,https://pcpartpicker.com/product/PDsnTW/msi-b550m-pro-vdh-wifi-micro-atx-am4-motherboard-b550m-pro-vdh-wifi,125.99,AM4,Micro ATX,128,4,Black
ASRock B850M Pro-A WiFi,https://pcpartpicker.com/product/FFdMnQ/asrock-b850m-pro-a-wifi-micro-atx-am5-motherboard-b850m-pro-a-wifi,139.99,AM5,Micro ATX,256,4,Black
Gigabyte X870E AORUS ELITE WIFI7,https://pcpartpicker.com/product/pLtLrH/gigabyte-x870e-aorus-elite-wifi7-atx-am5-motherboard-x870e-aorus-elite-wifi7,321.99,AM5,ATX,256,4,Black
Asus Z790 GAMING WIFI7,https://pcpartpicker.com/product/ZMxxFT/asus-z790-gaming-wifi7-atx-lga1700-motherboard-z790-gaming-wifi7,149.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte B550M GAMING X WIFI6,https://pcpartpicker.com/product/sd9nTW/gigabyte-b550m-gaming-x-wifi6-micro-atx-am4-motherboard-b550m-gaming-x-wifi6,108.99,AM4,Micro ATX,128,4,Gray / Black
Gigabyte B650 EAGLE AX,https://pcpartpicker.com/product/CvcgXL/gigabyte-b650-eagle-ax-atx-am5-motherboard-b650-eagle-ax,164.99,AM5,ATX,192,4,Gray / Black
MSI MAG B550 TOMAHAWK MAX WIFI,https://pcpartpicker.com/product/MfZ9TW/msi-mag-b550-tomahawk-max-wifi-atx-am4-motherboard-mag-b550-tomahawk-max-wifi,180.38,AM4,ATX,128,4,Silver / Black
Asus ROG STRIX B550-F GAMING WIFI II,https://pcpartpicker.com/product/K4LFf7/asus-rog-strix-b550-f-gaming-wifi-ii-atx-am4-motherboard-strix-b550-f-gaming-wifi-ii,139.99,AM4,ATX,128,4,Black / Red
Asus ROG CROSSHAIR X870E EXTREME,https://pcpartpicker.com/product/NDkqqs/asus-rog-crosshair-x870e-extreme-eatx-am5-motherboard-rog-crosshair-x870e-extreme,1219.99,AM5,EATX,256,4,Black / Silver
Gigabyte B550M K,https://pcpartpicker.com/product/RH9wrH/gigabyte-b550m-k-micro-atx-am4-motherboard-b550m-k,93.99,AM4,Micro ATX,128,4,Brown / Silver
MSI MAG B650 TOMAHAWK WIFI,https://pcpartpicker.com/product/LwNxFT/msi-mag-b650-tomahawk-wifi-atx-am5-motherboard-mag-b650-tomahawk-wifi,189,AM5,ATX,256,4,Black
MSI MAG X870 TOMAHAWK WIFI,https://pcpartpicker.com/product/WzzXsY/msi-mag-x870-tomahawk-wifi-atx-am5-motherboard-mag-x870-tomahawk-wifi,271.99,AM5,ATX,256,4,Black
Gigabyte B650M GAMING PLUS WIFI,https://pcpartpicker.com/product/9HTZxr/gigabyte-b650m-gaming-plus-wifi-micro-atx-am5-motherboard-b650m-gaming-plus-wf,258.4,AM5,Micro ATX,192,4,Silver / Black
Gigabyte B760M GAMING PLUS WIFI DDR4,https://pcpartpicker.com/product/NMWJ7P/gigabyte-b760m-gaming-plus-wifi-ddr4-micro-atx-lga1700-motherboard-b760m-g-p-wifi-ddr4,159.99,LGA1700,Micro ATX,128,4,Black / Silver
ASRock B450M-HDV R4.0,https://pcpartpicker.com/product/RD97YJ/asrock-b450m-hdv-r40-micro-atx-am4-motherboard-b450m-hdv-r40,71.5,AM4,Micro ATX,64,2,Black / White
MSI PRO B760-P WIFI DDR4,https://pcpartpicker.com/product/yMGbt6/msi-pro-b760-p-wifi-ddr4-atx-lga1700-motherboard-pro-b760-p-wifi-ddr4,161.99,LGA1700,ATX,128,4,Black
Asus ROG STRIX X870E-E GAMING WIFI,https://pcpartpicker.com/product/MfNYcf/asus-rog-strix-x870e-e-gaming-wifi-atx-am5-motherboard-rog-strix-x870e-e-gaming-wifi,403.67,AM5,ATX,256,4,Black
ASRock B850I Lightning WiFi,https://pcpartpicker.com/product/9hqNnQ/asrock-b850i-lightning-wifi-mini-itx-am5-motherboard-b850i-lightning-wifi,210.99,AM5,Mini ITX,128,2,Black
Asus TUF GAMING B550-PLUS WIFI II,https://pcpartpicker.com/product/pLNxFT/asus-tuf-gaming-b550-plus-wifi-ii-atx-am4-motherboard-tuf-gaming-b550-plus-wifi-ii,143.99,AM4,ATX,128,4,Black / Gray
Gigabyte B850 GAMING X WIFI6E,https://pcpartpicker.com/product/9xYfrH/gigabyte-b850-gaming-x-wifi6e-atx-am5-motherboard-b850-gaming-x-wifi6e,201.99,AM5,ATX,256,4,Gray / Black
Gigabyte X870 AORUS ELITE WIFI7 ICE,https://pcpartpicker.com/product/HZtLrH/gigabyte-x870-aorus-elite-wifi7-ice-atx-am5-motherboard-x870-aorus-elite-wifi7-ice,271.49,AM5,ATX,256,4,White
ASRock B650M Pro RS,https://pcpartpicker.com/product/FcbRsY/asrock-b650m-pro-rs-micro-atx-am5-motherboard-b650m-pro-rs,99.99,AM5,Micro ATX,256,4,Black / Silver
Asus ROG STRIX X870-A GAMING WIFI,https://pcpartpicker.com/product/ybBzK8/asus-rog-strix-x870-a-gaming-wifi-atx-am5-motherboard-rog-strix-x870-a-gaming-wifi,243.99,AM5,ATX,256,4,White
Asus ROG STRIX B850-I GAMING WIFI,https://pcpartpicker.com/product/ysJBD3/asus-rog-strix-b850-i-gaming-wifi-mini-itx-am5-motherboard-rog-strix-b850-i-gaming-wifi,355.99,AM5,Mini ITX,96,2,Black
Gigabyte B550 UD AC,https://pcpartpicker.com/product/wjXV3C/gigabyte-b550-ud-ac-atx-am4-motherboard-b550-ud-ac,119.99,AM4,ATX,128,4,Brown / Black
Asus ROG ZENITH II EXTREME ALPHA,https://pcpartpicker.com/product/zcyqqs/asus-rog-zenith-ii-extreme-alpha-eatx-strx4-motherboard-rog-zenith-ii-extreme-alpha,,sTRX4,EATX,256,8,Black / Silver
ASRock B650M Pro RS WiFi,https://pcpartpicker.com/product/qcbRsY/asrock-b650m-pro-rs-wifi-micro-atx-am5-motherboard-b650m-pro-rs-wifi,146.99,AM5,Micro ATX,256,4,Black / Silver
Gigabyte A520I AC,https://pcpartpicker.com/product/s6tKHx/gigabyte-a520i-ac-mini-itx-am4-motherboard-a520i-ac,122.99,AM4,Mini ITX,64,2,Black
MSI MPG B550 GAMING PLUS,https://pcpartpicker.com/product/yKVG3C/msi-mpg-b550-gaming-plus-atx-am4-motherboard-mpg-b550-gaming-plus,132.98,AM4,ATX,128,4,Black
Gigabyte TRX40 DESIGNARE,https://pcpartpicker.com/product/z4NgXL/gigabyte-trx40-designare-xl-atx-strx4-motherboard-trx40-designare,,sTRX4,XL ATX,256,8,Black / Silver
Asus B760M-AYW WIFI D4 II,https://pcpartpicker.com/product/B8jv6h/asus-b760m-ayw-wifi-d4-ii-micro-atx-lga1700-motherboard-b760m-ayw-wifi-d4-ii,123.99,LGA1700,Micro ATX,64,2,Black / Silver
MSI PRO Z790-A MAX WIFI,https://pcpartpicker.com/product/CsvD4D/msi-pro-z790-a-max-wifi-atx-lga1700-motherboard-pro-z790-a-max-wifi,303.08,LGA1700,ATX,256,4,Silver / Black
Asus TUF GAMING B650-PLUS WIFI,https://pcpartpicker.com/product/Pz2WGX/asus-tuf-gaming-b650-plus-wifi-atx-am5-motherboard-tuf-gaming-b650-plus-wifi,137,AM5,ATX,128,4,Black
Gigabyte B550M AORUS ELITE AX,https://pcpartpicker.com/product/YhtLrH/gigabyte-b550m-aorus-elite-ax-micro-atx-am4-motherboard-b550m-aorus-elite-ax,119.99,AM4,Micro ATX,128,4,Black / Silver
Asus TUF GAMING B650E-PLUS WIFI,https://pcpartpicker.com/product/6mCCmG/asus-tuf-gaming-b650e-plus-wifi-atx-am5-motherboard-tuf-gaming-b650e-plus-wifi,213.99,AM5,ATX,256,4,Black / Silver
Asus ROG STRIX B850-F GAMING WIFI,https://pcpartpicker.com/product/9hy8TW/asus-rog-strix-b850-f-gaming-wifi-atx-am5-motherboard-rog-strix-b850-f-gaming-wifi,310,AM5,ATX,192,4,Black
Gigabyte B650 GAMING X AX V2,https://pcpartpicker.com/product/cPNYcf/gigabyte-b650-gaming-x-ax-v2-atx-am5-motherboard-b650-gaming-x-ax-v2,169.99,AM5,ATX,192,4,Gray / Black
MSI PRO B550M-VC WIFI,https://pcpartpicker.com/product/tr4Ycf/msi-pro-b550m-vc-wifi-micro-atx-am4-motherboard-pro-b550m-vc-wifi,91.98,AM4,Micro ATX,128,4,Black
MSI PRO H610M-G DDR4,https://pcpartpicker.com/product/hPWzK8/msi-pro-h610m-g-ddr4-micro-atx-lga1700-motherboard-pro-h610m-g-ddr4,127.99,LGA1700,Micro ATX,64,2,Black / Silver
MSI B850 GAMING PLUS WIFI6E,https://pcpartpicker.com/product/CpQwrH/msi-b850-gaming-plus-wifi6e-atx-am5-motherboard-b850-gaming-plus-wifi6e,181.99,AM5,ATX,256,4,Silver
MSI Z890 GAMING PLUS WIFI,https://pcpartpicker.com/product/42grxr/msi-z890-gaming-plus-wifi-atx-lga1851-motherboard-z890-gaming-plus-wifi,221.99,LGA1851,ATX,256,4,Black
Gigabyte B850 EAGLE WIFI6E,https://pcpartpicker.com/product/Rf8Pxr/gigabyte-b850-eagle-wifi6e-atx-am5-motherboard-b850-eagle-wifi6e,133.99,AM5,ATX,256,4,Gray / Black
Asus TUF GAMING B850M-PLUS WIFI,https://pcpartpicker.com/product/c3FCmG/asus-tuf-gaming-b850m-plus-wifi-micro-atx-am5-motherboard-tuf-gaming-b850m-plus-wifi,198.48,AM5,Micro ATX,256,4,Black
MSI B550-A PRO,https://pcpartpicker.com/product/7gxbt6/msi-b550-a-pro-atx-am4-motherboard-b550-a-pro,128.42,AM4,ATX,128,4,Black / Silver
MSI PRO B850-S WIFI6E,https://pcpartpicker.com/product/GP7MnQ/msi-pro-b850-s-wifi6e-atx-am5-motherboard-pro-b850-s-wifi6e,149.99,AM5,ATX,256,4,Black
ASRock B550M-HDV,https://pcpartpicker.com/product/LKLwrH/asrock-b550m-hdv-micro-atx-am4-motherboard-b550m-hdv,87.99,AM4,Micro ATX,64,2,Black
MSI A520M-A PRO,https://pcpartpicker.com/product/nZTzK8/msi-a520m-a-pro-micro-atx-am4-motherboard-a520m-a-pro,64.99,AM4,Micro ATX,64,2,Black
Gigabyte B850 AORUS ELITE WIFI7 ICE,https://pcpartpicker.com/product/VtJBD3/gigabyte-b850-aorus-elite-wifi7-ice-atx-am5-motherboard-b850-aorus-elite-wifi7-ice,224.99,AM5,ATX,256,4,White / Silver
Asus ROG STRIX X870E-H GAMING WIFI7,https://pcpartpicker.com/product/xkqNnQ/asus-rog-strix-x870e-h-gaming-wifi7-atx-am5-motherboard-rog-strix-x870e-h-gaming-wifi7,402.99,AM5,ATX,256,4,Black
MSI PRO X870E-P WIFI,https://pcpartpicker.com/product/bcG2FT/msi-pro-x870e-p-wifi-atx-am5-motherboard-pro-x870e-p-wifi,294,AM5,ATX,256,4,Black / Silver
ASRock B450M/ac R2.0,https://pcpartpicker.com/product/KcyH99/asrock-b450mac-r20-micro-atx-am4-motherboard-b450mac-r20,79.99,AM4,Micro ATX,128,4,Black / Silver
ASRock A620AM-X WiFi,https://pcpartpicker.com/product/Yrm2FT/asrock-a620am-x-wifi-micro-atx-am5-motherboard-a620am-x-wifi,89.99,AM5,Micro ATX,128,2,Black
MSI MAG X870E TOMAHAWK WIFI,https://pcpartpicker.com/product/mgJBD3/msi-mag-x870e-tomahawk-wifi-atx-am5-motherboard-mag-x870e-tomahawk-wifi,321.99,AM5,ATX,256,4,Black / Green
ASRock B550 Phantom Gaming 4/ac,https://pcpartpicker.com/product/Ytdrxr/asrock-b550-phantom-gaming-4ac-atx-am4-motherboard-b550-phantom-gaming-4ac,90.98,AM4,ATX,128,4,Silver / Black
Asus ROG CROSSHAIR X870E HERO,https://pcpartpicker.com/product/Jzqrxr/asus-rog-crosshair-x870e-hero-atx-am5-motherboard-rog-crosshair-x870e-hero,611.99,AM5,ATX,256,4,Black
MSI MEG X870E GODLIKE,https://pcpartpicker.com/product/pRLdnQ/msi-meg-x870e-godlike-eatx-am5-motherboard-meg-x870e-godlike,5590.99,AM5,EATX,256,4,Black
Gigabyte B850M EAGLE WIFI6E ICE,https://pcpartpicker.com/product/JXfV3C/gigabyte-b850m-eagle-wifi6e-ice-micro-atx-am5-motherboard-b850m-eagle-wifi6e-ice,159.99,AM5,Micro ATX,256,4,White
Asus H110M-C/CSM,https://pcpartpicker.com/product/WF8H99/asus-motherboard-h110mccsm,87.98,LGA1151,Micro ATX,32,2,Black / Gold
MSI PRO B760M-P DDR4,https://pcpartpicker.com/product/M6nypg/msi-pro-b760m-p-ddr4-micro-atx-lga1700-motherboard-pro-b760m-p-ddr4,131.99,LGA1700,Micro ATX,128,4,Black
ASRock B850M-X WiFi R2.0,https://pcpartpicker.com/product/Tdbypg/asrock-b850m-x-wifi-r20-micro-atx-am5-motherboard-b850m-x-wifi-r20,133.99,AM5,Micro ATX,128,2,Black / White
Gigabyte Z790 EAGLE AX,https://pcpartpicker.com/product/Yj7scf/gigabyte-z790-eagle-ax-atx-lga1700-motherboard-z790-eagle-ax,179.99,LGA1700,ATX,256,4,Gray / Black
MSI MPG X870E CARBON WIFI,https://pcpartpicker.com/product/dGWJ7P/msi-mpg-x870e-carbon-wifi-atx-am5-motherboard-mpg-x870e-carbon-wifi,487.56,AM5,ATX,256,4,Black
Asus ROG STRIX X870-I GAMING WIFI,https://pcpartpicker.com/product/Pm6NnQ/asus-rog-strix-x870-i-gaming-wifi-mini-itx-am5-motherboard-rog-strix-x870-i-gaming-wifi,504.99,AM5,Mini ITX,128,2,Black
Gigabyte B550I AORUS PRO AX,https://pcpartpicker.com/product/9pn8TW/gigabyte-b550i-aorus-pro-ax-mini-itx-am4-motherboard-b550i-aorus-pro-ax,196.99,AM4,Mini ITX,64,2,Black / Silver
ASRock B450M PRO4 R2.0,https://pcpartpicker.com/product/cYJp99/asrock-b450m-pro4-r20-micro-atx-am4-motherboard-b450m-pro4-r20,85.98,AM4,Micro ATX,128,4,Gray / Black
ASRock B650I Lightning Wifi,https://pcpartpicker.com/product/rVfxFT/asrock-b650i-lightning-wifi-mini-itx-am5-motherboard-b650i-lightning-wifi,201.99,AM5,Mini ITX,96,2,Black
Asus ROG STRIX B650E-F GAMING WIFI,https://pcpartpicker.com/product/s8nypg/asus-rog-strix-b650e-f-gaming-wifi-atx-am5-motherboard-rog-strix-b650e-f-gaming-wifi,251.99,AM5,ATX,192,4,Black
MSI PRO B650-S WIFI,https://pcpartpicker.com/product/mP88TW/msi-pro-b650-s-wifi-atx-am5-motherboard-pro-b650-s-wifi,137.99,AM5,ATX,192,4,Black
Asus PRIME B650-PLUS WIFI,https://pcpartpicker.com/product/KtcgXL/asus-prime-b650-plus-wifi-atx-am5-motherboard-prime-b650-plus-wifi,149,AM5,ATX,192,4,Black / Silver
Asus TUF GAMING X870-PLUS WIFI,https://pcpartpicker.com/product/KT88TW/asus-tuf-gaming-x870-plus-wifi-atx-am5-motherboard-tuf-gaming-x870-plus-wifi,239,AM5,ATX,192,4,Black
ASRock B550M Pro4,https://pcpartpicker.com/product/NT7p99/asrock-b550m-pro4-micro-atx-am4-motherboard-b550m-pro4,100.99,AM4,Micro ATX,128,4,Silver / Black
Asus ROG CROSSHAIR X870E HERO BTF,https://pcpartpicker.com/product/B9FCmG/asus-rog-crosshair-x870e-hero-btf-atx-am5-motherboard-rog-crosshair-x870e-hero-btf,918.99,AM5,ATX,256,4,Black
MSI B450M-A PRO MAX II,https://pcpartpicker.com/product/w4BzK8/msi-b450m-a-pro-max-ii-micro-atx-am4-motherboard-b450m-a-pro-max-ii,,AM4,Micro ATX,64,2,Black
ASRock B650 Steel Legend WiFi,https://pcpartpicker.com/product/MgHqqs/asrock-b650-steel-legend-wifi-atx-am5-motherboard-b650-steel-legend-wifi,159.99,AM5,ATX,256,4,White / Silver
ASRock B760M PG Riptide Wifi,https://pcpartpicker.com/product/WbyH99/asrock-b760m-pg-riptide-wifi-micro-atx-lga1700-motherboard-b760m-pg-riptide-wifi,127.99,LGA1700,Micro ATX,192,4,Black
ASRock A620AI WiFi,https://pcpartpicker.com/product/FcG2FT/asrock-a620ai-wifi-mini-itx-am5-motherboard-a620ai-wifi,168.99,AM5,Mini ITX,128,2,Black
Gigabyte B650M GAMING WIFI6E,https://pcpartpicker.com/product/sNQwrH/gigabyte-b650m-gaming-wifi6e-micro-atx-am5-motherboard-b650m-gaming-wifi6e,180.48,AM5,Micro ATX,128,2,Silver / Black
Asus ROG STRIX B650E-I GAMING WIFI,https://pcpartpicker.com/product/WQTp99/asus-rog-strix-b650e-i-gaming-wifi-mini-itx-am5-motherboard-rog-strix-b650e-i-gaming-wifi,231.99,AM5,Mini ITX,96,2,Black
Gigabyte X870E AORUS PRO ICE,https://pcpartpicker.com/product/3QtLrH/gigabyte-x870e-aorus-pro-ice-atx-am5-motherboard-x870e-aorus-pro-ice,382.99,AM5,ATX,256,4,White
Asus ROG STRIX B650-A GAMING WIFI,https://pcpartpicker.com/product/Gjt9TW/asus-rog-strix-b650-a-gaming-wifi-atx-am5-motherboard-rog-strix-b650-a-gaming-wifi,154.99,AM5,ATX,192,4,Black / Silver
MSI B760 GAMING PLUS WIFI,https://pcpartpicker.com/product/TxcgXL/msi-b760-gaming-plus-wifi-atx-lga1700-motherboard-b760-gaming-plus-wifi,178.99,LGA1700,ATX,192,4,Black / Silver
Asus ProArt X870E-CREATOR WIFI,https://pcpartpicker.com/product/mFFmP6/asus-proart-x870e-creator-wifi-atx-am5-motherboard-proart-x870e-creator-wifi,492,AM5,ATX,256,4,Black / Gold
Gigabyte B550 GAMING X V2,https://pcpartpicker.com/product/KxFbt6/gigabyte-b550-gaming-x-v2-atx-am4-motherboard-b550-gaming-x-v2,113.99,AM4,ATX,128,4,Black
MSI MAG B550 TOMAHAWK,https://pcpartpicker.com/product/3Mxbt6/msi-mag-b550-tomahawk-atx-am4-motherboard-mag-b550-tomahawk,159.95,AM4,ATX,128,4,Black / Silver
Gigabyte B550 AORUS ELITE AX V2,https://pcpartpicker.com/product/Vb3mP6/gigabyte-b550-aorus-elite-ax-v2-atx-am4-motherboard-b550aorus-elite-axv2,143.99,AM4,ATX,128,4,Black / Silver
Gigabyte X870E AORUS MASTER X3D ICE,https://pcpartpicker.com/product/brLp99/gigabyte-x870e-aorus-master-x3d-ice-atx-am5-motherboard-x870e-a-master-x-ice,710.99,AM5,ATX,256,4,White
Asus TUF GAMING Z790-PLUS WIFI,https://pcpartpicker.com/product/s3cG3C/asus-tuf-gaming-z790-plus-wifi-atx-lga1700-motherboard-tuf-gaming-z790-plus-wifi,240.99,LGA1700,ATX,192,4,Black / Gray
MSI PRO B850M-A WIFI,https://pcpartpicker.com/product/tvdMnQ/msi-pro-b850m-a-wifi-micro-atx-am5-motherboard-pro-b850m-a-wifi,179.99,AM5,Micro ATX,256,4,Black / Silver
ASRock B650M-HDV/M.2 White,https://pcpartpicker.com/product/8LFCmG/asrock-b650m-hdvm2-white-micro-atx-am5-motherboard-b650m-hdvm2-white,115.99,AM5,Micro ATX,128,2,White
Gigabyte X870I AORUS PRO ICE,https://pcpartpicker.com/product/3LV2FT/gigabyte-x870i-aorus-pro-ice-mini-itx-am5-motherboard-x870i-aorus-pro-ice,299.99,AM5,Mini ITX,128,2,White
ASRock A520M-HDV,https://pcpartpicker.com/product/bWqBD3/asrock-a520m-hdv-micro-atx-am4-motherboard-a520m-hdv,66.48,AM4,Micro ATX,64,2,Black / Silver
Gigabyte B650 AORUS ELITE AX V2,https://pcpartpicker.com/product/KrWJ7P/gigabyte-b650-aorus-elite-ax-v2-atx-am5-motherboard-b650-aorus-elite-ax-v2,195,AM5,ATX,192,4,Black / Silver
ASRock B650M-HDV/M.2,https://pcpartpicker.com/product/Dq4Zxr/asrock-b650m-hdvm2-micro-atx-am5-motherboard-b650m-hdvm2,99.99,AM5,Micro ATX,96,2,Silver / Black
ASRock B550M-ITX/ac,https://pcpartpicker.com/product/G6VG3C/asrock-b550m-itxac-mini-itx-am4-motherboard-b550m-itxac,177.38,AM4,Mini ITX,64,2,Silver / Black
Gigabyte X870 EAGLE WIFI7,https://pcpartpicker.com/product/mhWJ7P/gigabyte-x870-eagle-wifi7-atx-am5-motherboard-x870-eagle-wifi7,228.99,AM5,ATX,256,4,Black
MSI X870E GAMING PLUS WIFI,https://pcpartpicker.com/product/wqh2FT/msi-x870e-gaming-plus-wifi-atx-am5-motherboard-x870e-gaming-plus-wifi,239.99,AM5,ATX,256,4,Black
MSI MAG B760 TOMAHAWK WIFI,https://pcpartpicker.com/product/CxLFf7/msi-mag-b760-tomahawk-wifi-atx-lga1700-motherboard-mag-b760-tomahawk-wifi,131.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX B550-A GAMING,https://pcpartpicker.com/product/y96qqs/asus-rog-strix-b550-a-gaming-atx-am4-motherboard-rog-strix-b550-a-gaming,,AM4,ATX,128,4,Black / White
ASRock H370M-HDV,https://pcpartpicker.com/product/d2GhP6/asrock-h370m-hdv-micro-atx-lga1151-motherboard-h370m-hdv,99.88,LGA1151,Micro ATX,64,2,Black / Silver
MSI B450 TOMAHAWK MAX,https://pcpartpicker.com/product/jcYQzy/msi-b450-tomahawk-max-atx-am4-motherboard-b450-tomahawk-max,,AM4,ATX,128,4,Black
Gigabyte B650 AORUS ELITE AX ICE,https://pcpartpicker.com/product/CwjRsY/gigabyte-b650-aorus-elite-ax-ice-atx-am5-motherboard-b650-aorus-elite-ax-ice,218.99,AM5,ATX,192,4,Silver
Asus TUF GAMING X870E-PLUS WIFI7,https://pcpartpicker.com/product/QjJBD3/asus-tuf-gaming-x870e-plus-wifi7-atx-am5-motherboard-tuf-gaming-x870e-plus-wifi7,364.99,AM5,ATX,256,4,Black / Silver
Asus PRIME X870-P WIFI,https://pcpartpicker.com/product/d7zXsY/asus-prime-x870-p-wifi-atx-am5-motherboard-prime-x870-p-wifi,173,AM5,ATX,192,4,Black / Silver
MSI B850 GAMING PLUS WIFI,https://pcpartpicker.com/product/4XHp99/msi-b850-gaming-plus-wifi-atx-am5-motherboard-b850-gaming-plus-wifi,255.99,AM5,ATX,256,4,Silver / Black
ASRock X870E Taichi,https://pcpartpicker.com/product/6HkH99/asrock-x870e-taichi-eatx-am5-motherboard-x870e-taichi,408.99,AM5,EATX,256,4,Black
ASRock Phantom Gaming X870E Nova WiFi,https://pcpartpicker.com/product/4bFmP6/asrock-phantom-gaming-x870e-nova-wifi-atx-am5-motherboard-x870e-nova-wifi,259.99,AM5,ATX,256,4,Black / Purple
Asus TUF GAMING B550M-PLUS WIFI II,https://pcpartpicker.com/product/kLNxFT/asus-tuf-gaming-b550m-plus-wifi-ii-micro-atx-am4-motherboard-tuf-gaming-b550m-plus-wifi-ii,,AM4,Micro ATX,128,4,Black / Gray
Asus TUF GAMING X570-PLUS (WI-FI),https://pcpartpicker.com/product/dmGnTW/asus-tuf-gaming-x570-plus-wi-fi-atx-am4-motherboard-tuf-gaming-x570-plus-wi-fi,,AM4,ATX,128,4,Black / Gold
Gigabyte B850 GAMING WIFI6,https://pcpartpicker.com/product/3f8Pxr/gigabyte-b850-gaming-wifi6-atx-am5-motherboard-b850-gaming-wifi6,179.99,AM5,ATX,256,4,Black / Gray
ASRock H470M-HVS,https://pcpartpicker.com/product/BbJgXL/asrock-h470m-hvs-micro-atx-lga1200-motherboard-h470m-hvs,78.99,LGA1200,Micro ATX,64,2,Black / Silver
MSI PRO B850M-P WIFI,https://pcpartpicker.com/product/p7G2FT/msi-pro-b850m-p-wifi-micro-atx-am5-motherboard-pro-b850m-p-wifi,159.99,AM5,Micro ATX,256,4,Black / Silver
MSI PRO B650M-A WIFI,https://pcpartpicker.com/product/cRQcCJ/msi-pro-b650m-a-wifi-micro-atx-am5-motherboard-pro-b650m-a-wifi,156.99,AM5,Micro ATX,192,4,Black
Gigabyte B850M GAMING X WIFI6E,https://pcpartpicker.com/product/KCy8TW/gigabyte-b850m-gaming-x-wifi6e-micro-atx-am5-motherboard-b850m-gaming-x-wifi6e,171.15,AM5,Micro ATX,256,4,Black
Asus TUF GAMING A520M-PLUS WIFI,https://pcpartpicker.com/product/T6YmP6/asus-tuf-gaming-a520m-plus-wifi-micro-atx-am4-motherboard-tuf-gaming-a520m-plus-wifi,114.99,AM4,Micro ATX,128,4,Black / Orange
MSI B760M GAMING PLUS WIFI,https://pcpartpicker.com/product/fGtLrH/msi-b760m-gaming-plus-wifi-micro-atx-lga1700-motherboard-b760m-gaming-plus-wifi,235.85,LGA1700,Micro ATX,192,4,Black / Silver
Gigabyte X870 AORUS ELITE WIFI7,https://pcpartpicker.com/product/836NnQ/gigabyte-x870-aorus-elite-wifi7-atx-am5-motherboard-x870-aorus-elite-wifi7,291.99,AM5,ATX,256,4,Black
ASRock B850M Pro RS WiFi,https://pcpartpicker.com/product/KyfV3C/asrock-b850m-pro-rs-wifi-micro-atx-am5-motherboard-b850m-pro-rs-wifi,148.99,AM5,Micro ATX,256,4,Silver / Black
Gigabyte Z790 AORUS ELITE AX,https://pcpartpicker.com/product/T2H7YJ/gigabyte-z790-aorus-elite-ax-atx-lga1700-motherboard-z790-aorus-elite-ax,204.99,LGA1700,ATX,256,4,Black
Asus TUF GAMING B650-E WIFI,https://pcpartpicker.com/product/9BJp99/asus-tuf-gaming-b650-e-wifi-atx-am5-motherboard-tuf-gaming-b650-e-wifi,199.99,AM5,ATX,192,4,Black / Orange
