name,part_url,price,socket,form_factor,max_memory,memory_slots,color
Asus Prime H370-Plus,https://pcpartpicker.com/product/kwkj4D/asus-prime-h370-plus-atx-lga1151-motherboard-prime-h370-plus,,LGA1151,ATX,64,4,Silver / Black
Gigabyte Z370 AORUS ULTRA GAMING 2.0,https://pcpartpicker.com/product/FP7v6h/gigabyte-z370-aorus-ultra-gaming-20-atx-lga1151-motherboard-z370-aorus-ultra-gaming-20,,LGA1151,ATX,64,4,Black / Silver
Asus Prime H310M-C R2.0/CSM,https://pcpartpicker.com/product/Zb97YJ/asus-prime-h310m-c-r20csm-micro-atx-lga1151-motherboard-h310m-c-r20csm,,LGA1151,Micro ATX,32,2,Green
Gigabyte C246M-WU4,https://pcpartpicker.com/product/87fhP6/gigabyte-c246m-wu4-micro-atx-lga1151-motherboard-c246m-wu4,,LGA1151,Micro ATX,128,4,Black
Biostar H310MHP,https://pcpartpicker.com/product/Dnn8TW/biostar-h310mhp-micro-atx-lga1151-motherboard-h310mhp,,LGA1151,Micro ATX,32,2,Black
MSI MEG Z490 GODLIKE,https://pcpartpicker.com/product/BLK2FT/msi-meg-z490-godlike-eatx-lga1200-motherboard-meg-z490-godlike,,LGA1200,EATX,128,4,Black / Silver
Gigabyte Z490 AORUS ELITE,https://pcpartpicker.com/product/wgNgXL/gigabyte-z490-aorus-elite-atx-lga1200-motherboard-z490-aorus-elite,,LGA1200,ATX,128,4,Black / Silver
Gigabyte B460M D2V,https://pcpartpicker.com/product/tzsnTW/gigabyte-b460m-d2v-micro-atx-lga1200-motherboard-b460m-d2v,,LGA1200,Micro ATX,64,2,Black / Silver
ASRock B460 Pro4,https://pcpartpicker.com/product/wqgQzy/asrock-b460-pro4-atx-lga1200-motherboard-b460-pro4,,LGA1200,ATX,128,4,Black / Silver
Asus PRIME H570-PLUS,https://pcpartpicker.com/product/mnQcCJ/asus-prime-h570-plus-atx-lga1200-motherboard-prime-h570-plus,,LGA1200,ATX,128,4,Silver / Black
ASRock Z590M-ITX/ax,https://pcpartpicker.com/product/RV6p99/asrock-z590m-itxax-mini-itx-lga1200-motherboard-z590m-itxax,,LGA1200,Mini ITX,64,2,Silver / Black
MSI B560-A PRO,https://pcpartpicker.com/product/dLgFf7/msi-b560-a-pro-atx-lga1200-motherboard-b560-a-pro,,LGA1200,ATX,128,4,Black
Asus PRIME X670E-PRO WIFI-CSM,https://pcpartpicker.com/product/QB2WGX/asus-prime-x670e-pro-wifi-csm-atx-am5-motherboard-prime-x670e-pro-wifi-csm,,AM5,ATX,192,4,Silver / Black
Biostar B550MXC PRO,https://pcpartpicker.com/product/7CpzK8/biostar-b550mxc-pro-micro-atx-am4-motherboard-b550mxc-pro,,AM4,Micro ATX,128,4,Brown / Black
Asus PRIME H610I-PLUS,https://pcpartpicker.com/product/VcBzK8/asus-prime-h610i-plus-mini-itx-lga1700-motherboard-prime-h610i-plus,,LGA1700,Mini ITX,96,2,Black / Silver
ASRock B650M Pro X3D,https://pcpartpicker.com/product/DLPv6h/asrock-b650m-pro-x3d-micro-atx-am5-motherboard-b650m-pro-x3d,,AM5,Micro ATX,256,4,Black / Silver
MSI PRO B650M-X,https://pcpartpicker.com/product/fYdMnQ/msi-pro-b650m-x-micro-atx-am5-motherboard-pro-b650m-x,,AM5,Micro ATX,128,2,Black / Silver
Gigabyte B760 AORUS MASTER DDR4,https://pcpartpicker.com/product/wdjBD3/gigabyte-b760-aorus-master-ddr4-atx-lga1700-motherboard-b760-aorus-master-ddr4,,LGA1700,ATX,128,4,Black
MAXSUN iCraft Z790ITX WIFI,https://pcpartpicker.com/product/qrVfrH/maxsun-icraft-z790itx-wifi-mini-itx-lga1700-motherboard-ms-icraft-z790itx-wifi,,LGA1700,Mini ITX,96,2,Black / Silver
Biostar B650M-SILVER,https://pcpartpicker.com/product/bNXJ7P/biostar-b650m-silver-micro-atx-am5-motherboard-b650m-silver,170.83,AM5,Micro ATX,192,4,Silver / Black
Zotac IONITX-E-E,https://pcpartpicker.com/product/VfTmP6/zotac-motherboard-ionitxee,,Integrated Atom 230,Mini ITX,4,2,Black / Red
Biostar B760A-SILVER,https://pcpartpicker.com/product/dZ4Ycf/biostar-b760a-silver-atx-lga1700-motherboard-b760a-silver,188.43,LGA1700,ATX,192,4,Silver / Black
ASRock Z270 Killer SLI,https://pcpartpicker.com/product/6Y8H99/asrock-z270-killer-sli-atx-lga1151-motherboard-z270-killer-sli,,LGA1151,ATX,64,4,Black / White
MSI X99S SLI Plus,https://pcpartpicker.com/product/3pdqqs/msi-motherboard-x99ssliplus,,LGA2011-3,ATX,128,8,Black
Asus WS C246M PRO,https://pcpartpicker.com/product/Vj97YJ/asus-ws-c246m-pro-micro-atx-lga1151-motherboard-ws-c246m-pro,,LGA1151,Micro ATX,128,4,Black
Biostar B550MX/E PRO,https://pcpartpicker.com/product/98Fbt6/biostar-b550mxe-pro-micro-atx-am4-motherboard-b550mxe-pro,,AM4,Micro ATX,128,4,Black / Silver
Gigabyte X299 UD4 Pro,https://pcpartpicker.com/product/mLjJ7P/gigabyte-x299-ud4-pro-atx-lga2066-motherboard-x299-ud4-pro,,LGA2066,ATX,128,8,Black
ASRock Z590 Phantom Gaming-ITX/TB4,https://pcpartpicker.com/product/9CbTwP/asrock-z590-phantom-gaming-itxtb4-mini-itx-lga1200-motherboard-z590-phantom-gaming-itxtb4,,LGA1200,Mini ITX,64,2,Black / Red
Gigabyte B660M GAMING AC DDR4,https://pcpartpicker.com/product/fqgFf7/gigabyte-b660m-gaming-ac-ddr4-micro-atx-lga1700-motherboard-b660m-gaming-ac-ddr4,,LGA1700,Micro ATX,64,2,Black / Red
Zotac GF6100-E-E,https://pcpartpicker.com/product/DcK7YJ/zotac-motherboard-gf6100ee,,AM3/AM2+/AM2,Mini ITX,4,2,Blue / Red
Asus Crosshair IV Extreme,https://pcpartpicker.com/product/VLTmP6/asus-motherboard-crosshairivextreme,629.95,AM3,EATX,16,4,Black / Red
Biostar G41D3C,https://pcpartpicker.com/product/gw4gXL/biostar-motherboard-g41d3c,,LGA775,Micro ATX,8,2,Black / Red
Asus Rampage IV Formula,https://pcpartpicker.com/product/DhQypg/asus-motherboard-rampageivformula,,LGA2011,ATX,32,4,Black / Red
Gigabyte GA-Z77X-D3H,https://pcpartpicker.com/product/7NMFf7/gigabyte-motherboard-gaz77xd3h,,LGA1155,ATX,32,4,Black / Blue
EVGA Classified SR-X,https://pcpartpicker.com/product/2Q4gXL/evga-classified-sr-x-hptx-dual-cpu-lga2011-motherboard-270-se-w888-kr,,2 x LGA2011,HPTX,96,12,Black / Red
Asus F2A85-M PRO,https://pcpartpicker.com/product/vLGkcf/asus-motherboard-f2a85mpro,,FM2,Micro ATX,64,4,Black / Blue
MSI 970A-G43,https://pcpartpicker.com/product/BKvRsY/msi-motherboard-970ag43,,AM3+,ATX,32,4,Black / Blue
MSI B85M-G43,https://pcpartpicker.com/product/Hch9TW/msi-motherboard-b85mg43,,LGA1150,Micro ATX,32,4,Black / Blue
ECS H81H3-TI2,https://pcpartpicker.com/product/9Zg323/ecs-motherboard-h81h3ti2,,LGA1150,Thin Mini ITX,8,1,Black
Asus B85M-G R2.0,https://pcpartpicker.com/product/gnkD4D/asus-motherboard-b85mgr20,,LGA1150,Micro ATX,32,4,Black / Gold
ASRock C226M WS,https://pcpartpicker.com/product/MWMFf7/asrock-c226m-ws-micro-atx-lga1150-motherboard-c226m-ws,,LGA1150,Micro ATX,32,4,Green / Blue
Asus H81-GAMER,https://pcpartpicker.com/product/4wPzK8/asus-motherboard-h81gamer,,LGA1150,ATX,16,4,Black / Red
ASRock EPC612D8A,https://pcpartpicker.com/product/ZK8H99/asrock-epc612d8a-atx-lga2011-3-narrow-motherboard-epc612d8a,,LGA2011-3 Narrow,ATX,256,8,Green / Blue
MSI Z170A KRAIT GAMING,https://pcpartpicker.com/product/KL2rxr/msi-motherboard-z170akraitgaming,,LGA1151,ATX,64,4,Black / White
MSI Z170M Mortar,https://pcpartpicker.com/product/Htp323/msi-motherboard-z170mmortar,,LGA1151,Micro ATX,64,4,Black / Silver
Gigabyte GA-990FXA-UD3 R5,https://pcpartpicker.com/product/3YH48d/gigabyte-motherboard-ga990fxaud3r5,,AM3+,ATX,32,4,Black
Gigabyte GA-H170M-D3H,https://pcpartpicker.com/product/7tp323/gigabyte-motherboard-gah170md3h,,LGA1151,Micro ATX,64,4,Black / Gold
MSI C236A WORKSTATION,https://pcpartpicker.com/product/HwcMnQ/msi-motherboard-c236aworkstation,,LGA1151,ATX,64,4,Black / White
