name,part_url,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer Basilisk V3 X Hyperspeed,https://pcpartpicker.com/product/K3yH99/razer-basilisk-v3-x-hyperspeed-bluetoothwirelesswired-optical-mouse-rz01-04870100-r3u1,46.98,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
Razer DeathAdder V3,https://pcpartpicker.com/product/pf88TW/razer-deathadder-v3-wired-optical-mouse-rz01-04640100-r3u1,48,Optical,Wired,30000,Right,Black
Glorious Model I 2,https://pcpartpicker.com/product/6wjRsY/glorious-model-i-2-wirelessbluetoothwired-optical-mouse-glo-ms-iwv2-mw,113.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Logitech G700,https://pcpartpicker.com/product/f2yFf7/logitech-mouse-910001436,,Laser,Wireless,5700,Right,Black
SteelSeries Aerox 5,https://pcpartpicker.com/product/7MNxFT/steelseries-aerox-5-bluetoothwirelesswired-optical-mouse-62406,115.07,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
Glorious MODEL O,https://pcpartpicker.com/product/PQCD4D/glorious-pc-gaming-race-model-o-wired-optical-mouse-go-black,,Optical,Wired,12000,Right,Black
Asus P702 ROG GLADIUS II WIRELESS,https://pcpartpicker.com/product/J7C48d/asus-p702-rog-gladius-ii-wireless-wireless-optical-mouse-p702-rog-gladius-ii-wireless,,Optical,Wireless,16000,Right,Black / Red
Corsair SABRE v2 PRO,https://pcpartpicker.com/product/tvYfrH/corsair-sabre-v2-pro-wirelesswired-optical-mouse-ch-931g000-ww,79.98,Optical,"Wired, Wireless",33000,Right,Black
Logitech MX MASTER 3S,https://pcpartpicker.com/product/Bs4Ycf/logitech-mx-master-3s-wireless-optical-mouse-910-006557,168.81,Optical,Wireless,8000,Right,Gray
Logitech G703 LIGHTSPEED,https://pcpartpicker.com/product/kQ3H99/logitech-g703-lightspeed-wireless-optical-mouse-910-005638,88.98,Optical,Wireless,25600,Right,Black
Logitech PRO X SUPERLIGHT 2 DEX,https://pcpartpicker.com/product/d3qrxr/logitech-pro-x-superlight-2-dex-wiredwireless-optical-mouse-910-007363,158.99,Optical,"Wired, Wireless",44000,Right,White
Verbatim Bravo,https://pcpartpicker.com/product/Hr9KHx/verbatim-mouse-98106,8.36,Optical,Wired,,Both,Black
