name,part_url,price,tracking_method,connection_type,max_dpi,hand_orientation,color
HP HyperX Pulsefire Haste,https://pcpartpicker.com/product/yvM48d/hp-hyperx-pulsefire-haste-wireless-optical-mouse-4p5d8aa,,Optical,Wireless,16000,Right,White
HP HyperX Pulsefire Haste,https://pcpartpicker.com/product/w2JgXL/hp-hyperx-pulsefire-haste-wired-optical-mouse-4p5e3aa,,Optical,Wired,16000,,Black / Red
Pulsar Xlite V2,https://pcpartpicker.com/product/jjmmP6/pulsar-xlite-v2-wireless-optical-mouse-pxw22,,Optical,Wireless,20000,Right,White
Razer DeathAdder V2 - Special Edition,https://pcpartpicker.com/product/RB2WGX/razer-deathadder-v2-special-edition-wired-optical-mouse-rz01-03210200-r3u1,,Optical,Wired,20000,Right,Black / Green
Lamzu Atlantis OG,https://pcpartpicker.com/product/qBmNnQ/lamzu-atlantis-og-wiredwireless-optical-mouse-40980949139490,,Optical,"Wired, Wireless",26000,Right,Black
Asus ROG Strix Impact II GUNDAM Edition,https://pcpartpicker.com/product/FZ9wrH/asus-rog-strix-impact-ii-gundam-edition-wired-optical-mouse-rog-strix-impact-ii-gundam-edition,,Optical,Wired,6200,Right,Blue / White
Logitech POP Nightfall,https://pcpartpicker.com/product/f6dG3C/logitech-pop-nightfall-bluetoothwireless-optical-mouse-910-007165,34,Optical,"Wireless, Bluetooth Wireless",4000,Both,Black
Keychron M3 4K,https://pcpartpicker.com/product/P9QKHx/keychron-m3-4k-bluetoothwirelesswired-optical-mouse-m3-a4,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Asus ROG Strix Impact II,https://pcpartpicker.com/product/XHxRsY/asus-rog-strix-impact-ii-wirelesswired-optical-mouse-90mp01p0-bmua00,,Optical,"Wired, Wireless",16000,Right,Black
Acer Cestus 350 PMR910,https://pcpartpicker.com/product/W3XJ7P/acer-cestus-350-pmr910-wirelesswired-optical-mouse-gpmce1100q,80,Optical,"Wired, Wireless",16000,Right,Black
Dell MS3320W,https://pcpartpicker.com/product/6TRYcf/dell-ms3320w-wiredwirelessbluetooth-optical-mouse-ms3320wblk,,Optical,"Wired, Wireless, Bluetooth Wireless",1600,Both,Black
Logitech PEBBLE 2 M350S,https://pcpartpicker.com/product/WrWJ7P/logitech-pebble-2-m350s-bluetoothwirelesswired-optical-mouse-910-007023,24.07,Optical,"Wired, Wireless, Bluetooth Wireless",1000,Both,Pink
Logitech M325S,https://pcpartpicker.com/product/mHddnQ/logitech-m325s-wirelesswired-optical-mouse-910006827,22.99,Optical,"Wired, Wireless",1000,Both,Pink
Logitech MX Anywhere 3S,https://pcpartpicker.com/product/nJwmP6/logitech-mx-anywhere-3s-bluetoothwirelesswired-laser-mouse-910-006928,114.99,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,Black
Logitech M190,https://pcpartpicker.com/product/9hLdnQ/logitech-m190-wirelesswired-optical-mouse-910-005908,,Optical,"Wired, Wireless",1000,Both,Black / Red
Mad Catz R.A.T. 8+,https://pcpartpicker.com/product/6BXYcf/mad-catz-rat-8-wired-optical-mouse-mr05dcamwh00,,Optical,Wired,16000,Right,White / Black
Redragon GAINER M610,https://pcpartpicker.com/product/sRP8TW/redragon-gainer-m610-wired-optical-mouse-m610,,Optical,Wired,3200,Right,Black / Red
Pulsar Xlite V3 Large,https://pcpartpicker.com/product/GmbRsY/pulsar-xlite-v3-large-wirelesswired-optical-mouse-xlite-v3-large-black,,Optical,"Wired, Wireless",2600,Right,Black
MCHOSE A7 Pro,https://pcpartpicker.com/product/DFPv6h/mchose-a7-pro-wiredwirelessbluetooth-optical-mouse-a7-5a,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Blue
Asus ROG Strix Impact III,https://pcpartpicker.com/product/G3zhP6/asus-rog-strix-impact-iii-wired-optical-mouse-90mp0300-bmua00,63.99,Optical,Wired,12000,Right,Black
Keychron M5,https://pcpartpicker.com/product/spDnTW/keychron-m5-wiredbluetoothwireless-optical-mouse-m5-a24,,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White
Targus AMB582GL,https://pcpartpicker.com/product/7LgFf7/targus-amb582gl-bluetoothwireless-optical-mouse-amb582gl,29.95,Optical,"Wireless, Bluetooth Wireless",2400,Right,Black
Endgame Gear XM2w 4k,https://pcpartpicker.com/product/BTHp99/endgame-gear-xm2w-4k-wiredwireless-optical-mouse-egg-xm2w-4k-wf,75.99,Optical,"Wired, Wireless",26000,Right,White / Gray
DeLUX M800 Ultra,https://pcpartpicker.com/product/84CCmG/delux-m800-ultra-wirelessbluetoothwired-optical-mouse-m800ultra-white-600mah,72.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Logitech M310,https://pcpartpicker.com/product/dzDwrH/logitech-mouse-910001675,17.99,Laser,Wireless,,Both,Silver
Evoluent VM4SW small,https://pcpartpicker.com/product/Fcw7YJ/evoluent-vm4sw-small-wireless-optical-mouse-vm4sw,109.95,Optical,Wireless,2600,Right,Brown / Black
Keychron M3,https://pcpartpicker.com/product/yV26Mp/keychron-m3-bluetoothwirelesswired-optical-mouse-40294351929433,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Logitech POP Cosmos,https://pcpartpicker.com/product/p6cG3C/logitech-pop-cosmos-wirelessbluetooth-optical-mouse-910-006624,32.99,Optical,"Wireless, Bluetooth Wireless",4000,Both,Purple
Asus ROG Strix Carry,https://pcpartpicker.com/product/Rb7p99/asus-rog-strix-carry-wirelessbluetoothwired-optical-mouse-p508-rog-strix-carry,,Optical,"Wired, Wireless, Bluetooth Wireless",7200,Right,Black
Adesso iMouse X5,https://pcpartpicker.com/product/VjvdnQ/adesso-imouse-x5-wired-optical-mouse-imouse-x5,32.11,Optical,Wired,6400,Right,Black
Dell MS3320W,https://pcpartpicker.com/product/WWC48d/dell-ms3320w-wiredwirelessbluetooth-optical-mouse-ms3220blk,18.75,Optical,"Wired, Wireless, Bluetooth Wireless",1600,Both,Black
Logitech M325S,https://pcpartpicker.com/product/6mytt6/logitech-m325s-wirelesswired-optical-mouse-910-006828,15.84,Optical,"Wired, Wireless",1000,Both,Multicolor / Black
Corsair M75 AIR,https://pcpartpicker.com/product/3Z7scf/corsair-m75-air-wirelesswiredbluetooth-optical-mouse-ch-931d102-na,122.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Gray
Endgame Gear XM2 8k Dark Frost,https://pcpartpicker.com/product/DhDQzy/endgame-gear-xm2-8k-dark-frost-wired-optical-mouse-egg-xm2-8k-df,63.99,Optical,Wired,26000,Right,Black / Gray
Zalman ZM-M400,https://pcpartpicker.com/product/LRckcf/zalman-mouse-zmm400,21.98,Optical,Wired,1600,Right,Black / Gray
Kensington 72337,https://pcpartpicker.com/product/WGphP6/kensington-mouse-72337,,Trackball,Wired,,Both,Black / Blue
Microsoft D58-00041,https://pcpartpicker.com/product/yWxfrH/microsoft-mouse-d5800041oem,72.95,Optical,Wired,,Both,White
Logitech G302 Daedalus Prime Moba,https://pcpartpicker.com/product/RFTrxr/logitech-mouse-910004205,107.99,Optical,Wired,4000,Right,Black / Blue
Logitech M185,https://pcpartpicker.com/product/JrVBD3/logitech-mouse-910004426,14.99,Optical,Wireless,,Both,Gray
Logitech M170,https://pcpartpicker.com/product/kW4NnQ/logitech-mouse-910004425,16.99,Optical,Wireless,,Both,Gray
Kensington K72359WW,https://pcpartpicker.com/product/n7x2FT/kensington-k72359ww-wireless-optical-mouse-k72359ww,113.99,Optical,Wireless,,Both,Black / Red
Adesso iMouse G2,https://pcpartpicker.com/product/xz448d/adesso-imouse-g2-wired-optical-mouse-imouseg2,21.99,Optical,Wired,2400,Right,Black
Cooler Master MM711 Glossy White,https://pcpartpicker.com/product/MR4BD3/cooler-master-mm711-glossy-white-wired-optical-mouse-mm-711-wwol2,,Optical,Wired,16000,Right,White
Razer Pro Click Mini,https://pcpartpicker.com/product/tr3gXL/razer-pro-click-mini-bluetoothwireless-optical-mouse-rz01-03990100-r3u1,77,Optical,"Wireless, Bluetooth Wireless",12000,Right,White / Gray
Xtrfy M4 RGB,https://pcpartpicker.com/product/r6vdnQ/xtrfy-m4-rgb-wirelesswired-optical-mouse-m4w-rgb-white,83.98,Optical,"Wired, Wireless",16000,Right,White
Dell MS5320W,https://pcpartpicker.com/product/zBJgXL/dell-ms5320w-wirelesswiredbluetooth-optical-mouse-ms5320wgy,,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Gray
Logitech Lift for Business,https://pcpartpicker.com/product/WxJgXL/logitech-lift-for-business-wirelesswiredbluetooth-optical-mouse-910-006493,,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,White
Microsoft 22200049,https://pcpartpicker.com/product/32gQzy/microsoft-22200049-bluetoothwirelesswired-optical-mouse-22200049,71.95,Optical,"Wired, Wireless, Bluetooth Wireless",2400,Right,Blue
Endgame Gear XM2 8k White Frost,https://pcpartpicker.com/product/MmfxFT/endgame-gear-xm2-8k-white-frost-wired-optical-mouse-egg-xm2-8k-wf,69.98,Optical,Wired,26000,Right,White / Gray
Logitech ERGO M575S,https://pcpartpicker.com/product/42RnTW/logitech-ergo-m575s-wirelessbluetooth-trackball-910-007028,44.99,Trackball,"Wireless, Bluetooth Wireless",2000,Right,White / Blue
Pulsar X3 Mini,https://pcpartpicker.com/product/y6sMnQ/pulsar-x3-mini-wirelesswired-optical-mouse-px3r11,,Optical,"Wired, Wireless",32000,Right,Black
Logitech G9x,https://pcpartpicker.com/product/FqFPxr/logitech-mouse-910001152,,Laser,Wired,5700,Right,Black
Logitech Performance,https://pcpartpicker.com/product/Bx3RsY/logitech-mouse-910001105,,Laser,Wireless,,Right,Black
Microsoft Mobile Mouse 6000,https://pcpartpicker.com/product/gpckcf/microsoft-mouse-mhc00023,300.35,Laser,Wireless,,,Purple
Microsoft Optical Mouse 200 for Business,https://pcpartpicker.com/product/JTyFf7/microsoft-mouse-35h00006,42.99,Optical,Wired,1000,Both,Black
Microsoft Basic,https://pcpartpicker.com/product/fkMFf7/microsoft-mouse-p5800022,,Optical,Wired,,Both,Black
Gigabyte GM-M7800S,https://pcpartpicker.com/product/mWh9TW/gigabyte-mouse-gmm7800s,,Laser,Wireless,1600,Both,Brown
3M EM550GPS,https://pcpartpicker.com/product/KvJwrH/3m-mouse-em550gps,,Optical,Wireless,,Right,Black
Ergoguys CST Kidtrack,https://pcpartpicker.com/product/Q7xfrH/ergoguys-mouse-cst1350,,Trackball,Wired,,Both,White
Corsair Vengeance M60,https://pcpartpicker.com/product/BLZQzy/corsair-mouse-ch9000001na,,Laser,Wired,5700,Right,Black
Dell 468-7409 Mouse,https://pcpartpicker.com/product/XQ4gXL/dell-mouse-4687409,,Optical,Wired,,Both,Black
SteelSeries Sensei,https://pcpartpicker.com/product/RVV48d/steelseries-mouse-62150,,Laser,Wired,11400,Both,Gray
A4Tech G9-110H-1,https://pcpartpicker.com/product/m8DwrH/a4tech-mouse-g9110h1,40.38,Optical,Wireless,,Both,Black
Corsair Vengeance M95,https://pcpartpicker.com/product/NVxfrH/corsair-mouse-ch9000025na,,Laser,Wired,8200,Right,Black
Razer Orochi 2013,https://pcpartpicker.com/product/6HPfrH/razer-mouse-rz0100820100r3u1,,Laser,Bluetooth Wireless,6400,Both,Black
Sony VGPBMS11/S,https://pcpartpicker.com/product/xpXfrH/sony-mouse-vgpbms11s,,Laser,Bluetooth Wireless,800,Both,Silver
Corsair Raptor M40,https://pcpartpicker.com/product/DBMFf7/corsair-mouse-ch9000041na,,Optical,Wired,4000,Right,Black
Func MS 3,https://pcpartpicker.com/product/dyjG3C/func-mouse-funcms31st,,Laser,Wired,5040,Right,Black / Red
Genius Maurus X,https://pcpartpicker.com/product/VPjG3C/genius-mouse-31010167101,,Laser,Wired,4000,Both,Black / Red
Logitech MX510,https://pcpartpicker.com/product/wGK7YJ/logitech-mouse-9311790403,,Laser,Wired,800,Right,Black / Red
Lenovo ThinkPad Precision Wireless Mouse,https://pcpartpicker.com/product/sP2kcf/lenovo-mouse-0b47163,44.56,Optical,Wireless,1200,Both,Black / Red
Mad Catz Titanfall R.A.T.3,https://pcpartpicker.com/product/yvH323/mad-catz-mouse-ttf437030001041,,Optical,Wired,3500,Right,Orange / White
HP QY778AA,https://pcpartpicker.com/product/FtXfrH/hp-mouse-qy778aa,,Laser,Wired,1000,Both,Black
Cherry JW-T0100,https://pcpartpicker.com/product/hgYXsY/cherry-mouse-jwt0100,,Laser,Wireless,1750,Both,Black
Logitech M500,https://pcpartpicker.com/product/z7YWGX/logitech-mouse-m500,,Laser,Wired,1000,Right,Black / Silver
Thermaltake SAPHIRA Team DK Edition,https://pcpartpicker.com/product/cmPzK8/thermaltake-mouse-modkswdoowhen,25.98,Optical,Wired,3500,Right,White / Red
Zowie FK2,https://pcpartpicker.com/product/8GX2FT/zowie-mouse-fk2,,Optical,Wired,3200,Both,Black / Yellow
EVGA TORQ X5L,https://pcpartpicker.com/product/GsYWGX/evga-mouse-901x11051kr,37.99,Laser,Wired,8200,Both,Black / Orange
Microsoft Designer,https://pcpartpicker.com/product/p2RFf7/microsoft-mouse-7n500001,165.99,Optical,Bluetooth Wireless,,Both,Black
Razer Mamba Tournament Edition,https://pcpartpicker.com/product/gWbkcf/razer-mouse-rz0101370100r3u1,,Laser,Wired,16000,Right,Black
IOGEAR Chimera M2,https://pcpartpicker.com/product/TGcMnQ/iogear-mouse-gme652ur,,Optical,Wired,2000,Right,Black
Corsair M65 RGB,https://pcpartpicker.com/product/8dDzK8/corsair-mouse-ch9000109na,,Laser,Wired,8200,Right,Black
Corsair SABRE RGB,https://pcpartpicker.com/product/xrrcCJ/corsair-mouse-ch9000112na,,Laser,Wired,8200,Right,Black
Razer Diamondback,https://pcpartpicker.com/product/pbhj4D/razer-mouse-rz0101420100r3u1,,Laser,Wired,16000,Both,Black
Sentey GS-3521,https://pcpartpicker.com/product/mFgPxr/sentey-mouse-gs3521,,Laser,Wired,3400,Right,Black / Red
Zowie EC1-A,https://pcpartpicker.com/product/2tnG3C/zowie-mouse-ec1a,,Optical,Wired,3200,Right,Black
Zowie ZA12,https://pcpartpicker.com/product/678H99/zowie-za12-wired-optical-mouse-za12,,Optical,Wired,3200,Both,Black
MSI INTERCEPTOR DS300,https://pcpartpicker.com/product/d4s8TW/msi-mouse-s120401290d22,,Laser,Wired,8200,Right,Black
SteelSeries Rival 700,https://pcpartpicker.com/product/WcH48d/steelseries-rival-700-wired-optical-mouse-62331,,Optical,Wired,16000,Right,Black
Corsair Harpoon RGB,https://pcpartpicker.com/product/tsCrxr/corsair-harpoon-rgb-wired-optical-mouse-ch-9301011-na,,Optical,Wired,6000,Right,Black
Dell Alienware AW558,https://pcpartpicker.com/product/kJKhP6/alienware-aw558-wired-optical-mouse-aw558,,Optical,Wired,5000,Right,Black / Silver
Asus ROG Pugio,https://pcpartpicker.com/product/pfwqqs/asus-rog-pugio-wired-optical-mouse-pugio,,Optical,Wired,7200,Both,Black
Logitech MX MASTER 2S (White),https://pcpartpicker.com/product/X8DzK8/logitech-mx-master-2s-white-wireless-laser-mouse-910-005138,,Laser,Wireless,4000,Right,White
Razer D.Va Abyssus Elite,https://pcpartpicker.com/product/vjc48d/razer-dva-abyssus-elite-wired-optical-mouse-rz01-02160200-r3m1,87.38,Optical,Wired,7200,Both,Blue / Pink
Logitech MX Ergo,https://pcpartpicker.com/product/JMw7YJ/logitech-mx-ergo-wireless-optical-mouse-910-005177,,Optical,Wireless,440,Right,Black
MSI Clutch GM60,https://pcpartpicker.com/product/c2TPxr/msi-clutch-gm60-wired-optical-mouse-clutch-gm60-gaming-mouse,,Optical,Wired,10800,Right,Black
Redragon M990,https://pcpartpicker.com/product/t2tQzy/redragon-m990-wired-laser-mouse-m990,,Laser,Wired,24000,Right,Black
Adesso iMouse S60L,https://pcpartpicker.com/product/tGQG3C/adesso-imouse-s60l-wireless-optical-mouse-imouse-s60l,18.99,Optical,Wireless,1600,Right,Blue / Black
Glorious MODEL O GLOSSY,https://pcpartpicker.com/product/vdjJ7P/glorious-pc-gaming-race-model-o-glossy-wired-optical-mouse-go-gblack,81,Optical,Wired,12000,Right,Black
Zowie EC2-B,https://pcpartpicker.com/product/Qkvbt6/zowie-ec2-b-wired-optical-mouse-ec2-b,,Optical,Wired,3200,Right,Black / Red
Razer Basilisk Essential,https://pcpartpicker.com/product/bnm323/razer-basilisk-essential-wired-optical-mouse-rz01-02650100-r3m1,55.95,Optical,Wired,6400,Right,Black
Adesso iMouse M20B,https://pcpartpicker.com/product/kNtQzy/adesso-imouse-m20b-wireless-optical-mouse-imousem20b,14.99,Optical,Wireless,1600,Right,Black
Adesso iMouse S200B,https://pcpartpicker.com/product/rkYLrH/adesso-imouse-s200b-wireless-optical-mouse-imouses200b,21.23,Optical,Wireless,2000,Right,Black
Trust GXT 101D GAV,https://pcpartpicker.com/product/KRc48d/trust-gxt-101d-gav-wired-optical-mouse-22793,,Optical,Wired,4800,Right,Green / Black
Targus W575,https://pcpartpicker.com/product/WjXYcf/targus-w575-wireless-optical-mouse-amw575tt,21.99,Optical,Wireless,1600,Both,Black
Redragon MIRAGE,https://pcpartpicker.com/product/88rYcf/redragon-mirage-wireless-optical-mouse-mirage,,Optical,Wireless,4800,Right,Red / Black
HP OMEN Reactor,https://pcpartpicker.com/product/xTYQzy/hp-omen-reactor-wired-optical-mouse-2vp02aaabl,81.98,Optical,Wired,16000,Right,Black / Red
Cooler Master MM710 Glossy White,https://pcpartpicker.com/product/qckgXL/cooler-master-mm710-glossy-white-wired-optical-mouse-mm-710-wwol2,,Optical,Wired,16000,Right,White
Microsoft RJN-00037,https://pcpartpicker.com/product/32rYcf/microsoft-rjn-00037-bluetooth-wireless-optical-mouse-rjn-00037,31.99,Optical,Bluetooth Wireless,,Both,Pink
ROCCAT Kain 202 Aimo RGB,https://pcpartpicker.com/product/3vYQzy/roccat-kain-202-aimo-rgb-wireless-optical-mouse-roc-11-615-we,,Optical,Wireless,16000,Right,White
Evoluent VMDLW,https://pcpartpicker.com/product/9vYQzy/evoluent-vmdlw-wireless-laser-mouse-vmdlw,137.95,Laser,Wireless,,Right,Black / Silver
SteelSeries Rival 710,https://pcpartpicker.com/product/YrfFf7/steelseries-rival-710-wired-optical-mouse-62334,,Optical,Wired,16000,Right,Black
SteelSeries Aerox 3,https://pcpartpicker.com/product/rzBhP6/steelseries-aerox-3-wired-optical-mouse-62599,,Optical,Wired,8500,Right,Black
Razer Basilisk,https://pcpartpicker.com/product/2HfFf7/razer-basilisk-wired-optical-mouse-rz01-02330300-r3m1,,Optical,Wired,16000,Right,
Asus ROG Chakram Core,https://pcpartpicker.com/product/jZn8TW/asus-rog-chakram-core-wired-optical-mouse-90mp01t0-bmua00,,Optical,Wired,16000,Right,Black
SteelSeries Rival 300 CS:GO Hyper Beast Edition,https://pcpartpicker.com/product/BTnypg/steelseries-rival-300-csgo-hyper-beast-edition-wired-optical-mouse-62363,,Optical,Wired,6500,Right,Orange / Black
AOC GM500,https://pcpartpicker.com/product/XkJgXL/aoc-gm500-wired-optical-mouse-gm500,,Optical,Wired,5000,Both,Black
Endgame Gear XM1 RGB,https://pcpartpicker.com/product/trM48d/endgame-gear-xm1-rgb-wired-optical-mouse-egg-xm1rgb-wht,92.36,Optical,Wired,16000,Right,White / Black
‎DREAM MACHINES DM1 FPS,https://pcpartpicker.com/product/WyqPxr/dream-machines-dm1-fps-wired-optical-mouse-dm1fps_blackmatte,,Optical,Wired,16000,Right,Black
ROCCAT KONE Pro Air,https://pcpartpicker.com/product/X6pzK8/roccat-kone-pro-air-wireless-optical-mouse-roc-11-415-01,,Optical,Wireless,19000,Right,White
Gigabyte AORUS M2,https://pcpartpicker.com/product/pBBG3C/gigabyte-aorus-m2-wired-optical-mouse-aorus-m2,,Optical,Wired,6200,Both,Black
EVGA X12,https://pcpartpicker.com/product/22ddnQ/evga-x12-wired-optical-mouse-905-w1-12wh-kr,,Optical,Wired,16000,Both,White / Gray
HP HyperX Pulsefire Raid,https://pcpartpicker.com/product/DgGbt6/hp-hyperx-pulsefire-raid-wired-optical-mouse-4p5q3aa,,Optical,Wired,16000,Right,Black
HP HyperX Pulsefire Haste,https://pcpartpicker.com/product/MtzhP6/hp-hyperx-pulsefire-haste-wired-optical-mouse-4p5e4aa,,Optical,Wired,16000,Right,White / Pink
Asus TUF GAMING x Demon Slayer L.E. Tanjiro Kamado,https://pcpartpicker.com/product/77t9TW/asus-tuf-gaming-x-demon-slayer-le-tanjiro-kamado-wired-optical-mouse-p308-tuf-gaming-m3-ds,,Optical,Wired,7000,Right,Black / Green
Logitech Graphite Signature M550,https://pcpartpicker.com/product/zL8bt6/logitech-graphite-signature-m550-bluetooth-wireless-optical-mouse-910-006781,29.99,Optical,Bluetooth Wireless,4000,Both,Gray
Pulsar Xlite V2,https://pcpartpicker.com/product/6nbTwP/pulsar-xlite-v2-wireless-optical-mouse-pxw21,,Optical,Wireless,20000,Right,Black
KLIM Aim,https://pcpartpicker.com/product/srddnQ/klim-aim-wired-optical-mouse-k8,,Optical,Wired,7000,Right,Silver
Razer Viper,https://pcpartpicker.com/product/X3qPxr/razer-viper-wired-optical-mouse-rz01-02550600-r3u1,,Optical,Wired,16000,Both,Pink / Gray
Logitech MX ANYWHERE 3,https://pcpartpicker.com/product/mkzhP6/logitech-mx-anywhere-3-bluetoothwireless-laser-mouse-910-005987,84.99,Laser,"Wireless, Bluetooth Wireless",4000,Right,Black
Xtrfy M4 RGB,https://pcpartpicker.com/product/RJFbt6/xtrfy-m4-rgb-wired-optical-mouse-xg-m4-rgb-white,85.52,Optical,Wired,16000,Right,White
Lamzu Atlantis OG,https://pcpartpicker.com/product/FbvD4D/lamzu-atlantis-og-wiredwireless-optical-mouse-40980949237794,,Optical,"Wired, Wireless",26000,Right,Green / Gold
Pulsar X2 Mini,https://pcpartpicker.com/product/2zyH99/pulsar-x2-mini-wiredwireless-optical-mouse-px202s,,Optical,"Wired, Wireless",26000,Right,White
Pulsar X2 Mini,https://pcpartpicker.com/product/rwP8TW/pulsar-x2-mini-wiredwireless-optical-mouse-px201s,,Optical,"Wired, Wireless",26000,Right,Black
Zowie ZA13-C,https://pcpartpicker.com/product/6LP8TW/zowie-za13-c-wired-optical-mouse-za13-c,,Optical,Wired,3200,Right,Black
Logitech M590,https://pcpartpicker.com/product/RHXYcf/logitech-m590-bluetoothwireless-optical-mouse-910-005014,,Optical,"Wireless, Bluetooth Wireless",1000,Right,Black
Keychron M3 Mini 4k,https://pcpartpicker.com/product/h8vD4D/keychron-m3-mini-4k-wiredbluetoothwireless-optical-mouse-m3m-a4,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Pulsar X2V2 Mini,https://pcpartpicker.com/product/FxQKHx/pulsar-x2v2-mini-bluetoothwirelesswired-optical-mouse-px2212,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Pulsar X2H,https://pcpartpicker.com/product/VCV2FT/pulsar-x2h-bluetoothwirelesswired-optical-mouse-px2h23,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Red
Pulsar X2A,https://pcpartpicker.com/product/rW88TW/pulsar-x2a-bluetoothwirelesswired-optical-mouse-px2a23,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Deepcool MG510,https://pcpartpicker.com/product/Ds2WGX/deepcool-mg510-wiredwireless-optical-mouse-r-mg510-bkccnn-g,,Optical,"Wired, Wireless",19000,Right,Black
Asus ROG Keris,https://pcpartpicker.com/product/fH92FT/asus-rog-keris-wiredwirelessbluetooth-optical-mouse-90mp0230-b0ua00,,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Black
Asus TUF GAMING M5,https://pcpartpicker.com/product/jh848d/asus-tuf-gaming-m5-wired-optical-mouse-p304-tuf-gaming-m5-us,,Optical,Wired,6200,Right,Black
AZIO RM-RCM-L-04,https://pcpartpicker.com/product/GDV2FT/azio-rm-rcm-l-04-bluetoothwirelesswired-optical-mouse-rm-rcm-l-04,,Optical,"Wired, Wireless, Bluetooth Wireless",3000,Both,Black / Silver
HP 240,https://pcpartpicker.com/product/rrYRsY/hp-240-bluetooth-optical-mouse-43n04aaaba,21.98,Optical,Bluetooth Wireless,1600,Both,Silver / Black
HP 250,https://pcpartpicker.com/product/gsMMnQ/hp-250-bluetoothwirelesswired-optical-mouse-6v2j7aaabl,22.98,Optical,"Wired, Wireless, Bluetooth Wireless",1600,Both,Black
HP 425,https://pcpartpicker.com/product/nRCZxr/hp-425-bluetooth-optical-mouse-7m1d5aaaba,33.98,Optical,Bluetooth Wireless,4000,Right,Black
Targus AMW584GL,https://pcpartpicker.com/product/9dkWGX/targus-amw584gl-wireless-optical-mouse-amw584gl,45.99,Optical,Wireless,,Right,Black / Gray
Kensington SureTrack,https://pcpartpicker.com/product/2fqBD3/kensington-suretrack-bluetoothwirelesswired-optical-mouse-k75352ww,14.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Both,Red
Logitech M317 Cotton Candy,https://pcpartpicker.com/product/28Hqqs/logitech-m317-cotton-candy-wirelesswired-optical-mouse-910-007055,19.99,Optical,"Wired, Wireless",1000,Both,Pink / Blue
Logitech M317 Chirpy Bird,https://pcpartpicker.com/product/H6ytt6/logitech-m317-chirpy-bird-wired-optical-mouse-910-006114,16.48,Optical,Wired,1000,Both,Pink / Green
Logitech 910-006581,https://pcpartpicker.com/product/fw92FT/logitech-910-006581-bluetoothwirelesswired-laser-mouse-910-006581,133.99,Laser,"Wired, Wireless, Bluetooth Wireless",8000,Right,Black
Logitech PEBBLE 2 M350S,https://pcpartpicker.com/product/qDhv6h/logitech-pebble-2-m350s-bluetoothwirelesswired-optical-mouse-910-007024,28.99,Optical,"Wired, Wireless, Bluetooth Wireless",1000,Both,Black
Logitech Signature M650 L,https://pcpartpicker.com/product/pYxRsY/logitech-signature-m650-l-bluetoothwirelesswired-optical-mouse-910-006358,40.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000,Right,Red / Black
Logitech M325S,https://pcpartpicker.com/product/8wRYcf/logitech-m325s-wirelesswired-optical-mouse-910006829,22.99,Optical,"Wired, Wireless",1000,Both,Blue / Black
Logitech M190,https://pcpartpicker.com/product/7czXsY/logitech-m190-wirelesswired-optical-mouse-910-005907,,Optical,"Wired, Wireless",1000,Both,Black / Blue
Microsoft 22200001,https://pcpartpicker.com/product/ZxLwrH/microsoft-22200001-bluetoothwirelesswired-optical-mouse-22200001,90,Optical,"Wired, Wireless, Bluetooth Wireless",2400,Right,Black
Microsoft 222-00033,https://pcpartpicker.com/product/f2XYcf/microsoft-222-00033-bluetoothwirelesswired-optical-mouse-222-00033,58.99,Optical,"Wired, Wireless, Bluetooth Wireless",2400,Right,Orange
Microsoft Modern Mobile,https://pcpartpicker.com/product/XFcG3C/microsoft-modern-mobile-bluetoothwirelesswired-optical-mouse-ktf-00085,,Optical,"Wired, Wireless, Bluetooth Wireless",2000,Both,Green
Mionix NAOS PRO,https://pcpartpicker.com/product/hJWzK8/mionix-naos-pro-wired-optical-mouse-naos-pro,,Optical,Wired,19000,Right,Black
MSI Clutch GM20 Elite,https://pcpartpicker.com/product/3XK2FT/msi-clutch-gm20-elite-wired-optical-mouse-s12-0400d00-c54,,Optical,Wired,6400,Right,Black
DeLUX M800 Ultra,https://pcpartpicker.com/product/VGfV3C/delux-m800-ultra-wirelessbluetoothwired-optical-mouse-m800ultra-blue-600mah,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Blue
MCHOSE AX5 Pro Max,https://pcpartpicker.com/product/rXfV3C/mchose-ax5-pro-max-wiredwirelessbluetooth-optical-mouse-ax5-10a,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
