name,part_url,price,configuration,wattage,frequency_response,color
Trust GXT 606 JAVV,https://pcpartpicker.com/product/3RtLrH/trust-gxt-606-javv-6-w-speakers-25108,121.73,2,6,"160,20",Black
Yamaha HS8,https://pcpartpicker.com/product/pp8H99/yamaha-speakers-hs8,497.99,2,120,"38,30",
Kanto REN,https://pcpartpicker.com/product/wgKnTW/kanto-ren-200-w-speakers-renmb,762.99,2,200,"50,22",Black
Edifier R1700BT,https://pcpartpicker.com/product/RXbCmG/edifier-r1700bt-66-w-20-channel-speakers-r1700bt,219.99,2,66,"60,20",Black / Brown
Logitech Z323,https://pcpartpicker.com/product/yx8Zxr/logitech-speakers-980000354,90.72,2.1,30,"55,20",
Razer Nommo V2 Pro,https://pcpartpicker.com/product/ymFmP6/razer-nommo-v2-pro-21-channel-speakers-rz05-04740100-r3u1,478.99,2.1,,"40,20",Black
Creative Labs Pebble V3,https://pcpartpicker.com/product/pwDQzy/creative-labs-pebble-v3-16-w-speakers-51mf1700aa003,56.74,2,16,"100,17",White / Copper
Edifier S351DB,https://pcpartpicker.com/product/7M62FT/edifier-s351db-150-w-21-channel-speakers-s351db,553.99,2.1,150,"40,20",Black
Yamaha NS-SP1800,https://pcpartpicker.com/product/49Crxr/yamaha-ns-sp1800-550w-51ch-speakers-ns-sp1800,,5.1,550,"28,50",
Kanto ORA4,https://pcpartpicker.com/product/4bvscf/kanto-ora4-140-w-speakers-ora4mw,343,2,140,"60,22",White
Cyber Acoustics CA-2014rb,https://pcpartpicker.com/product/mKzv6h/cyber-acoustics-speakers-ca2014rb,18.98,2,4,"85,18",
Edifier S350DB,https://pcpartpicker.com/product/r4cRsY/edifier-s350db-150-w-21-channel-speakers-s350db,459.99,2.1,150,"40,20",Black / Brown
Logitech S-150,https://pcpartpicker.com/product/hj6BD3/logitech-speakers-980000028,15.99,2,1.2,"90,20",
Edifier R1280DB-Black,https://pcpartpicker.com/product/Lfstt6/edifier-r1280db-black-42-w-20-channel-speakers-r1280db-black,229.99,2,42,"55,20",Black
Cyber Acoustics CA-3090,https://pcpartpicker.com/product/Fy6BD3/cyber-acoustics-speakers-ca3090,45.99,2.1,10,"160,20",
Yamaha HS8 W,https://pcpartpicker.com/product/hNGxFT/yamaha-hs8-w-120w-1ch-speakers-hs8-w,478.99,1,120,"38,30",
SteelSeries Arena 7 US,https://pcpartpicker.com/product/cCBG3C/steelseries-arena-7-us-21-channel-speakers-61541,299,2.1,,"35,20",Black
Bose Companion 2 Series III,https://pcpartpicker.com/product/267wrH/bose-speakers-3544951100,,2,,,
Creative Labs Sound Blaster Katana V2X,https://pcpartpicker.com/product/TRsV3C/creative-labs-sound-blaster-katana-v2x-90-w-21-channel-speakers-51mf8400aa000,306.99,2.1,90,"50,20",Black
ADAM Audio D3V,https://pcpartpicker.com/product/DpFCmG/adam-audio-d3v-240-w-speakers-ams-d3v-black,359.99,2,240,"45,23.2",Black
Logitech Z200,https://pcpartpicker.com/product/bv38TW/logitech-z200-10-w-20-channel-speakers-980-000800,,2,10,"20,20",
PreSonus Eris 3.5 2nd Gen,https://pcpartpicker.com/product/RW88TW/presonus-eris-35-2nd-gen-50-w-speakers-2777500121,114.99,2,50,"80,20",Black / Blue
Creative Labs Sound Blaster GS3,https://pcpartpicker.com/product/72fV3C/creative-labs-sound-blaster-gs3-24-w-speakers-51mf8465aa000,73.74,2,24,"65,20",Black
Kanto YU2MW,https://pcpartpicker.com/product/22ndnQ/kanto-yu2mw-50w-2ch-speakers-yu2mw,198.5,2,50,"80,20",White / Black
Kanto ORA4,https://pcpartpicker.com/product/YjXMnQ/kanto-ora4-140-w-speakers-ora4mb,471.99,2,140,"60,22",Black
Edifier R980T,https://pcpartpicker.com/product/v4NxFT/edifier-r980t-24-w-20-channel-speakers-r980t,113.99,2,24,"70,20",Black
Edifier G2000,https://pcpartpicker.com/product/6Fy8TW/edifier-g2000-32-w-speakers-g2000-pink,149.99,2,32,"98,20",Pink
Razer Nommo V2 X,https://pcpartpicker.com/product/Pyqrxr/razer-nommo-v2-x-speakers-rz05-04760100-r3u1,149.99,2,,"75,20",Black
Audioengine A2+B,https://pcpartpicker.com/product/QygPxr/audioengine-a2b-60w-2ch-speakers-a2b,,2,60,"65,22",
Logitech Z207 (White),https://pcpartpicker.com/product/qCZFf7/logitech-z207-white-001w-2ch-speakers-980-001291,,2,0.01,,White
Logitech S120,https://pcpartpicker.com/product/X2vRsY/logitech-speakers-980000012,,2,2.3,"50,20",
Yamaha HS5,https://pcpartpicker.com/product/XNqbt6/yamaha-speakers-hs5,230.99,1,70,"54,30",
ADAM Audio D3V,https://pcpartpicker.com/product/Csjv6h/adam-audio-d3v-240-w-speakers-ams-d3v-white,349.99,2,240,"45,23.2",White
Logitech Z333,https://pcpartpicker.com/product/K6RFf7/logitech-speakers-980001203,,2.1,40,"55,20",
