name,part_url,price,interface,color
Plugable USBC-E1000,https://pcpartpicker.com/product/yhzZxr/plugable-usbc-e1000-usb-type-c-1-gbits-network-adapter-usbc-e1000,19.95,USB Type-C 3.2 Gen 1,
Intel X520-T2,https://pcpartpicker.com/product/hdyV3C/intel-x520-t2-pcie-x8-10-gbits-network-adapter-x520-t2,,PCIe x8,Green / Black
Intel E1G44HTBLK,https://pcpartpicker.com/product/4sdqqs/intel-wired-network-card-e1g44htblk,144,PCIe x4,
StarTech ST1000SPEX2L,https://pcpartpicker.com/product/kFQypg/startech-wired-network-card-st1000spex2l,22.77,PCIe x1,
TP-Link UE300,https://pcpartpicker.com/product/3p8H99/tp-link-ue300-network-adapter-ue300,9.98,USB Type-A 3.2 Gen 1,
StarTech ST2000PEXPSE,https://pcpartpicker.com/product/cqCwrH/startech-wired-network-card-st2000pexpse,165.99,PCIe x1,
Intel EXPI9404PTLBLK,https://pcpartpicker.com/product/C6Gkcf/intel-wired-network-card-expi9404ptlblk,,PCIe x4,
TP-Link UE300C,https://pcpartpicker.com/product/DcQfrH/tp-link-ue300c-gigabit-ethernet-usb-type-c-network-adapter-ue300c,11.98,USB Type-C,Black
Asus ROG AREION,https://pcpartpicker.com/product/bNMTwP/asus-rog-areion-10-gbs-ethernet-pcie-x4-network-adapter-areion-10g,,PCIe x4,Black
Intel EXPI9402PTG2P20,https://pcpartpicker.com/product/CwGxFT/intel-expi9402ptg2p20-pcie-x4-1000-mbits-network-adapter-expi9402ptg2p20,79.45,PCIe x4,Green / Black
Edimax EN-9130TXL,https://pcpartpicker.com/product/tQ8Zxr/edimax-wired-network-card-en9130txl,,PCI,
Intel E1G44HT,https://pcpartpicker.com/product/TnPfrH/intel-wired-network-card-e1g44ht,110,PCIe x4,
Gigabyte GC-AQC113C 10G,https://pcpartpicker.com/product/WxD7YJ/gigabyte-gc-aqc113c-10g-10-gbs-ethernet-pcie-x4-network-adapter-gc-aqc113c-10g,,PCIe x4,White / Silver
SIIG LB-GE0211-S1,https://pcpartpicker.com/product/wF7p99/siig-lb-ge0211-s1-10-gbs-ethernet-pcie-x4-network-adapter-lb-ge0211-s1,222.88,PCIe x4,Green / Black
Linksys USB3GIG,https://pcpartpicker.com/product/ncw7YJ/linksys-usb3gig-usb-30-1000-mbits-network-adapter-usb3gig,,USB Type-A 3.2 Gen 1,Black
Asus PCE-C2500,https://pcpartpicker.com/product/hRdrxr/asus-pce-c2500-100-mbs-ethernet-pcie-x1-network-adapter-pce-c2500,,PCIe x1,Red
Belkin F5D5000,https://pcpartpicker.com/product/hk2kcf/belkin-wired-network-card-f5d5000,11.09,PCI,
QNAP QXG-2G1T-I225,https://pcpartpicker.com/product/93qPxr/qnap-qxg-2g1t-i225-25-gbs-ethernet-pcie-x1-network-adapter-qxg-2g1t-i225,118.7,PCIe x1,Green / Silver
StarTech US2GC30,https://pcpartpicker.com/product/D9zXsY/startech-us2gc30-25-gbs-ethernet-usb-type-c-network-adapter-us2gc30,40.69,USB Type-C 3.2 Gen 1,Silver
Lenovo 7ZT7A00482,https://pcpartpicker.com/product/bgbCmG/lenovo-7zt7a00482-pcie-x1-1000-mbits-network-adapter-7zt7a00482,,PCIe x1,Green / Black
StarTech PEX100S,https://pcpartpicker.com/product/Mc9KHx/startech-wired-network-card-pex100s,19.84,PCIe x1,
StarTech USB32000SPT,https://pcpartpicker.com/product/nKW9TW/startech-wired-network-card-usb32000spt,56.99,USB Type-A 3.2 Gen 1,
Syba SY-PEX24030,https://pcpartpicker.com/product/4dyFf7/syba-wired-network-card-sypex24030,25.65,PCIe x1,
D-Link DFE530TX+,https://pcpartpicker.com/product/GJJwrH/d-link-wired-network-card-dfe530tx,,PCI,
Intel E10G42BT,https://pcpartpicker.com/product/78phP6/intel-wired-network-card-e10g42bt,,PCIe x8,
Acer NP.OTH11.005,https://pcpartpicker.com/product/kwR48d/acer-npoth11005-usb-20-10-mbits-network-adapter-npoth11005,,USB Type-A 2.0,
QLogic QLE3242-CU-CK,https://pcpartpicker.com/product/QWg323/qlogic-wired-network-card-qle3242cuck,,PCIe x8,
TP-Link TG-3269,https://pcpartpicker.com/product/vx8Zxr/tp-link-wired-network-card-tg3269,42.99,PCI,
Supermicro AOC-STG-i2T,https://pcpartpicker.com/product/NqYQzy/supermicro-aoc-stg-i2t-pcie-x8-10-gbits-network-adapter-aoc-stg-i2t,,PCIe x8,
StarTech ST1000SPEX2,https://pcpartpicker.com/product/DZV48d/startech-wired-network-card-st1000spex2,21.99,PCIe x1,
Intel EXPI9402PT,https://pcpartpicker.com/product/GL8Zxr/intel-wired-network-card-expi9402pt,,PCIe x4,
Intel PWLA8391GTLBLK,https://pcpartpicker.com/product/PX4gXL/intel-wired-network-card-pwla8391gtlblk,38.01,PCI,
EDUP EP-9602GS,https://pcpartpicker.com/product/kbkgXL/edup-ep-9602gs-pcie-x1-1000-mbits-network-adapter-ep-9602gs,,PCIe x1,Black
D-Link DUB-E100,https://pcpartpicker.com/product/MC7wrH/d-link-dub-e100-usb-20-100-mbits-network-adapter-dub-e100,33.81,USB Type-A 2.0,
Rosewill RNG-407-Dual,https://pcpartpicker.com/product/myGkcf/rosewill-wired-network-card-rng407dual,,PCIe x1,
StarTech ST3300U3S,https://pcpartpicker.com/product/ZZ6BD3/startech-wired-network-card-st3300u3s,64.57,USB Type-A 3.2 Gen 1,
TRENDnet TUC-ET2G,https://pcpartpicker.com/product/zryV3C/trendnet-tuc-et2g-usb-type-c-25-gbits-network-adapter-tuc-et2g,19.98,USB Type-C 3.2 Gen 1,Black
Syba SY-PEX24028,https://pcpartpicker.com/product/fPw323/syba-sy-pex24028-pcie-x1-1-gbits-network-adapter-sy-pex24028,,PCIe x1,
StarTech ST1000SPEXD3,https://pcpartpicker.com/product/WvPfrH/startech-wired-network-card-st1000spexd3,,PCIe x1,
StarTech USB21000S2,https://pcpartpicker.com/product/yk2kcf/startech-wired-network-card-usb21000s2,64.75,USB Type-A 2.0,
Intel E1G42ET,https://pcpartpicker.com/product/rDPfrH/intel-wired-network-card-e1g42et,,PCIe x4,
Intel PWLA8490MTBLK,https://pcpartpicker.com/product/vj6BD3/intel-wired-network-card-pwla8490mtblk,,PCI-X,
StarTech USB31000S,https://pcpartpicker.com/product/sk2kcf/startech-usb31000s-usb-30-1-gbits-network-adapter-usb31000s,31.23,USB Type-A 3.2 Gen 1,
Edimax EU-4208,https://pcpartpicker.com/product/9MLypg/edimax-wired-network-card-eu4208,,USB Type-A 2.0,
Syba SY-HUB24047,https://pcpartpicker.com/product/7m97YJ/syba-sy-hub24047-usb-30-1000-mbits-network-adapter-sy-hub24047,46.01,USB Type-A 3.2 Gen 1,Black
Rosewill RC-NIC416Dual,https://pcpartpicker.com/product/R2Jtt6/rosewill-rc-nic416dual-pcie-x4-10-gbits-network-adapter-rc-nic416dual,,PCIe x4,Black / Silver
D-Link DGE-560T,https://pcpartpicker.com/product/k3zFf7/d-link-dge-560t-gigabit-ethernet-pcie-x1-network-adapter-dge-560t,,PCIe x1,
SIIG LB-GE0014-S1,https://pcpartpicker.com/product/Qq4Ycf/siig-lb-ge0014-s1-2-x-gigabit-ethernet-pcie-x4-network-adapter-lb-ge0014-s1,119.99,PCIe x4,Green / Black
StarTech USB31000NDS,https://pcpartpicker.com/product/2hCwrH/startech-wired-network-card-usb31000nds,38.99,USB Type-A 3.2 Gen 1,
Syba SY-ADA24029,https://pcpartpicker.com/product/YgvRsY/syba-wired-network-card-syada24029,,USB Type-A 2.0,
StarTech ST1000SPEX,https://pcpartpicker.com/product/Gc9KHx/startech-wired-network-card-st1000spex,,PCIe x1,
D-Link DGE-530T,https://pcpartpicker.com/product/Dj6BD3/d-link-wired-network-card-dge530t,,PCI,
VisionTek Bigfoot Killer 2100,https://pcpartpicker.com/product/7QmLrH/visiontek-wired-network-card-900317,,PCIe x1,
Plugable USB3-E1000,https://pcpartpicker.com/product/dLmxFT/plugable-usb3-e1000-network-adapter-usb3-e1000,19.95,USB Type-A 3.2 Gen 1,
Edimax EN-9320TX-E,https://pcpartpicker.com/product/D2BhP6/edimax-en-9320tx-e-pcie-x4-10-gbits-network-adapter-en-9320tx-e,,PCIe x4,Silver / Green
Intel PWLA8391GTBLK,https://pcpartpicker.com/product/yKzv6h/intel-wired-network-card-pwla8391gtblk,24.98,PCI,
Intel EXPI9404PTL,https://pcpartpicker.com/product/Lsdqqs/intel-wired-network-card-expi9404ptl,,PCIe x4,
Belkin F2CU040btBLK,https://pcpartpicker.com/product/dp2rxr/belkin-f2cu040btblk-network-adapter-f2cu040btblk,23,USB Type-C 3.2 Gen 1,
StarTech ST1000BT32,https://pcpartpicker.com/product/whh9TW/startech-wired-network-card-st1000bt32,23.99,PCI,
Cisco N2XX-ABPCI03-M3=,https://pcpartpicker.com/product/drTmP6/cisco-wired-network-card-n2xxabpci03m3,,PCIe x4,
Lenovo 4X90E51405,https://pcpartpicker.com/product/NjPfrH/lenovo-wired-network-card-4x90e51405,,USB Type-A 3.2 Gen 1,
TP-Link UE305,https://pcpartpicker.com/product/CzmFf7/tp-link-ue305-gigabit-ethernet-usb-type-a-network-adapter-ue305,,USB Type-A 3.2 Gen 1,Black
Rosewill RC-20001,https://pcpartpicker.com/product/cvPgXL/rosewill-rc-20001-25-gbs-ethernet-pcie-x1-network-adapter-rc-20001,,PCIe x1,Black
SIIG LB-GE0611-S1,https://pcpartpicker.com/product/DXK2FT/siig-lb-ge0611-s1-25-gbs-ethernet-pcie-x1-network-adapter-lb-ge0611-s1,47.99,PCIe x1,Green / Black
TRENDnet TEG-PCITXR,https://pcpartpicker.com/product/Kp7wrH/trendnet-wired-network-card-tegpcitxr,17.99,PCI,
Intel E1G44ET2,https://pcpartpicker.com/product/8r4gXL/intel-wired-network-card-e1g44et2,,PCIe x4,
Rosewill RC-400,https://pcpartpicker.com/product/z6Gkcf/rosewill-wired-network-card-rc400,,PCI,
Rosewill RC-404,https://pcpartpicker.com/product/TYvRsY/rosewill-wired-network-card-rc404,,PCI,
StarTech ST100S,https://pcpartpicker.com/product/Dx8Zxr/startech-wired-network-card-st100s,,PCI,
Supermicro AOC-SG-i2,https://pcpartpicker.com/product/cTGkcf/supermicro-wired-network-card-aocsgi2,,PCIe x4,
Intel PWLA8391GT,https://pcpartpicker.com/product/JMzv6h/intel-wired-network-card-pwla8391gt,41.99,PCI,
Intel PWLA8492MT,https://pcpartpicker.com/product/9r4gXL/intel-wired-network-card-pwla8492mt,134.05,PCI-X,
Syba SY-ADA24027,https://pcpartpicker.com/product/27tCmG/syba-wired-network-card-syada24027,,USB Type-A 2.0,
Asus NX1101,https://pcpartpicker.com/product/CzJwrH/asus-wired-network-card-nx1101,,PCI,
Rosewill RC-401-EX,https://pcpartpicker.com/product/shh9TW/rosewill-wired-network-card-rc401ex,,PCIe x1,
