name,part_url,price,resolutions,connection,focus_type,os,fov
Adesso Cybertrack H6,https://pcpartpicker.com/product/td2bt6/adesso-cybertrack-h6-webcam-cybertrack-h6,67.99,"4k",USB 2.0 Type-A,Fixed,"Windows,OS X",80
Asus ROG EYE S,https://pcpartpicker.com/product/N2TFf7/asus-rog-eye-s-webcam-rog-eye-s,192.99,"1080p",USB 2.0 Type-A,Auto,,
Adesso Cybertrack H4,https://pcpartpicker.com/product/hrQfrH/adesso-cybertrack-h4-webcam-cybertrack-h4,29.99,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X",78
Logitech StreamCam,https://pcpartpicker.com/product/9YK2FT/logitech-streamcam-webcam-960-001289,154.11,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
Adesso Cybertrack H5,https://pcpartpicker.com/product/pnBhP6/adesso-cybertrack-h5-webcam-cybertrack-h5,29,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",80
OBSBOT Tiny SE,https://pcpartpicker.com/product/gfG2FT/obsbot-tiny-se-webcam-tiny-se,93,"1080p,720p,480p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
OBSBOT MEET 2,https://pcpartpicker.com/product/BrJp99/obsbot-meet-2-webcam-meet-2-cloud-white,100,"4k,1080p,720p,480p",USB 2.0 Type-C,Auto,"Windows,OS X",79.4
Dell WB3023,https://pcpartpicker.com/product/csWmP6/dell-wb3023-webcam-wb3023-ddao,82.96,"2k,1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",78
Logitech C930e,https://pcpartpicker.com/product/6V9tt6/logitech-c930e-webcam-960-000971,87.09,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",90
NexiGo N660P,https://pcpartpicker.com/product/p63NnQ/nexigo-n660p-webcam-n660p-pink,59.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",
Creative Labs Live! Cam Sync 1080p,https://pcpartpicker.com/product/k3GnTW/creative-labs-live-cam-sync-1080p-webcam-03vf086000000,71.31,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",77
Avermedia PW513,https://pcpartpicker.com/product/NGjBD3/avermedia-pw513-webcam-pw513,99.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",94
Logitech B525,https://pcpartpicker.com/product/rCWBD3/logitech-b525-webcam-960-000841,65.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",69
Avermedia Live Streamer CAM 313,https://pcpartpicker.com/product/nhwkcf/avermedia-live-streamer-cam-313-webcam-pw313,59.86,"1080p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Logitech StreamCam Plus,https://pcpartpicker.com/product/jQsnTW/logitech-streamcam-plus-webcam-960-001280,159.99,"1080p,720p,480p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",
Logitech C505,https://pcpartpicker.com/product/4DzhP6/logitech-c505-webcam-960-001363,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60
Elgato Facecam Premium,https://pcpartpicker.com/product/N9nypg/elgato-facecam-premium-webcam-10waa9901,,"1080p,720p",USB 3.2 Gen 1 Type-A,Manual,"Windows,OS X",82
Asus Webcam C3,https://pcpartpicker.com/product/TcYmP6/asus-webcam-c3-webcam-asus-webcam-c3,,"1080p",USB 2.0 Type-A,,"Windows,OS X,ChromeOS",
Logitech C910,https://pcpartpicker.com/product/2kCFf7/logitech-c910-webcam-960-000597,70.47,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",78
Anker B600 Video Bar,https://pcpartpicker.com/product/JDt9TW/anker-b600-video-bar-webcam-a3383,,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
Logitech C310,https://pcpartpicker.com/product/xmZzK8/logitech-c310-webcam-960-000585,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60
OBSBOT Tiny 4K,https://pcpartpicker.com/product/vDMMnQ/obsbot-tiny-4k-webcam-owb-2105-ce,,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",90
Microsoft LifeCam Studio,https://pcpartpicker.com/product/nqMTwP/microsoft-lifecam-studio-webcam-q2f-00013,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75
Microsoft LifeCam HD-3000,https://pcpartpicker.com/product/MxqBD3/microsoft-lifecam-hd-3000-webcam-t4h-00002,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Logitech C615 Portable,https://pcpartpicker.com/product/b6bCmG/logitech-c615-portable-webcam-960-000733,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Logitech C505e,https://pcpartpicker.com/product/YJkWGX/logitech-c505e-webcam-960-001385,70.79,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60
AUKEY PC-LM1,https://pcpartpicker.com/product/R9drxr/aukey-pc-lm1-webcam-pc-lm1,,"1080p,720p,480p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",55
NexiGo N660P,https://pcpartpicker.com/product/hfYRsY/nexigo-n660p-webcam-n660p,62.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",
