name,part_url,size,color,rpm,airflow,pwm,manufacturer,part_number,connectors
be quiet! Silent Wings 4,https://pcpartpicker.com/product/mTfxFT/be-quiet-silent-wings-4-767-cfm-120-mm-fan-bl115,120,White,2500,76.7,True,be quiet!,BL115,4-pin PWM
Thermaltake TOUGHFAN EX12 Pro 3-Pack,https://pcpartpicker.com/product/PJ9wrH/thermaltake-toughfan-ex12-pro-708-cfm-120-mm-fans-3-pack-cl-f171-pl12bl-a,120,Black,"500,2000","64.21,70.8",True,Thermaltake,CL-F171-PL12BL-A,4-pin PWM
Cooler Master Megaflow,https://pcpartpicker.com/product/4HCwrH/cooler-master-megaflow-110-cfm-200-mm-fan-r4-lus-07ar-gp,200,Clear,700,110,False,Cooler Master,R4-LUS-07AR-GP,3-pin
Enermax T.B. RGB 6-Pack,https://pcpartpicker.com/product/3HRzK8/enermax-tb-rgb-4753-cfm-120-mm-fans-6-pack-uctbrgb12-bp6,120,Black,"500,1500",47.53,True,Enermax,UCTBRGB12-BP6,Proprietary PWM
DARKROCK R140,https://pcpartpicker.com/product/4LHp99/darkrock-r140-615-cfm-140-mm-fan-dr-fan-r140-bk,140,Black,"800,1800",61.5,True,DARKROCK,DR-FAN-R140-BK,4-pin PWM|3-pin 5V Addressable RGB
Thermaltake CT120 EX ARGB Sync 3-Pack,https://pcpartpicker.com/product/tNvscf/thermaltake-ct120-ex-argb-sync-68-cfm-120-mm-fans-3-pack-cl-f220-pl12rg-a,120,Green / Black,"500,2000",68,True,Thermaltake,CL-F220-PL12RG-A,4-pin PWM|3-pin 5V Addressable RGB
Thermaltake SWAFAN EX12 RGB 3-Pack,https://pcpartpicker.com/product/6BZXsY/thermaltake-swafan-ex12-rgb-5711-cfm-120-mm-fans-3-pack-cl-f161-pl12sw-a,120,White,"500,2000","56.26,57.11",False,Thermaltake,CL-F161-PL12SW-A,Proprietary
HYTE THICC FP12 3-Pack,https://pcpartpicker.com/product/8dP8TW/hyte-thicc-fp12-1058-cfm-120-mm-fans-3-pack-fan-hyte-fp12-bw-3,120,Black / White,,105.8,True,HYTE,FAN-HYTE-FP12-BW-3,4-pin PWM
Fractal Design Aspect 14 RGB PWM 3-Pack,https://pcpartpicker.com/product/zc4Ycf/fractal-design-aspect-14-rgb-pwm-78-cfm-140-mm-fans-3-pack-fd-f-as1-1407,140,Black,"500,1700","20,78",True,Fractal Design,FD-F-AS1-1407,4-pin PWM|3-pin 5V Addressable RGB
Noctua P12 PWM,https://pcpartpicker.com/product/Z7mLrH/noctua-case-fan-nfp12pwm,120,Brown,"900,1300",,True,Noctua,NF-P12 PWM,4-pin PWM
Xilence XPF120.ARGB,https://pcpartpicker.com/product/7xzXsY/xilence-xpf120argb-682-cfm-120-mm-fan-xf063,120,Black,"500,1500",68.2,True,Xilence,XF063|XPF120.ARGB,4-pin PWM|3-pin 5V Addressable RGB
be quiet! Shadow Wings 2,https://pcpartpicker.com/product/vFGnTW/be-quiet-385-cfm-120-mm-fan-bl089,120,White / Black,900,38.5,True,be quiet!,BL089,4-pin PWM
Thermaltake CT120 EX Reverse ARGB Sync 3-Pack,https://pcpartpicker.com/product/RmYRsY/thermaltake-ct120-ex-reverse-argb-sync-6582-cfm-120-mm-fans-3-pack-cl-f198-pl12mg-a,120,Green,"500,2000",65.82,True,Thermaltake,CL-F198-PL12MG-A,4-pin PWM|3-pin 5V Addressable RGB
Scythe Kaze Flex140 Square,https://pcpartpicker.com/product/pYcG3C/scythe-kaze-flex140-square-1008-cfm-140-mm-fan-kf1425fd18s-p,140,Gray / Black,"300,1800","16.8,100.8",True,Scythe,KF1425FD18S-P,4-pin PWM
be quiet! Pure Wings 3,https://pcpartpicker.com/product/KxkH99/be-quiet-pure-wings-3-499-cfm-120-mm-fan-bl104,120,Black,1600,49.9,False,be quiet!,BL104,3-pin
Thermaltake TOUGHFAN EX14 Pro 3-Pack,https://pcpartpicker.com/product/JnvD4D/thermaltake-toughfan-ex14-pro-1196-cfm-140-mm-fans-3-pack-cl-f172-pl14bl-a,140,Black,"500,2000","102.3,119.6",True,Thermaltake,CL-F172-PL14BL-A,4-pin PWM
TRYX ROTA PRO,https://pcpartpicker.com/product/kqDQzy/tryx-rota-pro-8132-cfm-120-mm-fan-f-r120p-nn1m-g0w,120,White,"500,2250",81.32,True,TRYX,F-R120P-NN1M-G0W,4-pin PWM
darkFlash Aurora DR12 PRO 5-Pack,https://pcpartpicker.com/product/Hzxbt6/darkflash-aurora-dr12-pro-2034-cfm-fans-5-pack-dr12-pro-5in1,120,Black,1200,20.34,False,darkFlash,DR12 PRO 5IN1|CP-FAN-DR12-5,Proprietary
Cooler Master SickleFlow,https://pcpartpicker.com/product/wL3RsY/cooler-master-case-fan-r4l2r20arr1,120,Translucent Gray,2000,69.69,False,Cooler Master,R4-L2R-20AR-R1,3-pin
Corsair LL140,https://pcpartpicker.com/product/xYp323/corsair-ll140-rgb-led-515-cfm-140-mm-fan-co-9050073-ww,140,Black,"600,1300",51.5,True,Corsair,CO-9050073-WW,4-pin PWM|Proprietary RGB
ARCTIC F12 PST 4-Pack,https://pcpartpicker.com/product/8QpzK8/arctic-f12-pst-53-cfm-120-mm-fans-4-pack-acfan00260a,120,Black,"230,1350",53,True,ARCTIC,ACFAN00260A,4-pin PWM
Thermalright TL-C12015,https://pcpartpicker.com/product/9CZXsY/thermalright-tl-c12015-52-cfm-120-mm-fan-tl-c12015,120,Gray,1500,52,True,Thermalright,TL-C12015,4-pin PWM
ADATA XPG VENTO PRO,https://pcpartpicker.com/product/3DvdnQ/adata-xpg-vento-pro-75-cfm-120-mm-fan-ventopro120pwm-bkcww,120,Gray / Black,"450,2150",75,True,ADATA,VENTOPRO120PWM-BKCWW|75260188,4-pin PWM
Noctua A15 HS-PWM chromax.black.swap,https://pcpartpicker.com/product/DKFXsY/noctua-nf-a15-hs-pwm-chromaxblackswap-825-cfm-140mm-fan-nf-a15-hs-pwm-chromaxblackswap,140,Multicolor,"300,1500",82.52,True,Noctua,NF-A15 HS-PWM chromax.black.swap|NF-A15 HS-PWM CH.BK.S|NF-A15 HS-PWM CHROMAX|NF-A15-HS-PWM-CH-BK-S,4-pin PWM
Phanteks M25-140 PWM 3-Pack,https://pcpartpicker.com/product/fVddnQ/phanteks-m25-140-pwm-10462-cfm-140-mm-fans-3-pack-ph-f140m25_pwm_bbk01_3p,140,Black,"500,1800",104.62,True,Phanteks,PH-F140M25_PWM_BBK01_3P,4-pin PWM
ARCTIC P8,https://pcpartpicker.com/product/pK3mP6/arctic-p8-234-cfm-80-mm-fan-acfan00147a,80,Black,3000,23.4,False,ARCTIC,ACFAN00147A,3-pin
Montech AIR FAN P120 2-Pack,https://pcpartpicker.com/product/Xv88TW/montech-air-fan-p120-73-cfm-120-mm-fans-2-pack-air-fan-p120,120,Gray / Black,"600,1500",73,True,Montech,AIR FAN P120,4-pin PWM
Cooler Master MOBIUS 120,https://pcpartpicker.com/product/Pzt9TW/cooler-master-mobius-120-631-cfm-120-mm-fan-mfz-m2nn-21npk-r1,120,Black,,63.1,True,Cooler Master,MFZ-M2NN-21NPK-R1,4-pin PWM|3-pin 5V Addressable RGB
MSI MPG F120 ARGB-2W 2-Pack,https://pcpartpicker.com/product/2ZjRsY/msi-mpg-f120-argb-2w-5079-cfm-120-mm-fans-2-pack-mpg-f120-argb-2w,120,White,"600,1200",50.79,True,MSI,MPG F120 ARGB-2W,4-pin PWM|3-pin 5V Addressable RGB
ENDORFY Fluctus,https://pcpartpicker.com/product/ftMMnQ/endorfy-fluctus-120-mm-fan-ey4a001,120,Black,"250,1800",,True,ENDORFY,EY4A001,4-pin PWM
ARCTIC F12 PST 5-Pack,https://pcpartpicker.com/product/mCNxFT/arctic-f12-pst-53-cfm-120-mm-fans-5-pack-acfan00250a,120,Black,"230,1350",53,True,ARCTIC,ACFAN00250A,4-pin PWM
Antec Fusion 120 ARGB 3-Pack,https://pcpartpicker.com/product/HhWzK8/antec-fusion-120-argb-5793-cfm-120-mm-fans-3-pack-0-761345-57010-7,120,Black,"600,2000",57.93,True,Antec,0-761345-57010-7,4-pin PWM|3-pin 5V Addressable RGB
Thermaltake CT120 2-Pack,https://pcpartpicker.com/product/DD88TW/thermaltake-ct120-5705-cfm-120-mm-fans-2-pack-cl-f151-pl12wt-a,120,White,"500,2000",57.05,True,Thermaltake,CL-F151-PL12WT-A,4-pin PWM
Super Flower MEGACOOL 3-Pack,https://pcpartpicker.com/product/k7Jp99/super-flower-megacool-17503-cfm-140-mm-fans-3-pack-sf-pf141-bk_3p,140,Black / Purple,"1800,2700","110.33,175.03",True,Super Flower,SF-PF141-BK_3P,4-pin PWM
Fractal Design Silent R3,https://pcpartpicker.com/product/ZfH48d/fractal-design-case-fan-fdfanssr3120wt,120,Black / White,1200,46.5,False,Fractal Design,FD-FAN-SSR3-120-WT,3-pin
Phanteks M25-120 PWM D-RGB 3-Pack,https://pcpartpicker.com/product/62QcCJ/phanteks-m25-120-pwm-d-rgb-8426-cfm-120-mm-fans-3-pack-ph-f120m25_drgb_pwm_wt01_3p,120,White,"500,2000",84.26,True,Phanteks,PH-F120M25_DRGB_PWM_WT01_3P,4-pin PWM|3-pin 5V Addressable RGB
ARCTIC P14 Max,https://pcpartpicker.com/product/zWMMnQ/arctic-p14-max-95-cfm-140-mm-fan-acfan00304a,140,White,"400,2800",95,True,ARCTIC,ACFAN00304A,4-pin PWM
Corsair iCUE AR120 Digital RGB 3-Pack,https://pcpartpicker.com/product/wcRwrH/corsair-icue-ar120-digital-rgb-59-cfm-120-mm-fans-3-pack-co-9050167-ww,120,Black,"400,1850","10.7,59",True,Corsair,CO-9050167-WW,4-pin PWM|Proprietary RGB
ARCTIC P14,https://pcpartpicker.com/product/byjJ7P/arctic-p14-728-cfm-140-mm-fan-acfan00124a,140,Black,"200,1700",72.8,True,ARCTIC,ACFAN00124A,4-pin PWM
be quiet! Pure Wings 3,https://pcpartpicker.com/product/3B7scf/be-quiet-pure-wings-3-574-cfm-140-mm-fan-bl107,140,Black,1200,57.4,False,be quiet!,BL107,3-pin
Montech METAL 120 PWM,https://pcpartpicker.com/product/YVt9TW/montech-metal-120-pwm-69-cfm-120-mm-fan-metal-120-pwm,120,Black,"800,1950",69,True,Montech,METAL 120 PWM,4-pin PWM
ARCTIC P12 PWM PST A-RGB 0dB,https://pcpartpicker.com/product/YLZ9TW/arctic-p12-pwm-pst-a-rgb-0db-488-cfm-120-mm-fan-acfan00254a,120,White / Gray,,48.8,True,ARCTIC,ACFAN00254A,4-pin PWM|3-pin 5V Addressable RGB
Noctua S12A ULN,https://pcpartpicker.com/product/T4H323/noctua-case-fan-nfs12auln,120,Brown,"600,800",,False,Noctua,NF-S12A ULN,3-pin
ID-COOLING NO-12015-XT ARGB,https://pcpartpicker.com/product/bgGbt6/id-cooling-no-12015-xt-argb-546-cfm-120-mm-fan-no-12015-xt-argb,120,Gray / Black,"500,2000",54.6,True,ID-COOLING,NO-12015-XT ARGB,4-pin PWM|3-pin 5V Addressable RGB
Fractal Design Prisma AL,https://pcpartpicker.com/product/WDkH99/fractal-design-prisma-al-8571-cfm-120-mm-fan-fd-fan-pri-al12-pwm-wt,120,White,"500,2000","20.68,85.71",True,Fractal Design,FD-FAN-PRI-AL12-PWM-WT,4-pin PWM|3-pin 5V Addressable RGB
Thermalright TL-H12015,https://pcpartpicker.com/product/zBLp99/thermalright-tl-h12015-5636-cfm-120-mm-fan-tl-h12015b,120,Black,1900,56.36,True,Thermalright,TL-H12015B,4-pin PWM
Xigmatek XAF,https://pcpartpicker.com/product/yJckcf/xigmatek-case-fan-xaff1453,140,Orange,"800,1300",90.3,False,Xigmatek,XAF-F1453,3-pin
Corsair iCUE AF120 RGB SLIM,https://pcpartpicker.com/product/sbLdnQ/corsair-icue-af120-rgb-slim-563-cfm-120-mm-fan-co-9050162-ww,120,Black,"600,2000","13.4,56.3",True,Corsair,CO-9050162-WW,4-pin PWM|Proprietary RGB
HAVN H12 3-Pack,https://pcpartpicker.com/product/h3MXsY/havn-h12-7244-cfm-120-mm-fans-3-pack-hvn-fs-h1230-01-tri,120,White,,72.44,True,HAVN,HVN-FS-H1230-01-TRI,4-pin PWM
Noctua P14s redux-900,https://pcpartpicker.com/product/rDrG3C/noctua-case-fan-nfp14sredux900,140,Black / Gray,900,49.26,False,Noctua,NF-P14s redux-900,3-pin
Thermalright TL-B6B,https://pcpartpicker.com/product/CfYRsY/thermalright-tl-b6b-1617-cfm-60-mm-fan-tl-b6b,60,Black,3200,16.17,True,Thermalright,TL-B6B,4-pin PWM
BitFenix Spectre Pro,https://pcpartpicker.com/product/d8phP6/bitfenix-case-fan-bffspro23030kkrp,230,Black,900,156.27,False,BitFenix,BFF-SPRO-23030KK-RP,3-pin
Zalman F3,https://pcpartpicker.com/product/LdNp99/zalman-case-fan-f3ledsf,120,Clear,1200,,False,Zalman,F3 LED (SF),3-pin
Deepcool CF 3-Pack,https://pcpartpicker.com/product/FDMwrH/deepcool-cf120-565-cfm-120-mm-fans-3-pack-dp-fa-rgb-cf120-3,120,,"500,1500",56.5,True,Deepcool,DP-FA-RGB-CF120-3|CF 120 (3 IN 1)|CF120 3in1,4-pin PWM|3-pin 5V Addressable RGB
Corsair AF120 (2018),https://pcpartpicker.com/product/2fTPxr/corsair-af120-led-2018-white-52-cfm-120mm-fan-co-9050079-ww,120,Black / White,1400,52,False,Corsair,CO-9050079-WW,3-pin
Thermalright TL-9015,https://pcpartpicker.com/product/8QKscf/thermalright-tl-9015-4258-cfm-92-mm-fan-tl-9015b-d6,92,Black,2700,42.58,True,Thermalright,TL-9015B D6,4-pin PWM
DARKROCK R140,https://pcpartpicker.com/product/fTqNnQ/darkrock-r140-615-cfm-140-mm-fan-dr-fan-r140-wt,140,White,"800,1800",61.5,True,DARKROCK,DR-FAN-R140-WT,4-pin PWM|3-pin 5V Addressable RGB
Geometric Future Squama 3805 3-Pack,https://pcpartpicker.com/product/GZn9TW/geometric-future-squama-3805-115-cfm-120-mm-fans-3-pack-geo-s3805b-3,120,Black,"700,2500",115,True,Geometric Future,GEO-S3805B-3,4-pin PWM|3-pin 5V Addressable RGB
Alphacool Apex Stealth Metal,https://pcpartpicker.com/product/k7grxr/alphacool-apex-stealth-metal-47-cfm-120-mm-fan-13818,120,Silver / Black,"400,2000",47,True,Alphacool,13818|AC-13818,4-pin PWM
KOLINK UMBRA VOID,https://pcpartpicker.com/product/8Pqrxr/kolink-umbra-void-41-cfm-120-mm-fan-umbra-void-120mm,120,Black,1500,41,True,KOLINK,UMBRA VOID 120MM,4-pin PWM|3-pin 5V Addressable RGB
HAVN H12,https://pcpartpicker.com/product/JyRnTW/havn-h12-7244-cfm-120-mm-fan-hvn-fs-h1230-02,120,Black,,72.44,True,HAVN,HVN-FS-H1230-02,4-pin PWM
NZXT FN,https://pcpartpicker.com/product/jmw323/nzxt-fn-140rb-625-cfm-140-mm-fan-fn-140rb,140,White,1300,62.5,False,NZXT,FN-140RB,3-pin
be quiet! Shadow Wings 2,https://pcpartpicker.com/product/pFjJ7P/be-quiet-bl085-385-cfm-120mm-fan-bl085,120,Black,1100,38.5,True,be quiet!,BL085,4-pin PWM
Thermaltake CT140 EX ARGB Sync 3-Pack,https://pcpartpicker.com/product/QL4Pxr/thermaltake-ct140-ex-argb-sync-903-cfm-140-mm-fans-3-pack-cl-f222-pl14rg-a,140,Green / Black,"500,1800",90.3,True,Thermaltake,CL-F222-PL14RG-A,4-pin PWM|3-pin 5V Addressable RGB
GAMDIAS AEOLUS P2,https://pcpartpicker.com/product/c3GhP6/gamdias-aeolus-p2-7497-cfm-120-mm-fan-aeolus-p2-1201,120,Black,"1000,2400",74.97,True,GAMDIAS,AEOLUS P2-1201,4-pin PWM|3-pin 5V Addressable RGB
Scythe Kaze Flex 120,https://pcpartpicker.com/product/RtpzK8/scythe-kaze-flex-120-6647-cfm-120-mm-fan-kf1225fd15b-p,120,Black,"300,1500","16.6,66.47",True,Scythe,KF1225FD15B-P,4-pin PWM
Corsair ML120 2-Pack,https://pcpartpicker.com/product/CJyxFT/corsair-co-9050039-ww-750-cfm-120mm-fan-co-9050039-ww,120,White / Black,"400,2400","12,75",True,Corsair,CO-9050039-WW,4-pin PWM
Bitspower Notos 3-Pack,https://pcpartpicker.com/product/76kWGX/bitspower-notos-120-mm-fans-3-pack-bpta-fx1812nt-3,120,Black / White,"800,1800",,True,Bitspower,BPTA-FX1812NT-3,4-pin PWM|3-pin 5V Addressable RGB
ENDORFY Stratus,https://pcpartpicker.com/product/DXKscf/endorfy-stratus-120-mm-fan-ey4a008,120,Black,"200,1400",,True,ENDORFY,EY4A008,4-pin PWM|3-pin 5V Addressable RGB
Thermalright TL-C12W-S V3,https://pcpartpicker.com/product/dNBzK8/thermalright-tl-c12w-s-v3-6617-cfm-120-mm-fan-tl-c12w-s-v3,120,White,1500,66.17,True,Thermalright,TL-C12W-S V3,4-pin PWM|3-pin 5V Addressable RGB
Alphacool Apex Stealth Metal,https://pcpartpicker.com/product/6LKscf/alphacool-apex-stealth-metal-7098-cfm-120-mm-fan-13856,120,Gold / Black,"400,3000",70.98,True,Alphacool,13856|AC-13856,4-pin PWM
be quiet! Shadow Wings 2,https://pcpartpicker.com/product/gqtQzy/be-quiet-bl087-498-cfm-140mm-fan-bl087,140,Black,900,49.8,True,be quiet!,BL087,4-pin PWM
Fractal Design Aspect 12 RGB 3-Pack,https://pcpartpicker.com/product/xMwypg/fractal-design-aspect-12-rgb-32-cfm-120-mm-fans-3-pack-fd-f-as1-1206,120,Black,1200,32,False,Fractal Design,FD-F-AS1-1206,3-pin|3-pin 5V Addressable RGB
Thermaltake Pure ARGB TT Premium Edition 3-Pack,https://pcpartpicker.com/product/nXx2FT/thermaltake-pure-12-argb-tt-premium-edition-5645-cfm-120-mm-fans-3-pack-cl-f079-pl12sw-a,120,Black,"500,1500",56.45,True,Thermaltake,CL-F079-PL12SW-A,Proprietary PWM
Corsair ML Elite,https://pcpartpicker.com/product/9pcG3C/corsair-ml-elite-581-cfm-120-mm-fan-co-9050126-ww,120,White,"450,2000","14.86,58.1",True,Corsair,CO-9050126-WW,4-pin PWM
Thermalright TL-8015,https://pcpartpicker.com/product/Wcgrxr/thermalright-tl-8015-284-cfm-80-mm-fan-tl-8015w,80,White,2200,28.4,True,Thermalright,TL-8015W,4-pin PWM
Geometric Future Squama 2503 3-Pack,https://pcpartpicker.com/product/Ttrqqs/geometric-future-squama-2503-6911-cfm-120-mm-fans-3-pack-geo-s2503b-3,120,Black,2000,69.11,True,Geometric Future,GEO-S2503B-3,4-pin PWM|3-pin 5V Addressable RGB
NZXT F120Q (2022),https://pcpartpicker.com/product/F2stt6/nzxt-f120q-2022-64-cfm-120-mm-fan-rf-q12sf-w1,120,White,"500,1200","27.77,64",True,NZXT,RF-Q12SF-W1,4-pin PWM
Thermaltake TOUGHFAN 12 Pro 2-Pack,https://pcpartpicker.com/product/R4BzK8/thermaltake-toughfan-12-pro-708-cfm-120-mm-fans-2-pack-cl-f159-pl12bl-a,120,Black,"500,2000","49.13,70.8",True,Thermaltake,CL-F159-PL12BL-A,4-pin PWM
Xilence XPF120.R.PWM,https://pcpartpicker.com/product/3xzXsY/xilence-xpf120rpwm-579-cfm-120-mm-fan-xf042,120,Red / Black,"500,1500",57.9,True,Xilence,XF042|XPF120.R.PWM,4-pin PWM
Thermaltake CT140 EX Reverse ARGB Sync 3-Pack,https://pcpartpicker.com/product/Trm2FT/thermaltake-ct140-ex-reverse-argb-sync-9495-cfm-140-mm-fans-3-pack-cl-f229-pl14pk-a,140,Pink,"500,1800",94.95,True,Thermaltake,CL-F229-PL14PK-A,4-pin PWM|3-pin 5V Addressable RGB
Corsair ML140 PRO 2-Pack,https://pcpartpicker.com/product/9jXnTW/corsair-ml140-pro-rgb-554-cfm-140-mm-fans-2-pack-co-9050078-ww,140,Black / White,"400,1200",55.4,True,Corsair,CO-9050078-WW,4-pin PWM|Proprietary RGB
Corsair iCUE AF120 RGB SLIM 2-Pack,https://pcpartpicker.com/product/cXkH99/corsair-icue-af120-rgb-slim-563-cfm-120-mm-fans-2-pack-co-9050165-ww,120,White,"600,2000","13.4,56.3",True,Corsair,CO-9050165-WW,4-pin PWM|Proprietary RGB
Xilence XPF80.W,https://pcpartpicker.com/product/tG88TW/xilence-xpf80w-218-cfm-80-mm-fan-xf034,80,Black,1800,21.8,False,Xilence,XF034|XPF80.W,3-pin
Delta Electronics FFB1212EH-F00,https://pcpartpicker.com/product/Px8Zxr/delta-electronics-ffb1212eh-f00-15033-cfm-120-mm-fan-ffb1212eh-f00,120,Black,4000,150.33,False,Delta Electronics,FFB1212EH-F00,3-pin
Corsair SP120 2-Pack,https://pcpartpicker.com/product/bVtCmG/corsair-case-fan-co9050029ww,120,Black / Red,1650,57.24,False,Corsair,CO-9050029-WW,3-pin
Corsair ML120 Pro,https://pcpartpicker.com/product/LkJkcf/corsair-co-9050040-ww-750-cfm-120mm-fan-co-9050040-ww,120,Black,"400,2400","12,75",True,Corsair,CO-9050040-WW,4-pin PWM
Thermalright TL-B14,https://pcpartpicker.com/product/pBzXsY/thermalright-tl-b14-825-cfm-140-mm-fan-tl-b14,140,Gray,1500,82.5,True,Thermalright,TL-B14|TL-B14-D3,4-pin PWM
NZXT Aer P,https://pcpartpicker.com/product/34yxFT/nzxt-aer-p140-982-cfm-140mm-fan-rf-ap140-fp,140,Black,"500,1800","27.27,98.17",True,NZXT,RF-AP140-FP,4-pin PWM
Mars Gaming MF-LINKFINITY,https://pcpartpicker.com/product/BVDnTW/mars-gaming-mf-linkfinity-69-cfm-120-mm-fan-mflinkfinity,120,Black,"800,2000",69,True,Mars Gaming,MFLINKFINITY,4-pin PWM|3-pin 5V Addressable RGB
be quiet! Light Wings LX 3-Pack,https://pcpartpicker.com/product/CxyH99/be-quiet-light-wings-lx-56-cfm-140-mm-fans-3-pack-bl127,140,Black,1200,56,True,be quiet!,BL127,4-pin PWM|3-pin 5V Addressable RGB
HAVN H14,https://pcpartpicker.com/product/t7gZxr/havn-h14-8518-cfm-140-mm-fan-hvn-fs-h1430-01,140,White,,85.18,True,HAVN,HVN-FS-H1430-01,4-pin PWM
NoiseBlocker NB-ELOOP X ARGB,https://pcpartpicker.com/product/xHtKHx/noiseblocker-nb-eloop-x-argb-5809-cfm-120-mm-fan-itr-b12x-ps,120,White,,"0,58.09",True,NoiseBlocker,ITR-B12X-PS,4-pin PWM|3-pin 5V Addressable RGB
Gigabyte AORUS EZ CHAIN FAN 120,https://pcpartpicker.com/product/KccBD3/gigabyte-aorus-ez-chain-fan-120-60-cfm-120-mm-fan-gp-ecfan1201-ice,120,White,"600,2000",60,True,Gigabyte,GP-ECFAN1201 ICE,4-pin PWM|3-pin 5V Addressable RGB
Phanteks PH-F140D30 3-Pack,https://pcpartpicker.com/product/hrWJ7P/phanteks-ph-f140d30-7193-cfm-140-mm-fans-3-pack-ph-f140d30_drgb_pwm_wt01_3p,140,White,"250,1800",71.93,True,Phanteks,PH-F140D30_DRGB_PWM_WT01_3P,4-pin PWM|3-pin 5V Addressable RGB
Deepcool FT14,https://pcpartpicker.com/product/zk62FT/deepcool-ft14-7883-cfm-140-mm-fan-r-ft14-bkwpn1-g,140,Black,"500,1650",78.83,True,Deepcool,R-FT14-BKWPN1-G,4-pin PWM
Scythe Kaze Flex II Slim,https://pcpartpicker.com/product/Lfrqqs/scythe-kaze-flex-ii-slim-48-cfm-120-mm-fan-kfs1215fd18-p,120,Black,"300,1800","8.16,48",True,Scythe,KFS1215FD18-P,4-pin PWM
Deepcool FL12R 3-Pack,https://pcpartpicker.com/product/RB9nTW/deepcool-fl12r-55-cfm-120-mm-fans-3-pack-r-fl12r-whapn3-g,120,White,"500,2150",55,True,Deepcool,R-FL12R-WHAPN3-G,4-pin PWM|3-pin 5V Addressable RGB
Corsair ML140 Pro,https://pcpartpicker.com/product/D34NnQ/corsair-co-9050045-ww-970-cfm-140mm-fan-co-9050045-ww,140,Black,"400,2000","20,97",True,Corsair,CO-9050045-WW,4-pin PWM
Fractal Design Prisma AL,https://pcpartpicker.com/product/6sn9TW/fractal-design-prisma-al-10385-cfm-140-mm-fan-fd-fan-pri-al14-pwm-wt,140,White,"500,1700","31.67,103.85",True,Fractal Design,FD-FAN-PRI-AL14-PWM-WT,4-pin PWM|3-pin 5V Addressable RGB
Apevia APEVIA CO512L-PK Cosmos 120mm Pink LED Ultra Silent Case Fan w/ 16 LEDs & Anti-Vibration Rubber Pads (5 Pack) 5-Pack,https://pcpartpicker.com/product/9nrYcf/apevia-apevia-co512l-pk-cosmos-120mm-pink-led-ultra-silent-case-fan-w-16-leds-anti-vibration-rubber-pads-5-pack-5667-cfm-120-mm-fans-5-pack-co512l-pk,120,,1350,"57.67,56.67",False,Apevia,CO512L-PK,3-pin
ADATA XPG HURRICANE,https://pcpartpicker.com/product/ZtpQzy/adata-xpg-hurricane-91-cfm-140-mm-fan-75261026,140,Black,"700,1800",91,True,ADATA,75261026|HURRICANE140ARGBPWMBKCWW,4-pin PWM|3-pin 5V Addressable RGB
Cooler Master SickleFlow 120 ARGB,https://pcpartpicker.com/product/39VG3C/cooler-master-sickleflow-120-argb-62-cfm-120-mm-fan-mfx-b2dw-18npa-r1,120,White,"650,1800",62,True,Cooler Master,MFX-B2DW-18NPA-R1,4-pin PWM|3-pin 5V Addressable RGB
Cooler Master MasterFan MF200R ARGB,https://pcpartpicker.com/product/qkC48d/cooler-master-masterfan-mf200r-argb-903-cfm-200-mm-fan-r4-200r-08fa-r1,200,Black / Gray,800,90.3,False,Cooler Master,R4-200R-08FA-R1,3-pin|3-pin 5V Addressable RGB
Cooler Master Mobius OC,https://pcpartpicker.com/product/XHBzK8/cooler-master-mobius-oc-881-cfm-120-mm-fan-mfz-m2nn-32npk-r1,120,Blue / Black,,"40.2,88.1",True,Cooler Master,MFZ-M2NN-32NPK-R1,4-pin PWM
Thermalright TL-P9,https://pcpartpicker.com/product/8B9wrH/thermalright-tl-p9-3277-cfm-92-mm-fan-tl-p9w,92,White,2200,32.77,True,Thermalright,TL-P9W,4-pin PWM
MSI MPG EZ120,https://pcpartpicker.com/product/K4fxFT/msi-mpg-ez120-7382-cfm-120-mm-fan-mpg-ez120-argb-white-1w,120,White,,"0,73.82",True,MSI,MPG EZ120 ARGB WHITE-1W,4-pin PWM|3-pin 5V Addressable RGB
Fractal Design Momentum,https://pcpartpicker.com/product/B8zp99/fractal-design-momentum-7979-cfm-140-mm-fan-fd-f-mo1-1402,140,White,"350,1800",79.79,True,Fractal Design,FD-F-MO1-1402,4-pin PWM
Cooler Master MasterFan SF120P,https://pcpartpicker.com/product/zGm323/cooler-master-masterfan-sf120p-argb-43-cfm-120-mm-fan-mfy-p2dn-24npa-r1,120,Black,"650,2000",43,True,Cooler Master,MFY-P2DN-24NPA-R1,4-pin PWM|3-pin 5V Addressable RGB
ID-COOLING TF-12025-ARGB-SNOW,https://pcpartpicker.com/product/6zQcCJ/id-cooling-tf-12025-argb-snow-682-cfm-120-mm-fan-tf-12025-argb-snow,120,White,"500,1500",68.2,True,ID-COOLING,TF-12025-ARGB-SNOW,4-pin PWM|3-pin 5V Addressable RGB
NZXT Air Flow,https://pcpartpicker.com/product/gVkD4D/nzxt-case-fan-rffz140u1,140,Clear,1000,83.6,False,NZXT,RF-FZ140-U1,3-pin
ID-COOLING AF-125,https://pcpartpicker.com/product/Nmhv6h/id-cooling-af-125-7825-cfm-120-mm-fan-af-125-k,120,Black,"500,2000",78.25,True,ID-COOLING,AF-125-K,4-pin PWM
