name,part_url,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,manufacturer,part_number,socket,max_memory,ecc_support
AMD FX-6300,https://pcpartpicker.com/product/wqYXsY/amd-cpu-fd6300wmw6khk,6,3.5,,Piledriver,95,,AMD,FD6300WMW6KHK,AM3+,,False
Intel Xeon E3-1246 V3,https://pcpartpicker.com/product/J9h9TW/intel-cpu-bx80646e31246v3,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics P4600,Intel,BX80646E31246V3,LGA1150,,True
AMD A8-7600,https://pcpartpicker.com/product/f4XfrH/amd-cpu-ad7600ybi44ja,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die),AMD,AD7600YBI44JA,FM2+,,False
Intel Xeon E5-2630L V3,https://pcpartpicker.com/product/PNnG3C/intel-cpu-cm8064401832100,8,1.8,2.9,Haswell,55,,Intel,CM8064401832100,LGA2011-3,,True
Intel Xeon E3-1240 V5,https://pcpartpicker.com/product/MBcMnQ/intel-cpu-cm8066201921715,4,3.5,3.9,Skylake,80,,Intel,CM8066201921715,LGA1151,64.0,True
Intel Xeon E3-1275 V5,https://pcpartpicker.com/product/f68H99/intel-cpu-cm8066201934909,4,3.6,4.0,Skylake,80,Intel HD Graphics P530,Intel,CM8066201934909,LGA1151,64.0,True
Intel Pentium G4560,https://pcpartpicker.com/product/mTVBD3/intel-pentium-g4560-35ghz-dual-core-oemtray-processor-cm8067702867064,2,3.5,,Kaby Lake,54,Intel HD Graphics 610,Intel,CM8067702867064,LGA1151,64.0,True
Intel Core i5-7400T,https://pcpartpicker.com/product/xjKhP6/intel-core-i5-7400t-24ghz-quad-core-processor-bx80677i57400t,4,2.4,3.0,Kaby Lake,35,Intel HD Graphics 630,Intel,BX80677I57400T,LGA1151,64.0,False
Intel Xeon E3-1270 V6,https://pcpartpicker.com/product/qJYWGX/intel-xeon-e3-1270-v6-38ghz-quad-core-processor-bx80677e31270v6,4,3.8,4.2,Kaby Lake,72,,Intel,BX80677E31270V6,LGA1151,64.0,True
Intel Xeon E3-1275 V6,https://pcpartpicker.com/product/F938TW/intel-xeon-e3-1275-v6-38ghz-quad-core-oemtray-processor-cm8067702870931,4,3.8,4.2,Kaby Lake,73,Intel HD Graphics P630,Intel,CM8067702870931,LGA1151,64.0,True
Intel Pentium Gold G5400,https://pcpartpicker.com/product/6Tzkcf/intel-pentium-gold-g5400-37ghz-dual-core-oemtray-processor-cm8068403360112,2,3.7,,Coffee Lake,58,Intel UHD Graphics 610,Intel,CM8068403360112,LGA1151,64.0,True
AMD Athlon 240GE,https://pcpartpicker.com/product/crZFf7/amd-athlon-240ge-35-ghz-dual-core-processor-yd240gc6fbbox,2,3.5,,Zen,35,Radeon Vega 3,AMD,YD240GC6FBBOX,AM4,64.0,False
Intel Core i3-9300,https://pcpartpicker.com/product/p2FKHx/intel-core-i3-9300-37-ghz-quad-core-oemtray-processor-cm8068403377117,4,3.7,4.3,Coffee Lake Refresh,62,Intel UHD Graphics 630,Intel,CM8068403377117,LGA1151,64.0,True
