name,part_url,type,color,psu,side_panel,manufacturer,part_number,int_35_bays,ext_525_bays,ext_35_bays,int_25_bays,expansion_slots_full_height,expansion_slots_half_height,expansion_slots_riser,length,width,height,max_gpu_len,max_cpu_cooler_height,mobo_form_factor,front_panel_usb,radiator_support,fan_support
Enermax Hoplite ST,https://pcpartpicker.com/product/9TGkcf/enermax-case-eca3261b,ATX Mid Tower,Black,,Acrylic,Enermax,ECA3261-B,6,4,0,0,7,0,0,486.0,199.0,496.0,403.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm,80 mm|120 mm|140 mm
Enermax Hoplite ST,https://pcpartpicker.com/product/HfQypg/enermax-case-eca3261w,ATX Mid Tower,White,,Acrylic,Enermax,ECA3261-W,6,4,0,0,7,0,0,486.0,199.0,496.0,403.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm,80 mm|120 mm|140 mm
Rosewill R5601,https://pcpartpicker.com/product/NT2kcf/rosewill-case-r5601bk,ATX Mid Tower,Black,,,Rosewill,R5601-BK,5,4,1,0,7,0,0,492.0,200.0,439.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,120 mm,120 mm
Thermaltake Urban S41,https://pcpartpicker.com/product/2jmLrH/thermaltake-case-vp600m1n2n,ATX Mid Tower,Black,,,Thermaltake,VP600M1N2N,5,4,0,0,7,0,0,515.0,220.0,520.0,435.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|240 mm,120 mm|200 mm
Thermaltake Urban S31,https://pcpartpicker.com/product/ZjmLrH/thermaltake-case-vp700m1n2n,ATX Mid Tower,Black,,,Thermaltake,VP700M1N2N,6,3,1,0,7,0,0,500.0,205.0,520.0,410.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm|240 mm,120 mm|140 mm
Thermaltake Urban S21,https://pcpartpicker.com/product/B4xfrH/thermaltake-case-vp800a1w2n,ATX Mid Tower,Black,,Acrylic,Thermaltake,VP800A1W2N,5,3,1,0,7,0,0,436.0,185.0,497.0,320.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,120 mm,120 mm
Thermaltake Urban S21,https://pcpartpicker.com/product/XBsKHx/thermaltake-urban-t21-atx-mid-tower-case-ca-1a4-00m1wn-00,ATX Mid Tower,Black,,,Thermaltake,CA-1A4-00M1WN-00,5,3,1,0,7,0,0,436.0,185.0,497.0,320.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,120 mm,120 mm
Enermax ECA3253,https://pcpartpicker.com/product/Vc8Zxr/enermax-case-eca3253b,ATX Mid Tower,Black,,Acrylic,Enermax,ECA3253-B,5,4,1,0,7,0,0,480.0,199.0,459.0,413.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm,120 mm|140 mm
Enermax ECA3253,https://pcpartpicker.com/product/C4ckcf/enermax-case-eca3253bl,ATX Mid Tower,Black / Blue,,Acrylic,Enermax,ECA3253-BL,5,4,1,0,7,0,0,480.0,199.0,459.0,413.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm,120 mm|140 mm
Enermax ECA3253,https://pcpartpicker.com/product/4ZNp99/enermax-case-eca3253bw,ATX Mid Tower,Black / White,,Acrylic,Enermax,ECA3253-BW,5,4,1,0,7,0,0,480.0,199.0,459.0,413.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm,120 mm|140 mm
