name,part_url,type,color,psu,side_panel,manufacturer,part_number,int_35_bays,ext_525_bays,ext_35_bays,int_25_bays,expansion_slots_full_height,expansion_slots_half_height,expansion_slots_riser,length,width,height,max_gpu_len,max_cpu_cooler_height,mobo_form_factor,front_panel_usb,radiator_support,fan_support
Phanteks XT PRO,https://pcpartpicker.com/product/zJWJ7P/phanteks-xt-pro-atx-mid-tower-case-ph-xt523p1-bk01,ATX Mid Tower,Black,,Tempered Glass,Phanteks,PH-XT523P1-BK01,2,0,0,0,7,0,0,450.0,230.0,500.0,415.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,Front: 240 / 120 mm|Rear: 120 mm|Top: 360 / 240 / 120 mm,Front: 3 x 120 mm / 2 x 140 mm|Rear: 1 x 120 mm|Top: 3 x 120 mm / 3 x 140 mm|PSU Shroud: 3 x 120 mm
Corsair 3500X ARGB,https://pcpartpicker.com/product/T8V2FT/corsair-3500x-argb-atx-mid-tower-case-cc-9011279-ww,ATX Mid Tower,White,,Tempered Glass,Corsair,CC-9011279-WW,2,0,0,2,7,0,0,460.0,240.0,506.0,410.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm|Motherboard Tray: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm / 1 x 140 mm|Motherboard Tray: 3 x 120 mm / 2 x 140 mm
NZXT H5 Flow (2024),https://pcpartpicker.com/product/bvTZxr/nzxt-h5-flow-2024-atx-mid-tower-case-cc-h52fb-01,ATX Mid Tower,Black,,Tempered Glass,NZXT,CC-H52FB-01,1,0,0,2,7,0,0,430.0,225.0,465.0,410.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,Front: 360 / 240 / 120 mm|Top: 280 / 240 / 140 / 120 mm,Front: 3 x 120 mm / 2 x 140 mm|Rear: 1 x 120 mm|Top: 2 x 120 mm / 2 x 140 mm|Bottom: 2 x 120 mm
Lian Li Vector V100R,https://pcpartpicker.com/product/gBzp99/lian-li-v100r-atx-mid-tower-case-v100rx,ATX Mid Tower,Black,,Tempered Glass,Lian Li,V100RX|G99.V100RX.00,1,0,0,1,7,0,0,466.0,235.5,484.65,415.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Lian Li O11 VISION COMPACT,https://pcpartpicker.com/product/9Q88TW/lian-li-o11-vision-compact-atx-mid-tower-case-o11vpx,ATX Mid Tower,Black,,Tempered Glass,Lian Li,O11VPX|O11 Vision Compact Black|G99.O11VPX.00|PC-O11VPX,2,0,0,2,7,0,0,447.5,287.5,446.4,408.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Bottom: 360 / 240 / 120 mm|Right: 360 / 240 / 120 mm,Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Right: 3 x 120 mm
Cooler Master MasterBox Q300L,https://pcpartpicker.com/product/rnGxFT/cooler-master-masterbox-q300l-microatx-mini-tower-case-mcb-q300l-kann-s00,MicroATX Mini Tower,Black,,Acrylic,Cooler Master,MCB-Q300L-KANN-S00,1,0,0,2,4,0,0,387.0,230.0,378.0,360.0,,Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,Front: 240 / 120 mm|Rear: 120 mm,Front: 2 x 120 mm / 2 x 140 mm|Rear: 1 x 120 mm|Top: 2 x 120 mm|Bottom: 1 x 120 mm
Corsair 3500X ARGB,https://pcpartpicker.com/product/BwBzK8/corsair-3500x-argb-atx-mid-tower-case-cc-9011278-ww,ATX Mid Tower,Black,,Tempered Glass,Corsair,CC-9011278-WW,2,0,0,2,7,0,0,460.0,240.0,506.0,410.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm|Motherboard Tray: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm / 1 x 140 mm|Motherboard Tray: 3 x 120 mm / 2 x 140 mm
Lian Li O11 VISION COMPACT,https://pcpartpicker.com/product/7qKscf/lian-li-o11-vision-compact-atx-mid-tower-case-o11vpw,ATX Mid Tower,White,,Tempered Glass,Lian Li,O11VPW|O11 Vision Compact White|G99.O11VPW.00|PC-O11VPW,2,0,0,2,7,0,0,447.5,287.5,446.4,408.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Bottom: 360 / 240 / 120 mm|Right: 360 / 240 / 120 mm,Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Right: 3 x 120 mm
Fractal Design North,https://pcpartpicker.com/product/ybNxFT/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-02,ATX Mid Tower,Black,,Tempered Glass,Fractal Design,FD-C-NOR1C-02,2,0,0,2,7,0,0,447.0,215.0,469.0,355.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,Front: 360 / 280 / 240 / 140 / 120 mm|Rear: 120 mm|Top: 240 / 120 mm,Front: 3 x 120 mm / 2 x 140 mm|Rear: 1 x 120 mm|Top: 2 x 120 mm / 2 x 140 mm
HYTE Y70 Touch Infinite,https://pcpartpicker.com/product/Tvrqqs/hyte-y70-touch-infinite-atx-mid-tower-case-cs-hyte-y70ti-ww,ATX Mid Tower,White,,Tempered Glass,HYTE,CS-HYTE-Y70TI-WW|CS-HYTE-Y70TTI-WW,2,0,0,0,0,7,4,470.0,320.0,470.0,390.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 140 / 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm|Right: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm / 1 x 140 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm / 2 x 140 mm|Right: 3 x 120 mm / 2 x 140 mm
Phanteks Eclipse G370A,https://pcpartpicker.com/product/nBFCmG/phanteks-eclipse-g370a-atx-mid-tower-case-ph-ec370a_dbk01,ATX Mid Tower,Black,,Tempered Glass,Phanteks,PH-EC370A_DBK01,0,0,0,2,7,0,0,465.0,220.0,476.0,375.0,,ATX|EATX|Micro ATX|Mini ITX|SSI EEB,USB 3.2 Gen 1 Type-C|USB 3.2 Gen 1 Type-A,120 mm|240 mm|360 mm,120 mm
Lian Li O11 Dynamic Mini V2,https://pcpartpicker.com/product/Gtrp99/lian-li-o11-dynamic-mini-v2-atx-mini-tower-case-o11dmiv2x,ATX Mid Tower,Black,,Tempered Glass,Lian Li,O11DMIV2X|G99.O11DMIV2X.00,2,0,0,2,5,0,3,423.6,273.3,391.95,400.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Motherboard Tray: 240 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Motherboard Tray: 2 x 120 mm
Corsair FRAME 4000D RS ARGB,https://pcpartpicker.com/product/Mjy8TW/corsair-frame-4000d-rs-argb-atx-mid-tower-case-cc-9011296-ww,ATX Mid Tower,Black,,Tempered Glass,Corsair,CC-9011296-WW,2,0,0,0,7,0,3,487.0,239.0,487.0,430.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm|200 mm
HYTE Y70 Touch Infinite,https://pcpartpicker.com/product/Yp6NnQ/hyte-y70-touch-infinite-atx-mid-tower-case-cs-hyte-y70ti-bb,ATX Mid Tower,Black,,Tempered Glass,HYTE,CS-HYTE-Y70TI-BB|CS-HYTE-Y70TTI-BB,2,0,0,0,0,7,4,470.0,320.0,470.0,390.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 140 / 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm|Right: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm / 1 x 140 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm / 2 x 140 mm|Right: 3 x 120 mm / 2 x 140 mm
Fractal Design North XL,https://pcpartpicker.com/product/Gd26Mp/fractal-design-north-xl-atx-full-tower-case-fd-c-nor1x-02,ATX Full Tower,Black,,Tinted Tempered Glass,Fractal Design,FD-C-NOR1X-02,2,0,0,2,7,0,0,503.0,240.0,509.0,413.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,Front: 420 / 360 / 280 / 240 / 140 / 120 mm|Rear: 140 / 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm,Front: 3 x 120 mm / 3 x 140 mm|Rear: 1 x 120 mm / 1 x 140 mm|Top: 3 x 120 mm / 2 x 140 mm / 2 x 180 mm
Lian Li A3-mATX,https://pcpartpicker.com/product/CjFmP6/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-x,MicroATX Mini Tower,Black,,Mesh,Lian Li,A3-mATX-X|A3X.US|A3- mATX Black|PC-A3X|G99.A3X.00,1,0,0,2,4,0,0,443.0,194.0,306.0,415.0,,Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Left: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Left: 3 x 120 mm / 2 x 140 mm
Lian Li O11D EVO RGB,https://pcpartpicker.com/product/qrXV3C/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbx,ATX Mid Tower,Black,,Tempered Glass,Lian Li,O11DERGBX|G99.O11DERGBX.00|O11DERGBX.US|PC-O11DERGBX,4,0,0,2,7,0,0,478.0,290.0,471.0,455.7,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm|420 mm,120 mm|140 mm
Lian Li O11 Dynamic Mini V2,https://pcpartpicker.com/product/M2BFf7/lian-li-o11-dynamic-mini-v2-atx-mini-tower-case-o11dmiv2w,ATX Mid Tower,White,,Tempered Glass,Lian Li,O11DMIV2W|G99.O11DMIV2W.00,2,0,0,2,5,0,3,423.6,273.3,391.95,400.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Motherboard Tray: 240 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Motherboard Tray: 2 x 120 mm
Phanteks XT PRO ULTRA,https://pcpartpicker.com/product/BXtLrH/phanteks-xt-pro-ultra-atx-mid-tower-case-ph-xt523p1-dbk01,ATX Mid Tower,Black,,Tempered Glass,Phanteks,PH-XT523P1-DBK01,2,0,0,3,7,0,0,450.0,230.0,500.0,415.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Lian Li A3-mATX,https://pcpartpicker.com/product/FG7scf/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-wd-black,MicroATX Mini Tower,Black / Brown,,Mesh,Lian Li,A3-mATX-WD BLACK|PC-A3X-WD|G99.A3X-WD.00,1,0,0,2,4,0,0,443.0,194.0,306.0,415.0,,Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Left: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Left: 3 x 120 mm / 2 x 140 mm
Silverstone ALTA F2,https://pcpartpicker.com/product/wsvD4D/silverstone-alta-f2-atx-full-tower-case-sst-alf2b-g,ATX Full Tower,Black,,Tempered Glass,Silverstone,SST-ALF2B-G,8,0,0,3,9,0,4,658.0,261.0,576.0,604.0,,ATX|EATX|Micro ATX|Mini ITX|SSI CEB|SSI EEB|XL ATX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm|420 mm|480 mm,120 mm|140 mm|180 mm
Lian Li Lancool 207,https://pcpartpicker.com/product/zysV3C/lian-li-lancool-207-atx-mid-tower-case-lan207rx,ATX Mid Tower,Blue,,Tempered Glass,Lian Li,LAN207RX|PC-LAN207RX|LANCOOL 207 BLACK|G99.LAN207RX.00|LANCOOL 207RX,2,0,0,0,7,0,0,455.6,219.0,456.0,375.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Corsair 4000D Airflow,https://pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww,ATX Mid Tower,Black,,Tinted Tempered Glass,Corsair,CC-9011200-WW,2,0,0,2,7,0,2,453.0,230.0,466.0,360.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,
NZXT H9 Flow (2025),https://pcpartpicker.com/product/RNgZxr/nzxt-h9-flow-2025-atx-mid-tower-case-cm-h92fb-01,ATX Mid Tower,Black,,Tinted Tempered Glass,NZXT,CM-H92FB-01|CM-H92FB-02,2,0,0,4,7,0,0,481.0,315.0,506.0,459.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm|420 mm,120 mm|140 mm
NZXT H3 Flow,https://pcpartpicker.com/product/KyqNnQ/nzxt-h3-flow-microatx-mid-tower-case-cc-h31fb-01,MicroATX Mid Tower,Black,,Tinted Tempered Glass,NZXT,CC-H31FB-01|CC-H31FB-02,1,0,0,1,4,0,0,389.0,225.0,400.0,377.0,,Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm,120 mm|140 mm
Lian Li LANCOOL 217,https://pcpartpicker.com/product/rXnXsY/lian-li-lancool-217-atx-mid-tower-case-lan217x,ATX Mid Tower,Black / Brown,,Tempered Glass,Lian Li,LAN217X|G99.LAN217X.00|LANCOOL 217 BLACK|PC-LAN217X,1,0,0,3,7,0,0,482.0,238.0,503.0,380.0,,ATX|EATX|Micro ATX|Mini ITX|SSI EEB,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
NZXT H6 Flow,https://pcpartpicker.com/product/xgKscf/nzxt-h6-flow-atx-mid-tower-case-cc-h61fb-01,ATX Mid Tower,Black,,Tempered Glass,NZXT,CC-H61FB-01,1,0,0,2,7,0,0,415.0,287.0,435.0,365.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Fractal Design Terra,https://pcpartpicker.com/product/GrMMnQ/fractal-design-terra-mini-itx-desktop-case-fd-c-ter1n-01,Mini ITX Desktop,Black / Brown,,Mesh,Fractal Design,FD-C-TER1N-01,0,0,0,2,0,0,3,343.0,153.0,218.0,322.0,,Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,,120 mm
MUSETEX Y6,https://pcpartpicker.com/product/sdWJ7P/musetex-y6-atx-mid-tower-case-y6-n5-w,ATX Mid Tower,White,,Tempered Glass,MUSETEX,Y6-N5-W,2,0,0,2,6,0,0,388.112,225.044,468.122,400.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
HYTE Y70,https://pcpartpicker.com/product/RgjRsY/hyte-y70-atx-mid-tower-case-cs-hyte-y70-ww,ATX Mid Tower,White,,Tempered Glass,HYTE,CS-HYTE-Y70-WW,2,0,0,0,0,7,4,470.0,320.0,470.0,390.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 140 / 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm|Right: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm / 1 x 140 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm / 2 x 140 mm|Right: 3 x 120 mm / 2 x 140 mm
Lian Li O11 Dynamic EVO XL,https://pcpartpicker.com/product/jwDQzy/lian-li-o11-dynamic-evo-xl-atx-full-tower-case-o11dexl-x,ATX Full Tower,Black,,Tempered Glass,Lian Li,O11DEXL-X|PC-O11DEXL-X|G99.O11DEXL-X.00,4,0,0,3,8,0,0,522.0,304.0,531.9,460.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm|420 mm,120 mm|140 mm
Montech AIR 903 MAX,https://pcpartpicker.com/product/2MwmP6/montech-air-903-max-atx-mid-tower-case-air-903-max-b,ATX Mid Tower,Black,,Tempered Glass,Montech,AIR 903 MAX (B)|AIR 903 MAX B|AIR 903 MAX BLACK,2,0,0,4,7,0,0,478.0,230.0,493.0,400.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Phanteks XT M3,https://pcpartpicker.com/product/zqNscf/phanteks-xt-m3-microatx-mid-tower-case-ph-xt325m_bk01,MicroATX Mid Tower,Black,,Tempered Glass,Phanteks,PH-XT325M_BK01|PH-XT325M_DBK01,1,0,0,2,4,0,0,460.0,235.0,370.0,430.0,,Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|240 mm|360 mm,120 mm
Lian Li O11 Dynamic Mini V2 Flow,https://pcpartpicker.com/product/wHJBD3/lian-li-o11-dynamic-mini-v2-flow-atx-mini-tower-case-o11dmiv2fx,ATX Mid Tower,Black,,Tempered Glass,Lian Li,O11DMIV2FX|G99.O11DMIV2FX.00,2,0,0,2,5,0,3,423.6,273.3,391.95,400.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Motherboard Tray: 240 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Motherboard Tray: 2 x 120 mm
Fractal Design Pop XL Air,https://pcpartpicker.com/product/8qFbt6/fractal-design-pop-xl-air-atx-full-tower-case-fd-c-por1x-06,ATX Full Tower,Black,,Tempered Glass,Fractal Design,FD-C-POR1X-06,3,2,0,2,8,0,0,522.0,230.0,520.0,455.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
HYTE Y70,https://pcpartpicker.com/product/VGgrxr/hyte-y70-atx-mid-tower-case-cs-hyte-y70-b,ATX Mid Tower,Black,,Tempered Glass,HYTE,CS-HYTE-Y70-B,2,0,0,0,0,7,4,470.0,320.0,470.0,390.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 140 / 120 mm|Top: 360 / 280 / 240 / 140 / 120 mm|Right: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm / 1 x 140 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm / 2 x 140 mm|Right: 3 x 120 mm / 2 x 140 mm
MSI MPG Sekira 500G,https://pcpartpicker.com/product/8BcRsY/msi-mpg-sekira-500g-atx-mid-tower-case-mpg-sekira-500g,ATX Mid Tower,Black,,Tempered Glass,MSI,MPG SEKIRA 500G|306-7G05G21-W57|306-7G05G11-W57,6,0,0,3,8,0,0,530.0,232.0,545.5,400.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm|200 mm
Corsair FRAME 4000D,https://pcpartpicker.com/product/nbXMnQ/corsair-frame-4000d-atx-mid-tower-case-cc-9011290-ww,ATX Mid Tower,Black,,Tempered Glass,Corsair,CC-9011290-WW,2,0,0,0,7,0,3,487.0,239.0,487.0,430.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm|200 mm
Montech XR,https://pcpartpicker.com/product/nhbRsY/montech-xr-atx-mid-tower-case-xr-w,ATX Mid Tower,White,,Tempered Glass,Montech,XR-W|XR (W)|XR-WH|Montech_XR (W),2,0,0,2,7,0,0,435.0,230.0,450.0,420.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Rear: 140 / 120 mm|Top: 360 / 240 / 140 / 120 mm,Rear: 1 x 120 mm / 1 x 140 mm|Top: 3 x 120 mm / 2 x 140 mm|Motherboard Tray: 2 x 120 mm|PSU Shroud: 3 x 120 mm
Corsair 9000D RGB AIRFLOW,https://pcpartpicker.com/product/QkCZxr/corsair-9000d-rgb-airflow-atx-full-tower-case-cc-9011273-ww,ATX Full Tower,Black,,Tempered Glass,Corsair,CC-9011273-WW,5,0,0,6,8,0,0,698.0,307.0,698.0,400.0,,ATX|EATX|Micro ATX|Mini ITX|SSI EEB,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm|420 mm|480 mm,120 mm|140 mm|200 mm
Montech AIR 100 ARGB,https://pcpartpicker.com/product/M7Z9TW/montech-air-100-argb-microatx-mid-tower-case-air-100-argb-black,MicroATX Mid Tower,Black,,Tempered Glass,Montech,AIR 100 ARGB Black|K005|AIR-100-ARGB-BK|K21004160003|AIR 100 ARGB (B),2,0,0,2,4,0,0,405.0,210.0,425.0,330.0,,Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm|240 mm|280 mm,120 mm|140 mm
NZXT H6 Flow,https://pcpartpicker.com/product/8QMMnQ/nzxt-h6-flow-atx-mid-tower-case-cc-h61fw-01,ATX Mid Tower,White,,Tempered Glass,NZXT,CC-H61FW-01,1,0,0,2,7,0,0,415.0,287.0,435.0,365.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Fractal Design Meshify C,https://pcpartpicker.com/product/Y6Crxr/fractal-design-meshify-c-atx-mid-tower-case-fd-ca-mesh-c-bko-tg,ATX Mid Tower,Black,,Tinted Tempered Glass,Fractal Design,FD-CA-MESH-C-BKO-TG,2,0,0,3,7,0,0,413.0,217.0,453.0,315.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Montech AIR 903 BASE,https://pcpartpicker.com/product/kKcgXL/montech-air-903-base-atx-mid-tower-case-air-903-base-b,ATX Mid Tower,Black,,Tempered Glass,Montech,AIR 903 BASE (B)|AIR 903 BASE B,2,0,0,3,7,0,0,478.0,230.0,493.0,400.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Lian Li A3-mATX,https://pcpartpicker.com/product/vvsMnQ/lian-li-a3-matx-microatx-mini-tower-case-a3x-wdg,MicroATX Mini Tower,Black / Brown,,Tempered Glass,Lian Li,A3X-WDG|PC-A3X-WDG|G99.A3X-WDG.00,1,0,0,2,4,0,0,443.0,194.0,306.0,415.0,,Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,Top: 360 / 280 / 240 / 140 / 120 mm|Left: 360 / 280 / 240 / 140 / 120 mm,Rear: 1 x 120 mm|Top: 3 x 120 mm / 2 x 140 mm|Bottom: 3 x 120 mm|Left: 3 x 120 mm / 2 x 140 mm
Corsair 3500X,https://pcpartpicker.com/product/jthv6h/corsair-3500x-atx-mid-tower-case-cc-9011276-ww,ATX Mid Tower,Black,,Tempered Glass,Corsair,CC-9011276-WW,2,0,0,2,7,0,0,460.0,240.0,506.0,410.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Cooler Master MasterBox NR200,https://pcpartpicker.com/product/kd2bt6/cooler-master-masterbox-nr200-mini-itx-desktop-case-mcb-nr200-knnn-s00,Mini ITX Desktop,Black,,,Cooler Master,MCB-NR200-KNNN-S00,2,0,0,1,3,0,0,376.0,185.0,292.0,330.0,,Mini DTX|Mini ITX,USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm,92 mm|120 mm
Lian Li Vector V100R,https://pcpartpicker.com/product/WNxTwP/lian-li-v100r-atx-mid-tower-case-v100rw,ATX Mid Tower,White,,Tempered Glass,Lian Li,V100RW|G99.V100RW.00,1,0,0,1,7,0,0,466.0,235.5,484.65,415.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm,120 mm|140 mm
Lian Li O11D EVO RGB,https://pcpartpicker.com/product/Ksgrxr/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbw,ATX Mid Tower,White,,Tempered Glass,Lian Li,O11DERGBW|G99.O11DERGBW.00|PC-O11DERGBW,4,0,0,2,7,0,0,478.0,290.0,471.0,455.7,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm|420 mm,120 mm|140 mm
NZXT H7 Flow (2024),https://pcpartpicker.com/product/4yMMnQ/nzxt-h7-flow-2024-atx-mid-tower-case-cm-h72fb-01,ATX Mid Tower,Black,,Tempered Glass,NZXT,CM-H72FB-01,2,0,0,2,7,0,0,468.0,244.0,544.0,410.0,,ATX|EATX|Micro ATX|Mini ITX,USB 3.2 Gen 2x2 Type-C|USB 3.2 Gen 1 Type-A,120 mm|140 mm|240 mm|280 mm|360 mm|420 mm,120 mm|140 mm
