name,part_url,socket,form_factor,max_memory,memory_slots,color,manufacturer,part_number,memory_type,memory_speed_max,m2_slots,sata_6_ports,sata_3_ports,pci_x16_slots,pci_x8_slots,pci_x4_slots,pci_x1_slots,pci_slots,mini_pcie_msata_slots,uses_back_connect,ecc_support,header_usb_2_0,header_usb_3_2_gen_1,header_usb_3_2_gen_2,header_usb_3_2_gen_2x2,header_usb_2_0__(single_port)
Asus PRIME Z790M-PLUS,https://pcpartpicker.com/product/nkcgXL/asus-prime-z790m-plus-micro-atx-lga1700-motherboard-prime-z790m-plus,LGA1700,Micro ATX,192,4,Silver / Black,Asus,PRIME Z790M-PLUS|90MB1E70-M0AAY0|90MB1E70-M0EAY0|90MB1E70-M1EAY0,DDR5,7200,2242/2260/2280 M-key|2260/2280 M-key|2242/2260/2280 M-key|2230 E-key,4,0,2,0,0,2,0,,False,False,2,1,1,0,0
ASRock B650E PG RIPTIDE WIFI,https://pcpartpicker.com/product/Tz2WGX/asrock-b650e-pg-riptide-wifi-atx-am5-motherboard-b650e-pg-riptide-wifi,AM5,ATX,256,4,Black / Blue,ASRock,B650E PG RIPTIDE WIFI|90-MXBL00-A0UAYZ,DDR5,7600,2280 M-key|2242/2260/2280 M-key|2260/2280 M-key|2230 E-key,4,0,2,0,0,1,0,,False,False,2,1,0,1,0
Asus PRIME H610M-K,https://pcpartpicker.com/product/wh26Mp/asus-prime-h610m-k-micro-atx-lga1700-motherboard-prime-h610m-k,LGA1700,Micro ATX,96,2,Black,Asus,PRIME H610M-K,DDR5,5600,2242/2260/2280 M-key,4,0,1,0,0,1,0,,False,False,1,1,0,0,0
MSI B350M MORTAR ARCTIC,https://pcpartpicker.com/product/nZdFf7/msi-b350m-mortar-arctic-micro-atx-am4-motherboard-b350m-mortar-arctic,AM4,Micro ATX,64,4,White,MSI,B350M MORTAR ARCTIC|7A37-001R,DDR4,3200,2242/2260/2280 M-key,4,0,2,0,0,2,0,,False,False,2,2,0,0,0
Gigabyte H610M D3W DDR4,https://pcpartpicker.com/product/jGsV3C/gigabyte-h610m-d3w-ddr4-micro-atx-lga1700-motherboard-h610m-d3w-ddr4,LGA1700,Micro ATX,64,2,Black,Gigabyte,H610M D3W DDR4,DDR4,3200,2280 M-key,4,0,1,0,0,1,0,,False,False,1,1,1,0,0
Asus ProArt B660-CREATOR D4,https://pcpartpicker.com/product/LqXJ7P/asus-proart-b660-creator-d4-atx-lga1700-motherboard-proart-b660-creator-d4,LGA1700,ATX,128,4,Black,Asus,ProArt B660-CREATOR D4|90MB19F0-M0AAY0|90MB19F0-M0EAY0|90MB19F0-M1EAY0,DDR4,5333,2242/2260/2280/22110 M-key|2242/2260/2280 M-key|2242/2260/2280/22110 M-key|2230 E-key,4,0,2,0,0,1,0,,False,False,2,1,0,1,0
ASRock Z790 Pro RS,https://pcpartpicker.com/product/cFQcCJ/asrock-z790-pro-rs-atx-lga1700-motherboard-z790-pro-rs,LGA1700,ATX,256,4,Silver / Black,ASRock,Z790 PRO RS|90-MXBK40-A0UAYZ,DDR5,6800,2260/2280 M-key|2260/2280 M-key|2260/2280 M-key|2260/2280 M-key|2230 E-key,8,0,2,0,0,2,0,,False,False,2,2,0,1,0
MSI MPG B550I GAMING EDGE MAX WIFI,https://pcpartpicker.com/product/BCddnQ/msi-mpg-b550i-gaming-edge-max-wifi-mini-itx-am4-motherboard-mpg-b550i-gaming-edge-max-wifi,AM4,Mini ITX,64,2,Black,MSI,MPG B550I GAMING EDGE MAX WIFI,DDR4,4600,2260/2280 M-key|2280 M-key,4,0,1,0,0,0,0,,False,False,1,1,1,0,0
MSI MEG Z690 ACE,https://pcpartpicker.com/product/RkRYcf/msi-meg-z690-ace-eatx-lga1700-motherboard-meg-z690-ace,LGA1700,EATX,192,4,Black / Gold,MSI,MEG Z690 ACE|7D27-001R,DDR5,6666,2260/2280/22110 M-key|2260/2280 M-key|2260/2280 M-key|2280/22110 M-key|2260/2280 M-key|2230 E-key,6,0,3,0,0,0,0,,False,False,2,2,0,2,0
Asus TUF GAMING B660-PLUS WIFI D4,https://pcpartpicker.com/product/Xdwypg/asus-tuf-gaming-b660-plus-wifi-d4-atx-lga1700-motherboard-tuf-gaming-b660-plus-wifi-d4,LGA1700,ATX,128,4,Yellow / Black,Asus,TUF GAMING B660-PLUS WIFI D4|90MB1920-M0EAY0|90MB1920-M1EAY0,DDR4,5333,2242/2260/2280/22110 M-key|2242/2260/2280 M-key|2242/2260/2280/22110 M-key,4,0,2,0,0,2,0,,False,False,2,1,1,0,0
MSI PRO H610M-G,https://pcpartpicker.com/product/KfyH99/msi-pro-h610m-g-micro-atx-lga1700-motherboard-pro-h610m-g,LGA1700,Micro ATX,96,2,Black,MSI,PRO H610M-G|7D46-075R,DDR5,5200,2242/2260/2280 M-key|2230 E-key,4,0,1,0,0,1,0,,False,False,1,1,0,0,0
