name,part_url,price,style,switches,backlit,tenkeyless,connection_type,color
Logitech G710,https://pcpartpicker.com/product/s8Trxr/logitech-keyboard-920006519,,Gaming,Cherry MX Blue,White,false,Wired,Black / Blue
Logitech G11,https://pcpartpicker.com/product/3Vwqqs/logitech-keyboard-yug75a,500.99,Standard,,Blue,false,Wired,Black / Silver
Logitech K780,https://pcpartpicker.com/product/WtcMnQ/logitech-k780-wireless-slim-keyboard-920-008149,58,Slim,,,false,Wireless,Black
Corsair RGB MK.2 Low Profile RAPIDFIRE,https://pcpartpicker.com/product/C9MwrH/corsair-rgb-mk2-low-profile-rapidfire-wired-gaming-keyboard-ch-9109018-na,,Gaming,Cherry MX Low Profile Speed Silver,RGB,false,Wired,Black
Logitech G715,https://pcpartpicker.com/product/MW2WGX/logitech-g715-rgb-wiredwirelessbluetooth-gaming-keyboard-920-010458,,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Corsair K55 CORE RGB,https://pcpartpicker.com/product/HyBzK8/corsair-k55-core-rgb-rgb-wired-gaming-keyboard-ch-9226d65-na,,Gaming,,RGB,false,Wired,Gray / Black
Thermaltake W1,https://pcpartpicker.com/product/hDNxFT/thermaltake-w1-wirelessbluetoothwired-standard-keyboard-gkb-wow-blsnus-01,109.99,Standard,Cherry MX Blue,,false,"Wired, Wireless, Bluetooth Wireless",Black
Microsoft 21Y-00001,https://pcpartpicker.com/product/rQmFf7/microsoft-21y-00001-wirelesswiredbluetooth-mini-keyboard-with-optical-mouse-21y-00001,32.99,Mini,,,true,"Wired, Wireless, Bluetooth Wireless",Black
IOGEAR GKM571R,https://pcpartpicker.com/product/HqFPxr/iogear-keyboard-gkm571r,206,Mini,,,true,Wireless,Black
EVGA Z20,https://pcpartpicker.com/product/CxcG3C/evga-z20-rgb-wired-gaming-keyboard-811-w1-20us-kr,,Gaming,LK Light Strike Linear,RGB,false,Wired,Black
Corsair K70 MAX RGB UK,https://pcpartpicker.com/product/9TFmP6/corsair-k70-max-rgb-uk-wired-gaming-keyboard-ch-910961g-uk,,Gaming,Corsair MGX Steel Grey,RGB,false,Wired,Black
Logitech G915 Lightspeed,https://pcpartpicker.com/product/vGHqqs/logitech-g915-lightspeed-rgb-wirelessbluetooth-gaming-keyboard-920-009109,,Gaming,Logitech GL Clicky,RGB,false,"Wireless, Bluetooth Wireless",Black
Razer Huntsman V3 Pro Mini,https://pcpartpicker.com/product/nHsV3C/razer-huntsman-v3-pro-mini-rgb-wired-mini-keyboard-rz03-04990500-r3f1,,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
HP USB Keyboard,https://pcpartpicker.com/product/P2PfrH/hp-keyboard-qy776ataba,23.98,Standard,,,false,Wired,Black
Corsair K70 LUX RGB,https://pcpartpicker.com/product/34M323/corsair-k70-lux-rgb-wired-gaming-keyboard-ch-9101012-na,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Verbatim 98111,https://pcpartpicker.com/product/hX8j4D/verbatim-98111-wired-standard-keyboard-with-optical-mouse-98111,21.98,Standard,,,false,Wired,Black
SteelSeries Apex 7,https://pcpartpicker.com/product/df848d/steelseries-apex-7-wired-gaming-keyboard-64786,162.99,Gaming,SteelSeries QX2 Brown,RGB,false,Wired,Black
Ducky ONE 3,https://pcpartpicker.com/product/rssV3C/ducky-one-3-rgb-wired-gaming-keyboard-dkon2108st-puspdpwww,,Gaming,Cherry MX Speed Silver RGB,RGB,false,Wired,White
Cooler Master SK622,https://pcpartpicker.com/product/kCxRsY/cooler-master-sk622-rgb-bluetoothwired-gaming-keyboard-sk-622-gktr1-us,,Gaming,TTC Red Low Profile,RGB,true,"Wired, Bluetooth Wireless",Black
Inland ProHT,https://pcpartpicker.com/product/jQZXsY/inland-proht-gaming-keyboard-70012,46.84,Gaming,Outemu Blue,Multicolor,false,,Black
Logitech G713,https://pcpartpicker.com/product/2wddnQ/logitech-g713-rgb-wired-gaming-keyboard-920-010670,129.99,Gaming,GX Red,RGB,true,Wired,White
NZXT Function 2,https://pcpartpicker.com/product/vKV2FT/nzxt-function-2-rgb-wired-gaming-keyboard-kb-002nb-de,,Gaming,NZXT Swift Optical 40g,RGB,true,Wired,Black
NZXT Function 2,https://pcpartpicker.com/product/XLXV3C/nzxt-function-2-rgb-wired-gaming-keyboard-kb-002nw-de,,Gaming,NZXT Swift Optical 40g,RGB,true,Wired,White
Logitech G915 X LIGHTSPEED,https://pcpartpicker.com/product/C3qrxr/logitech-g915-x-lightspeed-rgb-wiredwirelessbluetooth-gaming-keyboard-920-012675,,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G515,https://pcpartpicker.com/product/3K6NnQ/logitech-g515-rgb-wired-gaming-keyboard-920-012869,109.99,Gaming,Logitech Low-Profile GL Tactile,RGB,true,Wired,White
Cherry MX-Board 3.0 Keyboard,https://pcpartpicker.com/product/pFfmP6/cherry-keyboard-g803850lxbeu2,,Standard,Cherry MX Brown,,false,Wired,Black
Corsair K70 RGB,https://pcpartpicker.com/product/8Xs8TW/corsair-k70-rgb-wired-gaming-keyboard-ch-9000068-na,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Adesso EasyTouch 625,https://pcpartpicker.com/product/y6hj4D/adesso-keyboard-akb625ub,,Gaming,Kailh Blue,,true,Wired,Black
Corsair STRAFE,https://pcpartpicker.com/product/dJbkcf/corsair-keyboard-ch9000088na,,Gaming,Cherry MX Red,Red,false,Wired,Black
Corsair STRAFE RGB,https://pcpartpicker.com/product/rHzZxr/corsair-strafe-rgb-wired-gaming-keyboard-ch-9000121-na,,Gaming,Cherry MX Silent,RGB,false,Wired,Black / White
Razer BlackWidow Tournament Edition Chroma V2,https://pcpartpicker.com/product/QwyV3C/razer-blackwidow-tournament-edition-chroma-v2-wired-gaming-keyboard-rz03-02190200-r3u1,,Gaming,Razer Green,RGB,true,Wired,Black
Corsair STRAFE RGB MK.2,https://pcpartpicker.com/product/J3dxFT/corsair-strafe-rgb-mk2-wired-gaming-keyboard-ch-9104110-na,,Gaming,Cherry MX Red,RGB,false,Wired,
Ducky One 2 RGB TKL,https://pcpartpicker.com/product/kMQG3C/ducky-one-2-rgb-tkl-wired-standard-keyboard-dkon1787st-buspdazt1,,Standard,Cherry MX Brown,RGB,true,Wired,Black
RK Royal Kludge RK71,https://pcpartpicker.com/product/DDYQzy/rk-royal-kludge-rk71-rgb-bluetooth-wireless-gaming-keyboard-01-001-071-00-04-fba,,Gaming,RK Blue,RGB,true,Bluetooth Wireless,White
Keychron Q6,https://pcpartpicker.com/product/WpbRsY/keychron-q6-rgb-wired-gaming-keyboard-q6j3,,Gaming,Gateron G Pro Brown,RGB,false,Wired,Blue
Keychron Q1 Pro,https://pcpartpicker.com/product/JxP8TW/keychron-q1-pro-rgb-bluetoothwirelesswired-standard-keyboard-q1p-m3,,Standard,Keychron K Pro Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex Pro Mini Wireless,https://pcpartpicker.com/product/BMQKHx/steelseries-apex-pro-mini-wireless-rgb-bluetoothwireless-gaming-keyboard-64844,,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wireless, Bluetooth Wireless",Black
MCHOSE G75 PRO,https://pcpartpicker.com/product/3sKnTW/mchose-g75-pro-rgb-wiredwirelessbluetooth-gaming-keyboard-g75-14a,,Gaming,Huano Matcha Latte V2,RGB,true,"Wired, Wireless, Bluetooth Wireless",Blue
Asus TUF Gaming K3 Gen II Hatsune Miku Edition,https://pcpartpicker.com/product/DYtkcf/asus-tuf-gaming-k3-gen-ii-hatsune-miku-edition-rgb-wired-gaming-keyboard-90mp0460-bkda30,,Gaming,ROG RX Red Optical,RGB,true,Wired,Teal / White
RK Royal Kludge RK61,https://pcpartpicker.com/product/WyQKHx/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-078396023,51.99,Mini,RK Brown,White,true,"Wired, Wireless, Bluetooth Wireless",White
Cooler Master SK650,https://pcpartpicker.com/product/hYsmP6/cooler-master-sk650-wired-gaming-keyboard-sk-650-gklr1-us,,Gaming,Cherry MX Low Profile Red,RGB,false,Wired,Black
Logitech G515,https://pcpartpicker.com/product/RLhv6h/logitech-g515-rgb-wired-gaming-keyboard-920-012872,,Gaming,Logitech Low-Profile GL Tactile,RGB,true,Wired,Black
Logitech Pedbble Keys 2 K380S,https://pcpartpicker.com/product/6HJp99/logitech-pedbble-keys-2-k380s-bluetooth-standard-keyboard-920-011775,43.99,Standard,,,true,Bluetooth Wireless,Black
Tecware Phantom RGB,https://pcpartpicker.com/product/BWqhP6/tecware-phantom-rgb-wired-gaming-keyboard-twkb-p87zobr,50.99,Gaming,Outemu Brown,RGB,true,Wired,Black
HP Slim,https://pcpartpicker.com/product/xQrmP6/hp-slim-wireless-slim-keyboard-with-optical-mouse-t6l04utaba,626.49,Slim,,,false,Wireless,Black
Logitech PRO X,https://pcpartpicker.com/product/YxV2FT/logitech-pro-x-rgb-gaming-keyboard-920-012127,165.29,Gaming,Logitech GX Brown Tactile,RGB,true,,Black
Logitech MK850 Performance,https://pcpartpicker.com/product/6jbypg/logitech-mk850-performance-bluetoothwireless-ergonomic-keyboard-with-optical-mouse-920-008224,,Ergonomic,,,false,"Wireless, Bluetooth Wireless",Black
ENDORFY Thock,https://pcpartpicker.com/product/4LNYcf/endorfy-thock-rgb-wired-gaming-keyboard-ey5b004,,Gaming,Kailh Red,RGB,true,Wired,Black
Lenovo Preferred Pro,https://pcpartpicker.com/product/m3TmP6/lenovo-keyboard-73p5220,,Standard,,,false,Wired,Black
Logitech K740,https://pcpartpicker.com/product/CDW9TW/logitech-keyboard-920000914,,Slim,,White,false,Wired,Black
Keychron K5 Max,https://pcpartpicker.com/product/RJjRsY/keychron-k5-max-rgb-standard-keyboard-k5m-h3,129.99,Standard,Gateron Low-Profile Brown (Hot-Swappable),RGB,false,,Black / Gray
Keychron K5 QMK V2,https://pcpartpicker.com/product/L8JBD3/keychron-k5-qmk-v2-bluetoothwired-gaming-keyboard-k5x-a1,111.99,Gaming,Keychron Red Low Profile MX 2.0,White,false,"Wired, Bluetooth Wireless",Black / Gray
be quiet! Dark Mount,https://pcpartpicker.com/product/MDzp99/be-quiet-dark-mount-rgb-wired-gaming-keyboard-bt001uk,,Gaming,be quiet! Silent Orange Linear,RGB,false,Wired,Black
A4Tech Bloody Gaming B975,https://pcpartpicker.com/product/Z8x2FT/a4tech-bloody-gaming-b975-wired-gaming-keyboard-b975,119.99,Gaming,LK Light Strike Libra,RGB,false,Wired,Black / Red
