name,part_url,price,style,switches,backlit,tenkeyless,connection_type,color
Logitech G19,https://pcpartpicker.com/product/hmsKHx/logitech-g19-wired-standard-keyboard-920-000969,852.99,Standard,,Multicolor,false,Wired,Black
HP HyperX Alloy Core,https://pcpartpicker.com/product/BvL48d/hp-hyperx-alloy-core-rgb-wired-gaming-keyboard-hx-kb5me2-us,38.99,Gaming,,RGB,false,Wired,Black
Logitech K120,https://pcpartpicker.com/product/MwsKHx/logitech-keyboard-920002478,11.99,Standard,,,false,Wired,Black
RK Royal Kludge RK61,https://pcpartpicker.com/product/6yQKHx/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-093348322,39.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",White
Redragon K552,https://pcpartpicker.com/product/VhkwrH/redragon-keyboard-k552,39.07,Gaming,Outemu Blue,Red,true,Wired,Black
Razer Huntsman Mini,https://pcpartpicker.com/product/vGgQzy/razer-huntsman-mini-rgb-wired-mini-keyboard-rz03-03390300-r3m1,114.99,Mini,Razer Purple Optical Clicky,RGB,true,Wired,White
SteelSeries Apex 3 TKL RGB,https://pcpartpicker.com/product/zZ3gXL/steelseries-apex-3-tkl-rgb-wired-gaming-keyboard-12167,32.99,Gaming,,RGB,true,Wired,Black
Asus ROG Azoth Extreme,https://pcpartpicker.com/product/bkCZxr/asus-rog-azoth-extreme-rgb-bluetoothwirelesswired-gaming-keyboard-m702-azoth-extremenxsw,349.99,Gaming,ROG NX Snow,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman V3 Pro,https://pcpartpicker.com/product/WDTZxr/razer-huntsman-v3-pro-rgb-wired-gaming-keyboard-rz03-04980200-r3u1,147.99,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
SteelSeries Apex Pro TKL (2023),https://pcpartpicker.com/product/RKMMnQ/steelseries-apex-pro-tkl-2023-rgb-wiredbluetoothwireless-gaming-keyboard-64868,416.86,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
RK Royal Kludge RK61,https://pcpartpicker.com/product/khNYcf/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-338395023,46.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",Black
SMK-Link VP3800,https://pcpartpicker.com/product/GykwrH/smk-link-keyboard-vp3800,9.99,Standard,,,false,Wired,Black
Asus ROG Strix Scope II 96,https://pcpartpicker.com/product/GFP8TW/asus-rog-strix-scope-ii-96-rgb-wirelessbluetoothwired-gaming-keyboard-90mp037a-bkaa01,119.99,Gaming,ROG NX Snow,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G413 SE,https://pcpartpicker.com/product/r3Gbt6/logitech-g413-se-wired-gaming-keyboard-920-010442,87.98,Gaming,Kailh LT Brown,White,true,Wired,Black
Redragon K582 SURARA,https://pcpartpicker.com/product/m9MwrH/redragon-k582-surara-wired-gaming-keyboard-k582,32.99,Gaming,Outemu Red,RGB,false,Wired,Black
Razer BlackWidow V4 Pro,https://pcpartpicker.com/product/9w3NnQ/razer-blackwidow-v4-pro-rgb-wired-gaming-keyboard-rz03-04681900-r3u1,199.99,Gaming,Razer Green,RGB,false,Wired,Black
Logitech PRO X,https://pcpartpicker.com/product/BKNYcf/logitech-pro-x-rgb-bluetoothwirelesswired-gaming-keyboard-920-012143,199,Gaming,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Wooting Two HE,https://pcpartpicker.com/product/Hsnypg/wooting-two-he-rgb-wired-gaming-keyboard-wk2-iso-l60-001,,Gaming,Lekker linear60,RGB,false,Wired,Black
Logitech G915 X LIGHTSPEED,https://pcpartpicker.com/product/f6TZxr/logitech-g915-x-lightspeed-rgb-wiredwirelessbluetooth-gaming-keyboard-920-012670,246,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K65 PLUS,https://pcpartpicker.com/product/YJWJ7P/corsair-k65-plus-rgb-wiredwireless-gaming-keyboard-ch-91d401l-na,139.99,Gaming,Corsair MLX Red Linear,RGB,true,"Wired, Wireless",Black
Corsair K70 RGB PRO,https://pcpartpicker.com/product/sFrRsY/corsair-k70-rgb-pro-wired-gaming-keyboard-ch-9109414-na,103.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Logitech G PRO,https://pcpartpicker.com/product/b6xbt6/logitech-g-pro-wired-gaming-keyboard-920-009388,105.49,Gaming,GX Blue,RGB,true,Wired,Black
Corsair K83,https://pcpartpicker.com/product/rwRzK8/corsair-k83-wireless-standard-keyboard-ch-9268046-na,,Standard,,White,true,Wireless,Gray
Corsair K70 RGB PRO,https://pcpartpicker.com/product/ctBG3C/corsair-k70-rgb-pro-wired-gaming-keyboard-ch-9109410-na,,Gaming,Cherry MX Red,RGB,false,Wired,Black
SteelSeries Apex Pro Gen 3,https://pcpartpicker.com/product/q8QwrH/steelseries-apex-pro-gen-3-rgb-wiredwirelessbluetooth-gaming-keyboard-64871,313.82,Gaming,OmniPoint 3.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer Huntsman Mini,https://pcpartpicker.com/product/X77p99/razer-huntsman-mini-rgb-wired-mini-keyboard-rz03-03390200-r3m1,111.55,Mini,Razer Red Optical Linear,RGB,true,Wired,Black
Corsair K55 RGB PRO,https://pcpartpicker.com/product/jqpzK8/corsair-k55-rgb-pro-wired-gaming-keyboard-ch-9226765-na,62.99,Gaming,,Multicolor,false,Wired,Black
Corsair K100 RGB,https://pcpartpicker.com/product/C7xbt6/corsair-k100-rgb-wired-gaming-keyboard-ch-912a01a-na,249.99,Gaming,Corsair OPX,RGB,false,Wired,Black
SteelSeries Apex Pro,https://pcpartpicker.com/product/MD848d/steelseries-apex-pro-wired-gaming-keyboard-64626,241.99,Gaming,OmniPoint Adjustable,RGB,false,Wired,Black
Keychron K2 HE,https://pcpartpicker.com/product/MPmNnQ/keychron-k2-he-rgb-wirelessbluetoothwired-standard-keyboard-k2h-j1,129.99,Standard,Gateron Magnetic Nebula,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / Green
Asus TUF Gaming K3 Gen II Hatsune Miku Edition,https://pcpartpicker.com/product/FXYfrH/asus-tuf-gaming-k3-gen-ii-hatsune-miku-edition-rgb-wired-gaming-keyboard-tuf-gaming-k3-gen-ii-hatsune-miku,,Gaming,ROG RX Red Optical,RGB,true,Wired,Teal / White
Razer Huntsman V3 Pro Mini,https://pcpartpicker.com/product/ZRyH99/razer-huntsman-v3-pro-mini-rgb-wired-mini-keyboard-rz03-04990200-r3u1,157,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Razer DeathStalker V2 Pro,https://pcpartpicker.com/product/6J9wrH/razer-deathstalker-v2-pro-rgb-bluetoothwirelesswired-gaming-keyboard-rz03-04363500-r3m1,230,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,false,"Wired, Wireless, Bluetooth Wireless",White
Keychron K2 HE Special Edition,https://pcpartpicker.com/product/wMfxFT/keychron-k2-he-special-edition-rgb-wirelessbluetoothwired-standard-keyboard-k2h-f1,127.99,Standard,Gateron Magnetic Nebula,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / Brown
Logitech G515 LIGHTSPEED,https://pcpartpicker.com/product/ZzQKHx/logitech-g515-lightspeed-rgb-wirelessbluetoothwired-gaming-keyboard-920-012423,158,Gaming,GL Tactile V2,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer Ornata V3 X,https://pcpartpicker.com/product/xrkWGX/razer-ornata-v3-x-rgb-wired-gaming-keyboard-rz03-04470200-r3u1,34.99,Gaming,,RGB,false,Wired,Black
Logitech G512 CARBON,https://pcpartpicker.com/product/kyCFf7/logitech-g512-carbon-rgb-wired-gaming-keyboard-920-009342,89,Gaming,GX Brown,RGB,false,Wired,Black
Logitech G510s,https://pcpartpicker.com/product/nNrG3C/logitech-g510s-wired-gaming-keyboard-920-004967,,Gaming,,Multicolor,false,Wired,Black
Logitech G213 PRODIGY,https://pcpartpicker.com/product/PGjWGX/logitech-g213-prodigy-wired-gaming-keyboard-920-008083,69.99,Gaming,,RGB,false,Wired,Black
SteelSeries Apex 3,https://pcpartpicker.com/product/hHQfrH/steelseries-apex-3-rgb-wired-gaming-keyboard-64812,57.99,Gaming,,RGB,false,Wired,Black
Logitech K120 - UK Layout,https://pcpartpicker.com/product/8Xg323/logitech-keyboard-920002501,33.1,Standard,,,false,Wired,Black
RK Royal Kludge RK61,https://pcpartpicker.com/product/bcNYcf/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-8541667752,59.99,Mini,RK Blue,White,true,"Wired, Wireless, Bluetooth Wireless",White
Corsair K55 CORE RGB,https://pcpartpicker.com/product/CYBzK8/corsair-k55-core-rgb-rgb-wired-gaming-keyboard-ch-9226c65-na,49.99,Gaming,,RGB,false,Wired,Black
Razer BlackWidow V4 Pro 75%,https://pcpartpicker.com/product/Wkhv6h/razer-blackwidow-v4-pro-75-rgb-wirelessbluetooth-mini-keyboard-rz03-05130200-r3u1,299.99,Mini,Razer Gen-3 (Tactile),RGB,true,"Wireless, Bluetooth Wireless",Black
G.Skill KM360,https://pcpartpicker.com/product/YV6qqs/gskill-km360-wired-standard-keyboard-gk-w0wc4-km360-h10na,35.99,Standard,Cherry MX Red,White,true,Wired,White
Cooler Master SK620,https://pcpartpicker.com/product/89cG3C/cooler-master-sk620-rgb-wired-gaming-keyboard-sk-620-sktl1-us,26.99,Gaming,TTC Blue,RGB,true,Wired,Silver / White
Redragon DEVARAIAS K556 RGB,https://pcpartpicker.com/product/QvM323/redragon-devaraias-k556-rgb-wired-gaming-keyboard-k556,44.99,Gaming,Outemu Brown,RGB,false,Wired,Black
SteelSeries Apex Pro Gen 3,https://pcpartpicker.com/product/nXpD4D/steelseries-apex-pro-gen-3-rgb-wired-gaming-keyboard-64898,220.99,Gaming,OmniPoint 2.0,RGB,true,Wired,White
Corsair K70 CORE,https://pcpartpicker.com/product/mcNYcf/corsair-k70-core-rgb-wired-gaming-keyboard-ch-910971e-na,99.99,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
Corsair VANGUARD PRO 96,https://pcpartpicker.com/product/qkm2FT/corsair-vanguard-pro-96-rgb-wired-gaming-keyboard-ch-91e911g-na,191.99,Gaming,Corsair MGX HYPERDRIVE,RGB,false,Wired,Black
SteelSeries Apex Pro Mini Gen 3,https://pcpartpicker.com/product/fVRnTW/steelseries-apex-pro-mini-gen-3-rgb-wired-mini-keyboard-64913,172.99,Mini,OmniPoint 2.0,RGB,true,Wired,Black
Logitech PRO X RAPID,https://pcpartpicker.com/product/2twmP6/logitech-pro-x-rapid-rgb-wired-gaming-keyboard-920-013131,169.99,Gaming,Logitech Magnetic Analog,RGB,true,Wired,Black
Keychron C2,https://pcpartpicker.com/product/9D92FT/keychron-c2-wired-standard-keyboard-c2-g3-usa,77.82,Standard,Gateron G Pro Brown Hot-swappable,White,false,Wired,Black / White
Logitech G915 TKL,https://pcpartpicker.com/product/Bxdrxr/logitech-g915-tkl-rgb-wirelessbluetoothwired-gaming-keyboard-920-009495,229.99,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex Pro Gen 3,https://pcpartpicker.com/product/hLcBD3/steelseries-apex-pro-gen-3-rgb-wired-gaming-keyboard-64740,226.99,Gaming,OmniPoint 3.0,RGB,true,Wired,Black
Verbatim 99201,https://pcpartpicker.com/product/jz7CmG/verbatim-keyboard-99201,14.05,Standard,,,false,Wired,Black
Logitech G715,https://pcpartpicker.com/product/2yYmP6/logitech-g715-rgb-wiredwirelessbluetooth-gaming-keyboard-920-010453,195.99,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Razer BlackWidow V3,https://pcpartpicker.com/product/mGrRsY/razer-blackwidow-v3-rgb-wired-gaming-keyboard-rz03-03540200-r3u1,128.3,Gaming,Razer Green,RGB,false,Wired,Black
Keychron Lemokey X3,https://pcpartpicker.com/product/wNMMnQ/keychron-lemokey-x3-wired-standard-keyboard-x3-a3,30.99,Standard,Keychron Brown,Red,false,Wired,Black / Red
Asus ROG Azoth,https://pcpartpicker.com/product/JCpzK8/asus-rog-azoth-rgb-bluetoothwirelesswired-mini-keyboard-90mp0316-bkaa01,,Mini,ROG NX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K65 RGB MINI,https://pcpartpicker.com/product/czLFf7/corsair-ch-9194114-na-rgb-wired-mini-keyboard-ch-9194114-na,59.99,Mini,Cherry MX Speed Silver,RGB,true,Wired,White
SteelSeries Apex Pro TKL (2023),https://pcpartpicker.com/product/TRkH99/steelseries-apex-pro-tkl-2023-rgb-wiredbluetoothwireless-gaming-keyboard-64865,159.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Redragon K512 SHIVA RGB,https://pcpartpicker.com/product/gzFKHx/redragon-k512-shiva-rgb-wired-gaming-keyboard-k512-shiva,37.99,Gaming,,RGB,false,Wired,Black
MSI FORGE GK110,https://pcpartpicker.com/product/HFHp99/msi-forge-gk110-rgb-wired-gaming-keyboard-forge-gk110,24.99,Gaming,,RGB,false,Wired,Black / Gray
Logitech MX KEYS S,https://pcpartpicker.com/product/pdJp99/logitech-mx-keys-s-wirelesswiredbluetooth-standard-keyboard-920-011558,129.99,Standard,,,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech Wireless Combo MK270,https://pcpartpicker.com/product/jKfp99/logitech-keyboard-920008813,23.99,Standard,,,false,Wireless,Black
Razer Ornata V3,https://pcpartpicker.com/product/bDFmP6/razer-ornata-v3-rgb-wired-gaming-keyboard-rz03-04880200-r3u1,102.98,Gaming,,RGB,true,Wired,Black
Asceny One,https://pcpartpicker.com/product/WjJmP6/asceny-one-wired-mini-keyboard-309272287493,19.98,Mini,Gateron Blue Optical,RGB,true,Wired,Black
Keychron V1 Max,https://pcpartpicker.com/product/P8grxr/keychron-v1-max-bluetoothwirelesswired-mini-keyboard-v1m-d1,127.99,Mini,Gateron Jupiter Red,,true,"Wired, Wireless, Bluetooth Wireless",Black / Blue
HP HyperX Alloy Origins Core,https://pcpartpicker.com/product/YrqBD3/hp-hyperx-alloy-origins-core-rgb-wired-gaming-keyboard-hx-kb7rdx-us,106.99,Gaming,HyperX Red,RGB,true,Wired,Black
8BitDo Retro N,https://pcpartpicker.com/product/RwsV3C/8bitdo-retro-n-wiredbluetoothwireless-gaming-keyboard-6922621504290,89.99,Gaming,Kailh Box White V2,,true,"Wired, Wireless, Bluetooth Wireless",White / Gray
Razer Huntsman Mini,https://pcpartpicker.com/product/Jd2bt6/razer-huntsman-mini-rgb-wired-mini-keyboard-rz03-03390500-r3u1,89,Mini,Razer Purple Optical Clicky,RGB,true,Wired,Black
Dell KB216,https://pcpartpicker.com/product/9g97YJ/dell-kb216-wired-slim-keyboard-kb216-bk-us,18.99,Slim,,,false,Wired,Black
Razer Blackwidow V3 - Quartz,https://pcpartpicker.com/product/4Z4BD3/razer-blackwidow-v3-quartz-rgb-wired-gaming-keyboard-rz03-03541800-r3m1,157.99,Gaming,Razer Green,RGB,false,Wired,Pink
HP 150,https://pcpartpicker.com/product/dNgrxr/hp-150-wired-standard-keyboard-664r5aaabl,16,Standard,,,false,Wired,Black
Corsair K100 AIR Wireless,https://pcpartpicker.com/product/Zs92FT/corsair-k100-air-wireless-rgb-bluetoothwirelesswired-gaming-keyboard-ch-913a01u-na,249.99,Gaming,Cherry MX Ultra Low Profile Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G810 Orion Spectrum RGB,https://pcpartpicker.com/product/gqmxFT/logitech-g810-orion-spectrum-rgb-wired-gaming-keyboard-g810,,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Logitech K830,https://pcpartpicker.com/product/NvmxFT/logitech-k830-wireless-slim-keyboard-wtouchpad-920-007182,,Slim,,White,true,Wireless,Black
Ducky ONE 3,https://pcpartpicker.com/product/k3dG3C/ducky-one-3-rgb-wired-gaming-keyboard-dkon2108st-ruspdpwwwsc1,129,Gaming,Cherry MX Red RGB,RGB,false,Wired,White
iBuypower Chimera KM7 RGB,https://pcpartpicker.com/product/D2vD4D/ibuypower-chimera-km7-rgb-rgb-wired-gaming-keyboard-with-optical-mouse-848604044651,43,Gaming,,RGB,false,Wired,Black
Keychron Q5 HE QMK,https://pcpartpicker.com/product/nkvD4D/keychron-q5-he-qmk-rgb-wirelessbluetoothwired-standard-keyboard-q5h-m1,249.99,Standard,Gateron Magnetic Nebula,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black / White
Corsair K95 RGB PLATINUM XT,https://pcpartpicker.com/product/KQcRsY/corsair-k95-rgb-platinum-xt-wired-gaming-keyboard-ch-9127411-na,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Keychron Q6 Max QMK/VIA,https://pcpartpicker.com/product/2TDnTW/keychron-q6-max-qmkvia-rgb-bluetoothwirelesswired-gaming-keyboard-q6m-m3,244.99,Gaming,Gateron Jupiter Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Keychron Lemokey P1 HE Knob,https://pcpartpicker.com/product/Gw7MnQ/keychron-lemokey-p1-he-knob-rgb-wirelessbluetooth-gaming-keyboard-p1h-p1,169.99,Gaming,Gateron Magnetic Nebula,RGB,true,"Wireless, Bluetooth Wireless",White
Keychron C3 Pro,https://pcpartpicker.com/product/dLfxFT/keychron-c3-pro-wired-standard-keyboard-c3p-a3,62.99,Standard,Keychron K Pro Brown,Red,true,Wired,Black / Red
Logitech MK200,https://pcpartpicker.com/product/XnDwrH/logitech-keyboard-920002714,18.95,Slim,,,false,Wired,Black
Logitech G915 Lightspeed,https://pcpartpicker.com/product/VMZzK8/logitech-g915-lightspeed-rgb-wireless-gaming-keyboard-920-008902,,Gaming,Logitech GL Tactile,RGB,false,Wireless,Black
Logitech K400 Plus,https://pcpartpicker.com/product/MBZ2FT/logitech-keyboard-920007119,33.99,Mini,,,true,Wireless,Black / Yellow
Wooting One,https://pcpartpicker.com/product/JsL7YJ/wooting-one-rgb-wired-gaming-keyboard-ba1-us2-rd-001,,Gaming,Flaretech Red,RGB,true,Wired,Black
Corsair K70 PRO TKL PBT,https://pcpartpicker.com/product/vKP8TW/corsair-k70-pro-tkl-pbt-rgb-wired-gaming-keyboard-ch-911961g-na,231.99,Gaming,Corsair MGX V2,RGB,true,Wired,White
MSI Vigor GK30,https://pcpartpicker.com/product/6Dxbt6/msi-vigor-gk30-rgb-wired-gaming-keyboard-vigor-gk30,40.99,Gaming,,RGB,false,Wired,Black
SteelSeries Apex Pro Gen 3,https://pcpartpicker.com/product/NsBFf7/steelseries-apex-pro-gen-3-rgb-wired-gaming-keyboard-64660,226.99,Gaming,OmniPoint 2.0,RGB,false,Wired,Black
Corsair K70 CORE TKL,https://pcpartpicker.com/product/zbFmP6/corsair-k70-core-tkl-rgb-wired-gaming-keyboard-ch-911911e-na,94.99,Gaming,Corsair MLX Red V2 Linear,RGB,true,Wired,Black
Logitech G213,https://pcpartpicker.com/product/N7NxFT/logitech-g213-rgb-wired-gaming-keyboard-920-009284,56.99,Gaming,,RGB,false,Wired,Black
Razer BlackWidow V3 Mini HyperSpeed - Phantom Edition,https://pcpartpicker.com/product/4ZQKHx/razer-blackwidow-v3-mini-hyperspeed-phantom-edition-rgb-bluetoothwirelesswired-gaming-keyboard-rz03-03892000-r3m1,122.18,Gaming,Razer Green,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer BlackWidow V4 75%,https://pcpartpicker.com/product/6RxxFT/razer-blackwidow-v4-75-rgb-wired-mini-keyboard-rz03-05001700-r3m1,236.99,Mini,Razer Orange,RGB,true,Wired,White
Logitech G710 Plus,https://pcpartpicker.com/product/GBCwrH/logitech-keyboard-920003887,,Gaming,Cherry MX Brown,White,false,Wired,Black
Razer Huntsman V2,https://pcpartpicker.com/product/DrLFf7/razer-huntsman-v2-rgb-wired-gaming-keyboard-rz03-03940400-r3u1,110.99,Gaming,Razer Purple Optical Clicky,RGB,true,Wired,Black
Razer BlackWidow V3 Mini HyperSpeed - Phantom Edition,https://pcpartpicker.com/product/YR4Zxr/razer-blackwidow-v3-mini-hyperspeed-phantom-edition-rgb-bluetoothwirelesswired-gaming-keyboard-rz03-03891900-r3m1,130,Gaming,Razer Yellow,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K55 CORE RGB,https://pcpartpicker.com/product/hHjRsY/corsair-k55-core-rgb-rgb-wired-gaming-keyboard-ch-9226c65-uk,,Gaming,,RGB,false,Wired,Black
NZXT Function 2,https://pcpartpicker.com/product/yctLrH/nzxt-function-2-rgb-wired-gaming-keyboard-kb-002nw-us,75.71,Gaming,NZXT Swift Optical 40g,RGB,true,Wired,White
Razer BlackWidow V3,https://pcpartpicker.com/product/2pKKHx/razer-blackwidow-v3-rgb-wired-gaming-keyboard-rz03-03490200-r3u1,107,Gaming,Razer Green,RGB,true,Wired,Black
Logitech MX Mechanical,https://pcpartpicker.com/product/dxJgXL/logitech-mx-mechanical-wireless-slim-keyboard-920-010547,222.99,Slim,Kailh Choc V2 Brown,White,false,Wireless,Gray / Black
Corsair K100 RGB,https://pcpartpicker.com/product/DP4BD3/corsair-k100-rgb-wired-gaming-keyboard-ch-912a014-na,301.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Asus ROG Falchion RX,https://pcpartpicker.com/product/dWG2FT/asus-rog-falchion-rx-rgb-wirelessbluetoothwired-slim-keyboard-m603-falchion-rx-lprlrd,129.99,Slim,ROG RX Red Optical,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Corsair K70 RGB PRO,https://pcpartpicker.com/product/jmYmP6/corsair-k70-rgb-pro-rgb-wired-gaming-keyboard-ch-910951a-na,194.98,Gaming,Corsair OPX,RGB,false,Wired,White
Kinesis Gaming KB600,https://pcpartpicker.com/product/Pwstt6/kinesis-gaming-kb600-wired-ergonomic-keyboard-kb600,470,Ergonomic,Cherry MX Brown,,true,Wired,Black / Blue
Keychron Q6 HE QMK,https://pcpartpicker.com/product/w7TFf7/keychron-q6-he-qmk-rgb-wiredwirelessbluetooth-standard-keyboard-q6h-p1,249.99,Standard,Gateron Magnetic Nebula,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Green
Tecware Phantom RGB,https://pcpartpicker.com/product/Tqzkcf/tecware-phantom-rgb-wired-gaming-keyboard-twkb-p87zord,63.99,Gaming,Outemu Red,RGB,true,Wired,Black
Logitech PRO X,https://pcpartpicker.com/product/z3sV3C/logitech-pro-x-rgb-bluetoothwirelesswired-gaming-keyboard-920-012118,219.99,Gaming,Logitech GX Blue Clicky,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G910 Orion Spectrum RGB,https://pcpartpicker.com/product/YrvZxr/logitech-g910-orion-spectrum-rgb-wired-gaming-keyboard-920-008012,,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Rii RK100,https://pcpartpicker.com/product/CMGj4D/rii-rk100-wired-standard-keyboard-rk100,,Standard,,Multicolor,false,Wired,
NZXT Function 2,https://pcpartpicker.com/product/cfgrxr/nzxt-function-2-rgb-wired-gaming-keyboard-kb-001nb-de,75.71,Gaming,NZXT Swift Optical 40g,RGB,false,Wired,Black
Asus ROG Strix Scope,https://pcpartpicker.com/product/fNC48d/asus-rog-strix-scope-rgb-wirelessbluetoothwired-gaming-keyboard-90mp02j0-bkua01,169.99,Gaming,ROG RX Red Optical,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex 5,https://pcpartpicker.com/product/7yLwrH/steelseries-apex-5-rgb-wired-gaming-keyboard-64532,124.99,Gaming,,RGB,false,Wired,Black
Logitech G915 LIGHTSPEED TKL,https://pcpartpicker.com/product/qcWJ7P/logitech-g915-lightspeed-tkl-rgb-wirelesswiredbluetooth-gaming-keyboard-920-012715,229.99,Gaming,Logitech Low-Profile GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Razer Tartarus Pro,https://pcpartpicker.com/product/mmTzK8/razer-tartarus-pro-rgb-wired-ergonomic-keyboard-rz07-03110100-r3u1,126.99,Ergonomic,Razer Red Optical Linear,RGB,true,Wired,Black
HP HyperX Alloy Origins 60,https://pcpartpicker.com/product/XHRwrH/hp-hyperx-alloy-origins-60-rgb-gaming-keyboard-4p5n4aa,79.98,Gaming,HyperX Red,RGB,true,,Black
Corsair K70 CORE TKL,https://pcpartpicker.com/product/BsyH99/corsair-k70-core-tkl-rgb-bluetoothwirelesswired-gaming-keyboard-ch-914901e-na,149.99,Gaming,Corsair MLX Red V2 Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Glorious GMMK,https://pcpartpicker.com/product/xrVmP6/glorious-pc-gaming-race-gmmk-rgb-wired-gaming-keyboard-gmmk-brn,,Gaming,Gateron Brown,RGB,false,Wired,Black
Razer DeathStalker V2 Pro,https://pcpartpicker.com/product/BsBFf7/razer-deathstalker-v2-pro-rgb-wireless-gaming-keyboard-rz03-04373500-r3m1,205.5,Gaming,Razer Red Low-Profile Optical Linear,RGB,true,Wireless,White
Asus ROG Strix Scope II 96,https://pcpartpicker.com/product/G7Hqqs/asus-rog-strix-scope-ii-96-rgb-wirelessbluetoothwired-gaming-keyboard-90mp037b-bkaa01,209.99,Gaming,ROG NX Storm,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Keychron Lemokey P1 HE Knob,https://pcpartpicker.com/product/MDJBD3/keychron-lemokey-p1-he-knob-wirelessbluetooth-gaming-keyboard-p1h-m1z,169.99,Gaming,Gateron Magnetic Nebula,,true,"Wireless, Bluetooth Wireless",Black / Green
Ducky Zero 6108 Classic,https://pcpartpicker.com/product/TRTFf7/ducky-zero-6108-classic-rgb-wirelessbluetoothwired-standard-keyboard-dkze2408st3-cbuspdoecl1aw1,59.99,Standard,Cherry MX2A Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
SteelSeries Apex Pro Mini Wireless,https://pcpartpicker.com/product/9nPQzy/steelseries-apex-pro-mini-wireless-rgb-bluetoothwireless-gaming-keyboard-64842,226.24,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wireless, Bluetooth Wireless",Black
Razer Pro Type Ultra - US,https://pcpartpicker.com/product/73qPxr/razer-pro-type-ultra-us-wiredwirelessbluetooth-standard-keyboard-rz03-04110100-r3m1,,Standard,Razer Yellow,White,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
Keychron K10,https://pcpartpicker.com/product/PkdMnQ/keychron-k10-bluetoothwired-standard-keyboard-k10-a1,84.99,Standard,Gateron G Pro Red,White,false,"Wired, Bluetooth Wireless",Gray / Black
Asus ROG Strix Scope II 96,https://pcpartpicker.com/product/Fcjv6h/asus-rog-strix-scope-ii-96-rgb-wirelessbluetoothwired-gaming-keyboard-90mp037a-bkua10,,Gaming,ROG NX Snow,RGB,false,"Wired, Wireless, Bluetooth Wireless",White
SteelSeries Apex 7,https://pcpartpicker.com/product/wpbCmG/steelseries-apex-7-wired-gaming-keyboard-64636,143.99,Gaming,SteelSeries QX2 Red,RGB,false,Wired,Black
Asus TUF Gaming K3 Gen II,https://pcpartpicker.com/product/QyqNnQ/asus-tuf-gaming-k3-gen-ii-rgb-wired-gaming-keyboard-90mp0390-bkaa00,122.99,Gaming,ROG RX Red Optical,RGB,true,Wired,Black
be quiet! Dark Mount,https://pcpartpicker.com/product/LYWmP6/be-quiet-dark-mount-rgb-wired-gaming-keyboard-bt001us,307.9,Gaming,be quiet! Silent Orange Linear,RGB,false,Wired,Black
