name,part_url,price,capacity_w,capacity_va
Tripp Lite SMART1500LCD,https://pcpartpicker.com/product/xLDzK8/tripp-lite-ups-smart1500lcd,350.58,900,1500
CyberPower CP1350AVRLCD,https://pcpartpicker.com/product/WkTrxr/cyberpower-ups-cp1350avrlcd,,810,1350
CyberPower CP1200AVR,https://pcpartpicker.com/product/s2RFf7/cyberpower-ups-cp1200avr,206.95,720,1200
APC BK325I,https://pcpartpicker.com/product/2nnG3C/apc-ups-bk325i,,210,325
APC SMX2200HV,https://pcpartpicker.com/product/RWX2FT/apc-ups-smx2200hv,20499.99,1980,2200
CyberPower CP1000AVRLCD,https://pcpartpicker.com/product/2Ps8TW/cyberpower-ups-cp1000avrlcd,175.95,600,1000
APC SRT6KRMXLI,https://pcpartpicker.com/product/v9Wrxr/apc-ups-srt6krmxli,175493.99,6000,6000
VERTIV Liebert PSA5,https://pcpartpicker.com/product/zWKnTW/vertiv-liebert-psa5-ups-psa5-1000mt120,164.58,600,1000
Tripp Lite SMART1500PSGLCD,https://pcpartpicker.com/product/PFcG3C/tripp-lite-smart1500psglcd-ups-smart1500psglcd,381.64,900,1500
APC SRT6KXLT,https://pcpartpicker.com/product/Ppbkcf/apc-ups-srt6kxlt,14514.99,6000,6000
APC SMT1500US,https://pcpartpicker.com/product/Z3FXsY/apc-ups-smt1500us,,1000,1440
CyberPower EC650LCD,https://pcpartpicker.com/product/xwVBD3/cyberpower-ups-ec650lcd,96.95,390,650
CyberPower CP1350PFCLCD,https://pcpartpicker.com/product/g6X2FT/cyberpower-cp1350pfclcd-ups-cp1350pfclcd,219.95,810,1350
APC SRT8KXLI,https://pcpartpicker.com/product/hzM323/apc-ups-srt8kxli,54029.99,8000,8000
CyberPower LE1000DG,https://pcpartpicker.com/product/ybTZxr/cyberpower-le1000dg-ups-le1000dg,146.99,530,1000
Tripp Lite SMART1500LCDT,https://pcpartpicker.com/product/gRGj4D/tripp-lite-ups-smart1500lcdt,366.42,900,1500
CyberPower GX1500U,https://pcpartpicker.com/product/HWNgXL/cyberpower-gx1500u-ups-gx1500u,249.99,900,1500
APC SMX3000RMHV2UNC,https://pcpartpicker.com/product/PTH48d/apc-ups-smx3000rmhv2unc,23166.5,2700,3000
CyberPower PR2200LCD,https://pcpartpicker.com/product/4ccMnQ/cyberpower-ups-pr2200lcd,6569.95,1980,2200
CyberPower CP900EPFCLCD,https://pcpartpicker.com/product/McBzK8/cyberpower-cp900epfclcd-ups-cp900epfclcd,,540,900
APC SRT5KXLT,https://pcpartpicker.com/product/cD8H99/apc-ups-srt5kxlt,2854.06,4250,5000
APC SMX3000HVNC,https://pcpartpicker.com/product/gf8H99/apc-ups-smx3000hvnc,59429,2700,3000
VERTIV Liebert PSl5,https://pcpartpicker.com/product/NWKnTW/vertiv-liebert-psl5-ups-psi5-1500mt120,630.5,1350,1440
CyberPower CP850PFCLCD,https://pcpartpicker.com/product/Q4Crxr/cyberpower-ups-cp850pfclcd,159.99,510,850
APC Back-UPS Pro 1350VA,https://pcpartpicker.com/product/p9bTwP/apc-back-ups-pro-1350va-ups-bn1350m2,245.99,810,1350
CyberPower OL3000RTXL2U,https://pcpartpicker.com/product/R7hj4D/cyberpower-ups-ol3000rtxl2u,34932.94,2700,3000
APC BE850G2,https://pcpartpicker.com/product/8Pnypg/apc-be850g2-ups-be850g2,149.69,450,850
Tripp Lite INTERNET600U,https://pcpartpicker.com/product/B8KhP6/tripp-lite-ups-internet600u,86.02,300,600
APC Easy UPS BV1000I-MS 230V,https://pcpartpicker.com/product/RsV2FT/apc-easy-ups-bv1000i-ms-230v-ups-bv1000i-ms,,600,1000
APC SMT3000,https://pcpartpicker.com/product/TkTrxr/apc-ups-smt3000,19610.89,2700,3000
APC SMX1000I,https://pcpartpicker.com/product/NbjWGX/apc-ups-smx1000i,16934.6,800,1000
APC Back-UPS 850,https://pcpartpicker.com/product/J7mmP6/apc-back-ups-850-ups-bx850m,163.99,510,850
APC SUM3000RMXLI2U,https://pcpartpicker.com/product/DWX2FT/apc-ups-sum3000rmxli2u,,2850,3000
CyberPower EC750G,https://pcpartpicker.com/product/rKZ2FT/cyberpower-ups-ec750g,109.95,450,750
APC SRT6KRMXLT,https://pcpartpicker.com/product/J3FXsY/apc-ups-srt6krmxlt,64799.61,6000,6000
Tripp Lite SM3000RMXLNTAA,https://pcpartpicker.com/product/tRGj4D/tripp-lite-ups-sm3000rmxlntaa,6567.05,2880,3000
Tripp Lite SMART2200VS,https://pcpartpicker.com/product/YPs8TW/tripp-lite-ups-smart2200vs,9586.29,1600,2200
Tripp Lite SMART3000RM2U,https://pcpartpicker.com/product/xD8H99/tripp-lite-ups-smart3000rm2u,8399.95,2250,3000
CyberPower PR5000LCDRTXL5U,https://pcpartpicker.com/product/c8KhP6/cyberpower-ups-pr5000lcdrtxl5u,68408.95,4000,5000
CyberPower BRG1500AVRLCD2,https://pcpartpicker.com/product/2pP8TW/cyberpower-brg1500avrlcd2-ups-brg1500avrlcd2,348.95,900,1500
CyberPower BRG1000AVRLCD,https://pcpartpicker.com/product/DLDzK8/cyberpower-ups-brg1000avrlcd,208.95,600,1000
APC Back-UPS Pro 1350S,https://pcpartpicker.com/product/H9bTwP/apc-back-ups-pro-1350s-ups-br1350ms,237.58,810,1350
CyberPower OR1500LCDRM1U,https://pcpartpicker.com/product/dLDzK8/cyberpower-ups-or1500lcdrm1u,683.95,900,1500
APC SMT2200,https://pcpartpicker.com/product/jr7CmG/apc-ups-smt2200,10790.55,1980,2200
APC SMX3000LVNC,https://pcpartpicker.com/product/7LDzK8/apc-ups-smx3000lvnc,54802.29,2700,3000
APC SUA5000RMT5U,https://pcpartpicker.com/product/WRGj4D/apc-ups-sua5000rmt5u,57392.99,4000,5000
Tripp Lite SMART3000RMXL2U,https://pcpartpicker.com/product/nm8H99/tripp-lite-ups-smart3000rmxl2u,1618,2880,3000
CyberPower PR2200SWRM2U,https://pcpartpicker.com/product/L3FXsY/cyberpower-ups-pr2200swrm2u,,1500,2200
Lenovo 55943AX,https://pcpartpicker.com/product/Qpbkcf/lenovo-ups-55943ax,,2700,3000
CyberPower CP1300EPFCLCD,https://pcpartpicker.com/product/Rw3H99/cyberpower-cp1300epfclcd-ups-cp1300epfclcd,,780,1300
APC Back-UPS 1350,https://pcpartpicker.com/product/Xs92FT/apc-back-ups-1350-ups-bx1350m,204.99,810,1350
APC SMT1500I,https://pcpartpicker.com/product/bPs8TW/apc-ups-smt1500i,10064.11,980,1500
VERTIV Liebert PSA5,https://pcpartpicker.com/product/jLbypg/vertiv-liebert-psa5-ups-psa5-1500mt120,227.43,900,1500
APC BK650EI,https://pcpartpicker.com/product/zRGj4D/apc-ups-bk650ei,,400,650
APC SMC1500I,https://pcpartpicker.com/product/VKZ2FT/apc-ups-smc1500i,,900,1500
APC SMT2200US,https://pcpartpicker.com/product/2wVBD3/apc-ups-smt2200us,12868.86,1980,2200
APC SMT3000I,https://pcpartpicker.com/product/ZbjWGX/apc-ups-smt3000i,27210.89,2700,3000
APC SMX2200RMLV2U,https://pcpartpicker.com/product/kM8H99/apc-ups-smx2200rmlv2u,30066.75,1980,2200
APC SMX3000RMLV2UNC,https://pcpartpicker.com/product/2yfmP6/apc-ups-smx3000rmlv2unc,68375,2700,3000
CyberPower CP1500AVRT,https://pcpartpicker.com/product/yM8H99/cyberpower-ups-cp1500avrt,219.95,900,1500
CyberPower OL1500RTXL2U,https://pcpartpicker.com/product/kTBrxr/cyberpower-ups-ol1500rtxl2u,7065.95,1350,1500
APC BR1000G,https://pcpartpicker.com/product/4kTrxr/apc-ups-br1000g,,600,1000
APC SRT8KRMXLT,https://pcpartpicker.com/product/Hm8H99/apc-ups-srt8krmxlt,61829.06,8000,8000
APC SURTA3000XL,https://pcpartpicker.com/product/w2RFf7/apc-ups-surta3000xl,52847.97,2100,3000
Tripp Lite SMART2200RMXL2U,https://pcpartpicker.com/product/7ccMnQ/tripp-lite-ups-smart2200rmxl2u,1096.5,1920,2200
Tripp Lite SMARTINT2200VS,https://pcpartpicker.com/product/Bf8H99/tripp-lite-ups-smartint2200vs,,1600,2200
Tripp Lite SMART3000RMXLN,https://pcpartpicker.com/product/r2RFf7/tripp-lite-ups-smart3000rmxln,11950.95,2880,3000
CyberPower EC550G,https://pcpartpicker.com/product/8GfmP6/cyberpower-ups-ec550g,113.95,330,550
APC BR1500MS,https://pcpartpicker.com/product/XcndnQ/apc-br1500ms-ups-br1500ms,,900,1500
VERTIV Liebert PST5,https://pcpartpicker.com/product/YwCCmG/vertiv-liebert-pst5-ups-pst5-660mt120,116.02,400,660
Tripp Lite SMART1500LCDXL,https://pcpartpicker.com/product/ywVBD3/tripp-lite-ups-smart1500lcdxl,499,900,1500
CyberPower CST135UC,https://pcpartpicker.com/product/f2ddnQ/cyberpower-cst135uc-ups-cst135uc,179.99,810,1350
APC SMX3000HV,https://pcpartpicker.com/product/Vpbkcf/apc-ups-smx3000hv,52223.19,2700,3000
Tripp Lite OMNI1500LCDT,https://pcpartpicker.com/product/TXH48d/tripp-lite-ups-omni1500lcdt,235.36,810,1500
Tripp Lite SMART1500RM2U,https://pcpartpicker.com/product/kGfmP6/tripp-lite-ups-smart1500rm2u,932.01,1350,1500
CyberPower AVRG900U,https://pcpartpicker.com/product/pTH48d/cyberpower-ups-avrg900u,141.95,480,900
CyberPower OR500LCDRM1U,https://pcpartpicker.com/product/p6X2FT/cyberpower-ups-or500lcdrm1u,271.95,300,500
VERTIV Liebert Power-UPS Lithium,https://pcpartpicker.com/product/nwCCmG/vertiv-liebert-power-ups-lithium-ups-pul-400lvt,124.99,240,400
APC SMC1500,https://pcpartpicker.com/product/73FXsY/apc-ups-smc1500,634,900,1500
APC SMT2200RMI2U,https://pcpartpicker.com/product/TgL7YJ/apc-ups-smt2200rmi2u,,1980,2200
APC SMX2000LV,https://pcpartpicker.com/product/F2RFf7/apc-ups-smx2000lv,25207.4,1800,1920
