name,part_url,price,capacity_w,capacity_va
CyberPower OR1500LCDRTXL2U,https://pcpartpicker.com/product/vr7CmG/cyberpower-ups-or1500lcdrtxl2u,923.95,1125,1500
CyberPower OR2200PFCRT2Ua,https://pcpartpicker.com/product/NtJkcf/cyberpower-ups-or2200pfcrt2ua,,1300,2200
CyberPower PR1500LCDRT2U,https://pcpartpicker.com/product/BkTrxr/cyberpower-ups-pr1500lcdrt2u,,1350,1500
CyberPower PR1500LCDRT2UTAA,https://pcpartpicker.com/product/r4Crxr/cyberpower-ups-pr1500lcdrt2utaa,,1000,1500
CyberPower PR2200LCDRT2UTAA,https://pcpartpicker.com/product/WgL7YJ/cyberpower-ups-pr2200lcdrt2utaa,,1600,2170
CyberPower PR3000LCDRT2U,https://pcpartpicker.com/product/M9Wrxr/cyberpower-ups-pr3000lcdrt2u,,2700,3000
CyberPower PR3000LCDRTXL2U,https://pcpartpicker.com/product/wd648d/cyberpower-ups-pr3000lcdrtxl2u,,3000,3000
CyberPower PR5000LCDRTXL5UTAA,https://pcpartpicker.com/product/BXH48d/cyberpower-ups-pr5000lcdrtxl5utaa,,4000,5000
CyberPower PR6000LCDRTXL5U,https://pcpartpicker.com/product/yYrcCJ/cyberpower-ups-pr6000lcdrtxl5u,,4500,6000
HP AF449A,https://pcpartpicker.com/product/2XH48d/hp-ups-af449a,,670,1000
IBM 53959KX,https://pcpartpicker.com/product/hCyxFT/ibm-ups-53959kx,,10000,11000
Eaton 66942,https://pcpartpicker.com/product/RRvZxr/eaton-ups-66942,,250,500
APC BN1100M2,https://pcpartpicker.com/product/YkTzK8/apc-bn1100m2-ups-bn1100m2,,600,1100
Tripp Lite ECO750UPS,https://pcpartpicker.com/product/8nnG3C/tripp-lite-ups-eco750ups,154.13,450,750
Tripp Lite SMART1200LCD,https://pcpartpicker.com/product/Rpbkcf/tripp-lite-ups-smart1200lcd,365.78,700,1200
Tripp Lite SMART1500RMXL2U,https://pcpartpicker.com/product/QFdFf7/tripp-lite-ups-smart1500rmxl2u,1017.99,940,1500
Tripp Lite SMC15002URM,https://pcpartpicker.com/product/wKZ2FT/tripp-lite-ups-smc15002urm,923.01,1000,1500
APC BK350EI,https://pcpartpicker.com/product/WCyxFT/apc-ups-bk350ei,,210,350
APC BK500BLK,https://pcpartpicker.com/product/ZD8H99/apc-ups-bk500blk,162.99,300,500
APC SMT3000RMUS,https://pcpartpicker.com/product/RtJkcf/apc-ups-smt3000rmus,22815,2700,2880
APC SMT750,https://pcpartpicker.com/product/DHNypg/apc-ups-smt750,,500,750
APC SMT750RMI2U,https://pcpartpicker.com/product/XQVBD3/apc-ups-smt750rmi2u,,500,750
APC SMX2000RMLV2U,https://pcpartpicker.com/product/x3FXsY/apc-ups-smx2000rmlv2u,21482,1800,1920
APC SMX750,https://pcpartpicker.com/product/8NNypg/apc-ups-smx750,,600,750
APC SURTD5000XLI,https://pcpartpicker.com/product/J4Crxr/apc-ups-surtd5000xli,,3500,5000
Tripp Lite INTERNET350SER,https://pcpartpicker.com/product/jf8H99/tripp-lite-ups-internet350ser,118.99,180,350
Tripp Lite INTERNET550U,https://pcpartpicker.com/product/bWX2FT/tripp-lite-ups-internet550u,87.16,300,550
Tripp Lite OMNISMART300PNP,https://pcpartpicker.com/product/K6X2FT/tripp-lite-ups-omnismart300pnp,195,180,300
Tripp Lite OMNISMART350HG,https://pcpartpicker.com/product/FBPzK8/tripp-lite-ups-omnismart350hg,678.99,225,330
Tripp Lite SMART500RT1UTAA,https://pcpartpicker.com/product/pf8H99/tripp-lite-ups-smart500rt1utaa,,300,500
CyberPower OR1000LCDRM1U,https://pcpartpicker.com/product/sTH48d/cyberpower-ups-or1000lcdrm1u,505.95,600,1000
CyberPower OR700LCDRM1U,https://pcpartpicker.com/product/tZ8H99/cyberpower-ups-or700lcdrm1u,402.95,400,700
CyberPower PR1000LCDRT1U,https://pcpartpicker.com/product/bbjWGX/cyberpower-ups-pr1000lcdrt1u,875.95,800,1000
Tripp Lite SM1000RM1UTAA,https://pcpartpicker.com/product/DTH48d/tripp-lite-ups-sm1000rm1utaa,881.93,800,1000
Tripp Lite SM3000RM2UTAA,https://pcpartpicker.com/product/C9Wrxr/tripp-lite-ups-sm3000rm2utaa,4547.99,2250,3000
Tripp Lite SMC10002URM,https://pcpartpicker.com/product/Mr7CmG/tripp-lite-ups-smc10002urm,631.99,700,1000
APC SMT1000,https://pcpartpicker.com/product/QxYWGX/apc-ups-smt1000,545.99,670,1000
APC SMT1000J,https://pcpartpicker.com/product/rhqbt6/apc-ups-smt1000j,,670,1000
APC BE325-GR,https://pcpartpicker.com/product/TRGj4D/apc-ups-be325gr,,185,325
APC BE350G,https://pcpartpicker.com/product/NjcMnQ/apc-ups-be350g,,200,350
APC BE350G-CN,https://pcpartpicker.com/product/nr7CmG/apc-ups-be350gcn,,200,350
APC BE400-GR,https://pcpartpicker.com/product/c7hj4D/apc-ups-be400gr,,240,400
APC BE450G,https://pcpartpicker.com/product/y7hj4D/apc-ups-be450g,,257,450
APC BE450G-CN,https://pcpartpicker.com/product/dccMnQ/apc-ups-be450gcn,,257,450
APC APC3IA,https://pcpartpicker.com/product/mzM323/apc-ups-apc3ia,,2250,3000
APC BE325,https://pcpartpicker.com/product/nFdFf7/apc-ups-be325,,185,325
APC BE325-LM,https://pcpartpicker.com/product/BJVBD3/apc-ups-be325lm,,185,325
APC BE325R,https://pcpartpicker.com/product/NGGj4D/apc-ups-be325r,,185,325
APC BE350,https://pcpartpicker.com/product/DFdFf7/apc-ups-be350,,225,350
APC BE350C,https://pcpartpicker.com/product/wZ8H99/apc-ups-be350c,,200,350
APC BE350G-LM,https://pcpartpicker.com/product/LnnG3C/apc-ups-be350glm,,200,350
APC BE350R,https://pcpartpicker.com/product/4hqbt6/apc-ups-be350r,,200,350
APC BE350R-CN,https://pcpartpicker.com/product/GD8H99/apc-ups-be350rcn,,200,350
APC BE350U-CN,https://pcpartpicker.com/product/MgL7YJ/apc-ups-be350ucn,,200,350
APC BE400-CP,https://pcpartpicker.com/product/CkTrxr/apc-ups-be400cp,,240,400
APC BE400-FR,https://pcpartpicker.com/product/sgL7YJ/apc-ups-be400fr,,240,400
APC BE450G-LM,https://pcpartpicker.com/product/J2RFf7/apc-ups-be450glm,,257,450
APC BE500R,https://pcpartpicker.com/product/JZ8H99/apc-ups-be500r,,300,500
APC BE500R-CN,https://pcpartpicker.com/product/h8KhP6/apc-ups-be500rcn,,300,500
APC BE500U-CN,https://pcpartpicker.com/product/HKZ2FT/apc-ups-be500ucn,,300,500
APC BE525-RS,https://pcpartpicker.com/product/tbjWGX/apc-ups-be525rs,,300,525
APC BE550-CP,https://pcpartpicker.com/product/qgL7YJ/apc-ups-be550cp,,330,550
APC BE550-GR,https://pcpartpicker.com/product/9QVBD3/apc-ups-be550gr,,330,550
APC BF350U,https://pcpartpicker.com/product/cvVBD3/apc-ups-bf350u,98.92,225,350
APC BE550G-CN,https://pcpartpicker.com/product/QYrcCJ/apc-ups-be550gcn,,330,550
APC BE550G-GR,https://pcpartpicker.com/product/gHNypg/apc-ups-be550ggr,,330,550
APC BE550G/LM,https://pcpartpicker.com/product/ff8H99/apc-ups-be550glm,,330,550
APC BE550R,https://pcpartpicker.com/product/Fr7CmG/apc-ups-be550r,,330,550
APC BE550R-CN,https://pcpartpicker.com/product/3kTrxr/apc-ups-be550rcn,,330,550
APC BE650BB,https://pcpartpicker.com/product/VTH48d/apc-ups-be650bb,,390,650
APC BE650G,https://pcpartpicker.com/product/mHNypg/apc-ups-be650g,,390,650
APC BE650G1-CN,https://pcpartpicker.com/product/KbjWGX/apc-ups-be650g1cn,,390,650
APC BE650G1-LM,https://pcpartpicker.com/product/39Wrxr/apc-ups-be650g1lm,109.99,390,650
APC BE650G-CN,https://pcpartpicker.com/product/8wVBD3/apc-ups-be650gcn,,390,650
APC BE650G-LM,https://pcpartpicker.com/product/xQVBD3/apc-ups-be650glm,,390,650
APC BE650MC,https://pcpartpicker.com/product/7HNypg/apc-ups-be650mc,,390,650
APC BE650R,https://pcpartpicker.com/product/kPs8TW/apc-ups-be650r,,390,650
APC BE650R-CN,https://pcpartpicker.com/product/rf8H99/apc-ups-be650rcn,,390,650
APC BE700-AZ,https://pcpartpicker.com/product/bf8H99/apc-ups-be700az,,405,700
APC BE700-CP,https://pcpartpicker.com/product/W8KhP6/apc-ups-be700cp,,405,700
APC BE700G-GR,https://pcpartpicker.com/product/2NNypg/apc-ups-be700ggr,,405,700
APC BE700-GR,https://pcpartpicker.com/product/j7hj4D/apc-ups-be700gr,,405,700
APC BE700-UK,https://pcpartpicker.com/product/6FdFf7/apc-ups-be700uk,,405,700
APC BE750BB,https://pcpartpicker.com/product/Bd648d/apc-ups-be750bb,,450,750
APC BE750BB-CN,https://pcpartpicker.com/product/4vVBD3/apc-ups-be750bbcn,,450,750
APC BE750BBX450,https://pcpartpicker.com/product/ZKZ2FT/apc-ups-be750bbx450,,450,750
APC BE750G-CN,https://pcpartpicker.com/product/T9Wrxr/apc-ups-be750gcn,,450,750
APC BE750G-LM,https://pcpartpicker.com/product/mvVBD3/apc-ups-be750glm,,450,750
APC BF350-FR,https://pcpartpicker.com/product/KLDzK8/apc-ups-bf350fr,,225,350
APC BF350-GR,https://pcpartpicker.com/product/fjcMnQ/apc-ups-bf350gr,,225,350
APC BF500,https://pcpartpicker.com/product/yTH48d/apc-ups-bf500,,325,500
APC BF500-AZ,https://pcpartpicker.com/product/vccMnQ/apc-ups-bf500az,,325,500
APC BF500-GR,https://pcpartpicker.com/product/ppbkcf/apc-ups-bf500gr,,325,500
APC BF500U,https://pcpartpicker.com/product/sCyxFT/apc-ups-bf500u,,325,500
APC BF500-UK,https://pcpartpicker.com/product/XNNypg/apc-ups-bf500uk,,325,500
APC BG500,https://pcpartpicker.com/product/Fhqbt6/apc-ups-bg500,,300,500
APC BGE90M,https://pcpartpicker.com/product/rXH48d/apc-ups-bge90m,,75,125
APC BH500INET,https://pcpartpicker.com/product/nJVBD3/apc-ups-bh500inet,,300,500
APC BH500NET,https://pcpartpicker.com/product/NFdFf7/apc-ups-bh500net,,300,500
APC BK200,https://pcpartpicker.com/product/cPs8TW/apc-ups-bk200,,130,200
APC BK300C,https://pcpartpicker.com/product/MKZ2FT/apc-ups-bk300c,,180,300
APC BK300MI,https://pcpartpicker.com/product/sBPzK8/apc-ups-bk300mi,,180,300
APC BK400,https://pcpartpicker.com/product/dwVBD3/apc-ups-bk400,,250,400
APC BK450,https://pcpartpicker.com/product/PLDzK8/apc-ups-bk450,,300,450
APC BK500EI,https://pcpartpicker.com/product/6d648d/apc-ups-bk500ei,172.99,300,500
APC BK500JP,https://pcpartpicker.com/product/qJVBD3/apc-ups-bk500jp,,300,500
APC BK500MI,https://pcpartpicker.com/product/Xpbkcf/apc-ups-bk500mi,,300,500
APC BK600,https://pcpartpicker.com/product/pJVBD3/apc-ups-bk600,,400,600
APC BN1080G,https://pcpartpicker.com/product/MQVBD3/apc-ups-bn1080g,,650,1080
APC BN700MC,https://pcpartpicker.com/product/DVYWGX/apc-ups-bn700mc,,420,700
APC BR1200GI,https://pcpartpicker.com/product/f4Crxr/apc-ups-br1200gi,,720,1200
APC BR1300G,https://pcpartpicker.com/product/nqkwrH/apc-ups-br1300g,,780,1300
APC BR550GI,https://pcpartpicker.com/product/jQVBD3/apc-ups-br550gi,,330,550
APC BX1000G,https://pcpartpicker.com/product/td648d/apc-ups-bx1000g,,600,1000
APC BX1300G,https://pcpartpicker.com/product/cr7CmG/apc-ups-bx1300g,,780,1300
APC DLT1500I,https://pcpartpicker.com/product/R9Wrxr/apc-ups-dlt1500i,,1000,1500
APC DLT1500RMI2U,https://pcpartpicker.com/product/7FdFf7/apc-ups-dlt1500rmi2u,,1000,1500
APC J10BLK,https://pcpartpicker.com/product/6gL7YJ/apc-ups-j10blk,,600,1000
APC J15BLK,https://pcpartpicker.com/product/j9Wrxr/apc-ups-j15blk,,865,1500
APC SC1000,https://pcpartpicker.com/product/QWX2FT/apc-ups-sc1000,,600,1000
APC SC1000I,https://pcpartpicker.com/product/FD8H99/apc-ups-sc1000i,,600,1000
APC SC1500I,https://pcpartpicker.com/product/Rm8H99/apc-ups-sc1500i,,865,1500
APC SC420,https://pcpartpicker.com/product/7NNypg/apc-ups-sc420,,260,420
APC SC420I,https://pcpartpicker.com/product/VvVBD3/apc-ups-sc420i,,260,420
APC SC450R1X542,https://pcpartpicker.com/product/mM8H99/apc-ups-sc450r1x542,,280,450
APC SC450RM1U,https://pcpartpicker.com/product/8tJkcf/apc-ups-sc450rm1u,,280,450
APC SC450RMI1U,https://pcpartpicker.com/product/xBPzK8/apc-ups-sc450rmi1u,,280,450
APC SC620,https://pcpartpicker.com/product/kQVBD3/apc-ups-sc620,283.99,390,620
APC SC620I,https://pcpartpicker.com/product/rbjWGX/apc-ups-sc620i,,390,620
APC SC620X565,https://pcpartpicker.com/product/zccMnQ/apc-ups-sc620x565,,410,620
APC SMC1000,https://pcpartpicker.com/product/3pbkcf/apc-ups-smc1000,493.95,600,1000
APC SMC1000-2U,https://pcpartpicker.com/product/QbjWGX/apc-ups-smc10002u,,600,1000
APC SMC1000I,https://pcpartpicker.com/product/RPs8TW/apc-ups-smc1000i,,600,1000
APC SMC1000I-2U,https://pcpartpicker.com/product/FNNypg/apc-ups-smc1000i2u,,600,1000
APC SMC1500-2U,https://pcpartpicker.com/product/J7Wrxr/apc-ups-smc15002u,,900,1500
APC SMC1500I-2U,https://pcpartpicker.com/product/9m8H99/apc-ups-smc1500i2u,,900,1500
APC SMT1000I,https://pcpartpicker.com/product/2sJkcf/apc-ups-smt1000i,813.49,670,1000
APC SMT1000RM2U,https://pcpartpicker.com/product/WQVBD3/apc-ups-smt1000rm2u,,700,1000
APC SMT1000RMI2U,https://pcpartpicker.com/product/W7hj4D/apc-ups-smt1000rmi2u,,700,1000
APC SMT1000US,https://pcpartpicker.com/product/2f8H99/apc-ups-smt1000us,,700,1000
APC SMT1500J,https://pcpartpicker.com/product/TTH48d/apc-ups-smt1500j,,980,1500
APC SMT1500R2X180,https://pcpartpicker.com/product/n4Crxr/apc-ups-smt1500r2x180,,1000,1500
APC SMT1500RM1U,https://pcpartpicker.com/product/4QVBD3/apc-ups-smt1500rm1u,926.99,1000,1440
APC SMT1500RMI2U,https://pcpartpicker.com/product/MYrcCJ/apc-ups-smt1500rmi2u,,1000,1500
APC SMT1500RMUS,https://pcpartpicker.com/product/fgL7YJ/apc-ups-smt1500rmus,,1000,1500
APC SMT1500X413,https://pcpartpicker.com/product/y2RFf7/apc-ups-smt1500x413,,980,1500
APC SMT2200R2X106,https://pcpartpicker.com/product/6bjWGX/apc-ups-smt2200r2x106,30323.89,1980,2200
APC SMT2200R2X180,https://pcpartpicker.com/product/WvVBD3/apc-ups-smt2200r2x180,,1980,2200
APC SMT2200RMUS,https://pcpartpicker.com/product/bHNypg/apc-ups-smt2200rmus,40147.71,1980,2200
APC SMT3000R2X180,https://pcpartpicker.com/product/9HNypg/apc-ups-smt3000r2x180,,2700,3000
APC SMT3000RM2U,https://pcpartpicker.com/product/YD8H99/apc-ups-smt3000rm2u,1623.99,2700,3000
APC SMT3000RMT2U,https://pcpartpicker.com/product/xvVBD3/apc-ups-smt3000rmt2u,20799.99,2700,3000
APC SMT750I,https://pcpartpicker.com/product/4LDzK8/apc-ups-smt750i,682.99,500,750
APC SMT750R2-NMC,https://pcpartpicker.com/product/dnH48d/apc-ups-smt750r2nmc,,500,750
APC SMT750US,https://pcpartpicker.com/product/J9Wrxr/apc-ups-smt750us,,500,750
APC SMX1500RM2U,https://pcpartpicker.com/product/qZ8H99/apc-ups-smx1500rm2u,,1200,1500
APC SMX2000LVNC,https://pcpartpicker.com/product/3TH48d/apc-ups-smx2000lvnc,30716,1800,1920
APC SMX3000RMLV2U,https://pcpartpicker.com/product/rFdFf7/apc-ups-smx3000rmlv2u,40488.15,2700,3000
APC SRT5KRMXLT,https://pcpartpicker.com/product/ynnG3C/apc-ups-srt5krmxlt,35480.06,4250,5000
APC SU1000RMI2U,https://pcpartpicker.com/product/bZ8H99/apc-ups-su1000rmi2u,,670,1000
APC SU1400RMXLIB3U,https://pcpartpicker.com/product/jFdFf7/apc-ups-su1400rmxlib3u,,1050,1400
APC SU5000R5TBX120,https://pcpartpicker.com/product/xM8H99/apc-ups-su5000r5tbx120,65280.99,3750,5000
APC SUA1000RMI1U,https://pcpartpicker.com/product/8sJkcf/apc-ups-sua1000rmi1u,,640,1000
APC SUA1500R2X122,https://pcpartpicker.com/product/vQVBD3/apc-ups-sua1500r2x122,,980,1440
APC SUA1500R2X138,https://pcpartpicker.com/product/mhqbt6/apc-ups-sua1500r2x138,,980,1440
APC SUA1500R2X93,https://pcpartpicker.com/product/Pd648d/apc-ups-sua1500r2x93,,980,1440
APC SUA1500RMI2U,https://pcpartpicker.com/product/6Z8H99/apc-ups-sua1500rmi2u,,980,1500
APC SUA1500RMJ2UB,https://pcpartpicker.com/product/LXH48d/apc-ups-sua1500rmj2ub,1072.83,980,1500
APC SUA2200,https://pcpartpicker.com/product/mZ8H99/apc-ups-sua2200,,1980,2200
APC SUA2200R2X147,https://pcpartpicker.com/product/gccMnQ/apc-ups-sua2200r2x147,,1980,2200
APC SUA2200RM2U,https://pcpartpicker.com/product/xqkwrH/apc-ups-sua2200rm2u,,1980,2200
APC SUA2200XLI,https://pcpartpicker.com/product/wsJkcf/apc-ups-sua2200xli,12196.48,1980,2200
APC SUA3000,https://pcpartpicker.com/product/gjcMnQ/apc-ups-sua3000,,2700,3000
APC SUA3000I,https://pcpartpicker.com/product/qM8H99/apc-ups-sua3000i,,2700,3000
APC SUA3000R2IX38,https://pcpartpicker.com/product/t2RFf7/apc-ups-sua3000r2ix38,,2700,3000
APC SUA3000RM2U,https://pcpartpicker.com/product/KD8H99/apc-ups-sua3000rm2u,,2700,3000
APC SUA3000RMI2U,https://pcpartpicker.com/product/KTH48d/apc-ups-sua3000rmi2u,,2700,3000
APC SUA3000XL,https://pcpartpicker.com/product/yNNypg/apc-ups-sua3000xl,,2700,3000
APC SUA3000XL-NETPKG,https://pcpartpicker.com/product/Pr7CmG/apc-ups-sua3000xlnetpkg,,2700,3000
APC SUA3000XLT,https://pcpartpicker.com/product/Jr7CmG/apc-ups-sua3000xlt,,2700,3000
APC SUA5000R5TXFMR,https://pcpartpicker.com/product/Lr648d/apc-ups-sua5000r5txfmr,,4000,5000
APC SUA500PDRI-H,https://pcpartpicker.com/product/rsJkcf/apc-ups-sua500pdrih,,325,500
APC SUA500PDRI-S,https://pcpartpicker.com/product/2GfmP6/apc-ups-sua500pdris,,325,500
APC SUA750IX38,https://pcpartpicker.com/product/gWX2FT/apc-ups-sua750ix38,,500,750
APC SUA750R2IX38,https://pcpartpicker.com/product/hpbkcf/apc-ups-sua750r2ix38,,480,750
APC SUA750R2X338,https://pcpartpicker.com/product/HgL7YJ/apc-ups-sua750r2x338,543,480,750
APC SUA750RMI2U,https://pcpartpicker.com/product/PqkwrH/apc-ups-sua750rmi2u,,480,750
APC SUA750XLI,https://pcpartpicker.com/product/hHNypg/apc-ups-sua750xli,,600,750
APC SUM1500RMXL2U,https://pcpartpicker.com/product/HyfmP6/apc-ups-sum1500rmxl2u,,1425,1440
APC SUM1500RMXLI2U,https://pcpartpicker.com/product/pccMnQ/apc-ups-sum1500rmxli2u,,1425,1500
APC SUM3000RMXL2U,https://pcpartpicker.com/product/tGfmP6/apc-ups-sum3000rmxl2u,41038.88,2850,3000
APC SUOL2000XLI,https://pcpartpicker.com/product/JWX2FT/apc-ups-suol2000xli,4595.27,1400,2000
APC SURT1000RMXLI,https://pcpartpicker.com/product/BnnG3C/apc-ups-surt1000rmxli,1173.49,700,1000
APC SURT1000XLI,https://pcpartpicker.com/product/6tJkcf/apc-ups-surt1000xli,24373.49,700,1000
APC SURT1000XLIM,https://pcpartpicker.com/product/FyfmP6/apc-ups-surt1000xlim,,700,1000
APC SURT2000RMXLI,https://pcpartpicker.com/product/4f8H99/apc-ups-surt2000rmxli,1395.27,1400,2000
APC SURT2000XLI,https://pcpartpicker.com/product/ngL7YJ/apc-ups-surt2000xli,24895.27,1400,2000
APC SURT6000RMXLT3U,https://pcpartpicker.com/product/pwVBD3/apc-ups-surt6000rmxlt3u,,4200,6000
APC SURT6000XLT,https://pcpartpicker.com/product/tf8H99/apc-ups-surt6000xlt,,4200,6000
APC SURTA1000RMXL2U,https://pcpartpicker.com/product/zTH48d/apc-ups-surta1000rmxl2u,,800,1000
APC SURTA1000XL,https://pcpartpicker.com/product/jVYWGX/apc-ups-surta1000xl,,800,1000
APC SURTA1500XL,https://pcpartpicker.com/product/ZTH48d/apc-ups-surta1500xl,,1050,1500
APC SURTA2200RMXL2U,https://pcpartpicker.com/product/qzM323/apc-ups-surta2200rmxl2u,,1750,2200
APC SURTA2200XL,https://pcpartpicker.com/product/K9Wrxr/apc-ups-surta2200xl,,1750,2200
APC SURTA3000RMXL,https://pcpartpicker.com/product/RBbkcf/apc-ups-surta3000rmxl,,2100,3000
APC SURTA3000RMXL3U,https://pcpartpicker.com/product/cnnG3C/apc-ups-surta3000rmxl3u,47429.98,2100,3000
APC SURTD2200XLIM,https://pcpartpicker.com/product/YKZ2FT/apc-ups-surtd2200xlim,2231.31,1540,2200
APC SURTD3000RMXLI,https://pcpartpicker.com/product/MtJkcf/apc-ups-surtd3000rmxli,,2100,3000
APC SURTD3000RMXLT3U,https://pcpartpicker.com/product/s4Crxr/apc-ups-surtd3000rmxlt3u,,2100,3000
APC SURTD3000XLI,https://pcpartpicker.com/product/DgL7YJ/apc-ups-surtd3000xli,,2100,3000
APC SURTD3KRMXL3U-TF5,https://pcpartpicker.com/product/VnH48d/apc-ups-surtd3krmxl3utf5,,2100,3000
APC SURTD5000RMXLI,https://pcpartpicker.com/product/PBPzK8/apc-ups-surtd5000rmxli,,3500,5000
APC SURTD6000RMXLP3U,https://pcpartpicker.com/product/HM8H99/apc-ups-surtd6000rmxlp3u,155575,4200,6000
APC SY12KEXBX120,https://pcpartpicker.com/product/qFdFf7/apc-ups-sy12kexbx120,,8400,12000
Tripp Lite AVR650UM,https://pcpartpicker.com/product/qTH48d/tripp-lite-ups-avr650um,,325,650
Tripp Lite AVR700UXRM,https://pcpartpicker.com/product/36X2FT/tripp-lite-ups-avr700uxrm,,350,700
Tripp Lite AVR750U,https://pcpartpicker.com/product/mYrcCJ/tripp-lite-ups-avr750u,169.99,450,750
Tripp Lite AVR900U,https://pcpartpicker.com/product/YnnG3C/tripp-lite-ups-avr900u,171.99,480,900
Tripp Lite AVR900UTAA,https://pcpartpicker.com/product/N3FXsY/tripp-lite-ups-avr900utaa,,480,900
Tripp Lite AVRX550U,https://pcpartpicker.com/product/Vhqbt6/tripp-lite-ups-avrx550u,,300,550
Tripp Lite AVRX750U,https://pcpartpicker.com/product/GKZ2FT/tripp-lite-ups-avrx750u,286.99,450,750
Tripp Lite BC600SINE,https://pcpartpicker.com/product/c2RFf7/tripp-lite-ups-bc600sine,320.66,375,600
Tripp Lite BCPERS300,https://pcpartpicker.com/product/sqkwrH/tripp-lite-ups-bcpers300,,175,300
Tripp Lite BCPERS450,https://pcpartpicker.com/product/DBPzK8/tripp-lite-ups-bcpers450,,280,450
Tripp Lite BCPERSONAL450,https://pcpartpicker.com/product/yJVBD3/tripp-lite-ups-bcpersonal450,,280,450
Tripp Lite BCPRO1050,https://pcpartpicker.com/product/dsJkcf/tripp-lite-ups-bcpro1050,,705,1050
Tripp Lite BCPRO1400,https://pcpartpicker.com/product/PjcMnQ/tripp-lite-ups-bcpro1400,,940,1400
Tripp Lite BCPRO600,https://pcpartpicker.com/product/JYrcCJ/tripp-lite-ups-bcpro600,,345,600
Tripp Lite BC350,https://pcpartpicker.com/product/CjcMnQ/tripp-lite-ups-bc350,80.99,180,350
Tripp Lite ECO350UPS,https://pcpartpicker.com/product/vpbkcf/tripp-lite-ups-eco350ups,136.99,180,350
Tripp Lite ECO550UPSTAA,https://pcpartpicker.com/product/HwVBD3/tripp-lite-ups-eco550upstaa,,300,550
Tripp Lite ECO650UPSM,https://pcpartpicker.com/product/QXH48d/tripp-lite-ups-eco650upsm,,325,650
Tripp Lite ECO850LCD,https://pcpartpicker.com/product/g2RFf7/tripp-lite-ups-eco850lcd,139.99,425,850
Tripp Lite ECO900UPSM,https://pcpartpicker.com/product/2HNypg/tripp-lite-ups-eco900upsm,,480,900
Tripp Lite HT850UPS,https://pcpartpicker.com/product/KYrcCJ/tripp-lite-ups-ht850ups,,450,750
Tripp Lite HTRL15UPS,https://pcpartpicker.com/product/jtJkcf/tripp-lite-ups-htrl15ups,,900,1500
Tripp Lite INTERNET750U,https://pcpartpicker.com/product/VJVBD3/tripp-lite-ups-internet750u,122.44,450,750
Tripp Lite INTERNETOFFICE500,https://pcpartpicker.com/product/ZsJkcf/tripp-lite-ups-internetoffice500,,280,500
Tripp Lite INTERNETOFFICE700,https://pcpartpicker.com/product/Y4Crxr/tripp-lite-ups-internetoffice700,,425,700
Tripp Lite INTRNT OFFC700R,https://pcpartpicker.com/product/93FXsY/tripp-lite-ups-intrntoffc700r,,425,700
Tripp Lite OMNI500ISO,https://pcpartpicker.com/product/7kTrxr/tripp-lite-ups-omni500iso,895.58,300,500
Tripp Lite OMNI650LCD,https://pcpartpicker.com/product/VsJkcf/tripp-lite-ups-omni650lcd,150.69,350,650
Tripp Lite OMNI700LCD,https://pcpartpicker.com/product/RQVBD3/tripp-lite-ups-omni700lcd,,420,700
Tripp Lite OMNI900LCD,https://pcpartpicker.com/product/YVYWGX/tripp-lite-ups-omni900lcd,171.99,475,900
Tripp Lite OMNISMART1400,https://pcpartpicker.com/product/twVBD3/tripp-lite-ups-omnismart1400,,940,1400
Tripp Lite OMNISMART1400PNP,https://pcpartpicker.com/product/g8KhP6/tripp-lite-ups-omnismart1400pnp,,940,1400
Tripp Lite OMNISMART500,https://pcpartpicker.com/product/RLDzK8/tripp-lite-ups-omnismart500,,300,500
Tripp Lite OMNISMART700,https://pcpartpicker.com/product/m4Crxr/tripp-lite-ups-omnismart700,,425,700
Tripp Lite OMNI SMT300PNP,https://pcpartpicker.com/product/QTH48d/tripp-lite-ups-omnismt300pnp,195,180,300
Tripp Lite OMNIVS1500,https://pcpartpicker.com/product/w9Wrxr/tripp-lite-ups-omnivs1500,,940,1500
Tripp Lite OMNIVS1500XL,https://pcpartpicker.com/product/C3FXsY/tripp-lite-ups-omnivs1500xl,419.53,940,1500
Tripp Lite OMNIVS1500XLTAA,https://pcpartpicker.com/product/fJVBD3/tripp-lite-ups-omnivs1500xltaa,380.86,940,1500
Tripp Lite OMNIVS500U,https://pcpartpicker.com/product/PM8H99/tripp-lite-ups-omnivs500u,,300,500
Tripp Lite OMNIVS800,https://pcpartpicker.com/product/nWX2FT/tripp-lite-ups-omnivs800,219.82,475,800
Tripp Lite OMNIVSINT1000,https://pcpartpicker.com/product/MBPzK8/tripp-lite-ups-omnivsint1000,,500,1000
Tripp Lite OMNIVSINT800,https://pcpartpicker.com/product/szM323/tripp-lite-ups-omnivsint800,264.99,475,800
Tripp Lite OMNIX1500XLTAA,https://pcpartpicker.com/product/Nf8H99/tripp-lite-ups-omnix1500xltaa,,940,1500
Tripp Lite OMNIX350HG,https://pcpartpicker.com/product/4KZ2FT/tripp-lite-ups-omnix350hg,,225,350
Tripp Lite POS500,https://pcpartpicker.com/product/L6X2FT/tripp-lite-ups-pos500,,300,500
Tripp Lite SM1000RM2UTAA,https://pcpartpicker.com/product/GWX2FT/tripp-lite-ups-sm1000rm2utaa,811.01,700,1000
