name,part_url,price,amount
Prolimatech PK-3 Nano Aluminum High-Grade,https://pcpartpicker.com/product/Q6Gkcf/prolimatech-thermal-paste-propk330g,,30
be quiet! DC2,https://pcpartpicker.com/product/vfzXsY/be-quiet-dc2-3-g-thermal-paste-bz004,6.9,3
ID-COOLING Frost X45,https://pcpartpicker.com/product/pJy8TW/id-cooling-frost-x45-4-g-thermal-paste-frost-x45-4g,7.99,4
Cooler Master HTK-002,https://pcpartpicker.com/product/hgvRsY/cooler-master-thermal-paste-htk002u1,,0.01
Gelid Solutions GC-Extreme,https://pcpartpicker.com/product/tgvRsY/gelid-solutions-thermal-paste-gcextreme,8.99,3.5
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/3X9wrH/thermal-grizzly-polartherm-x-10-2-g-thermal-paste-pt-x10-002,5.49,2
ARCTIC MX-5,https://pcpartpicker.com/product/6skWGX/arctic-mx-5-4-g-thermal-paste-actcp00053a,,4
KINGPINcooling KPx,https://pcpartpicker.com/product/tRYRsY/kingpincooling-kpx-10-g-thermal-paste-kpx-10g-002,30.14,10
ARCTIC MX-4,https://pcpartpicker.com/product/gBbCmG/arctic-mx-4-20-g-thermal-paste-actcp00001b,13.99,20
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/R8RwrH/thermal-grizzly-polartherm-x-10-5-g-thermal-paste-pt-x10-005,10.99,5
Zalman STC9,https://pcpartpicker.com/product/JfzXsY/zalman-stc9-4-g-thermal-paste-zm-stc9,,4
Thermal Hero ULTRA with paste gun,https://pcpartpicker.com/product/yfVfrH/thermal-hero-ultra-with-paste-gun-50-g-thermal-paste-th-301350g-us,86.01,50
ARCTIC MX-4 (2019),https://pcpartpicker.com/product/YbfFf7/arctic-mx-4-2019-8-g-thermal-paste-actcp00008b,7.99,8
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/Q9qrxr/thermal-grizzly-polartherm-x-8-10-g-thermal-paste-pt-x8-010,7.99,10
Cooler Master IC ESSENTIAL E2,https://pcpartpicker.com/product/TLFbt6/cooler-master-ic-essential-e2-35-g-thermal-paste-rg-ice2-ta15-r1,,3.5
Cooler Master CryoFuze,https://pcpartpicker.com/product/Kkstt6/cooler-master-cryofuze-2-g-thermal-paste-mgz-ndsg-n07m-r2,7.99,2
be quiet! C2 Pro,https://pcpartpicker.com/product/Xb9wrH/be-quiet-c2-pro-1-g-thermal-paste-bz005,14.9,1
Prolimatech PK-Zero,https://pcpartpicker.com/product/RL2rxr/prolimatech-thermal-paste-propkzero300g,137.52,300
Prolimatech PK-3 Nano Aluminum High-Grade,https://pcpartpicker.com/product/h3Lypg/prolimatech-thermal-paste-propk315g,8.99,1.5
StarTech Metal Oxide,https://pcpartpicker.com/product/nL8Zxr/startech-thermal-paste-silvgrease1,9.99,1.5
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/Fh6NnQ/thermal-grizzly-polartherm-x-8-40-g-thermal-paste-pt-x8-040,19.98,40
Thermalright TF4,https://pcpartpicker.com/product/G3WJ7P/thermalright-tf4-15-g-thermal-paste-tf4-15g,,1.5
Thermal Hero QUANTUM,https://pcpartpicker.com/product/vVfV3C/thermal-hero-quantum-4-g-thermal-paste-th-501704-us,28.99,4
ARCTIC MX-4 (2019),https://pcpartpicker.com/product/khQcCJ/arctic-mx-4-2019-2-g-thermal-paste-actcp00007b,,2
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/7BfxFT/thermal-grizzly-polartherm-x-10-40-g-thermal-paste-pt-x10-040,28.99,40
Xilence ZUB-XPTP,https://pcpartpicker.com/product/cX6NnQ/xilence-zub-xptp-15-g-thermal-paste-xz018,11.15,1.5
Thermaltake TG-30,https://pcpartpicker.com/product/ZjmFf7/thermaltake-tg-30-4-g-thermal-paste-cl-o023-grosgm-a,8.99,4
StarTech HeatGrease,https://pcpartpicker.com/product/LPw323/startech-thermal-paste-heatgrease20,5.78,20
Sunbeam Iceberg TS-IB,https://pcpartpicker.com/product/W2h9TW/sunbeam-thermal-paste-tsib,,1
Deepcool Z5,https://pcpartpicker.com/product/tBQypg/deepcool-thermal-paste-z5,,3
Thermaltake CL-O002-GROSGM-A,https://pcpartpicker.com/product/J8W9TW/thermaltake-thermal-paste-clo002grosgma,16.99,40
Thermaltake CL-O004-GROSGM-A,https://pcpartpicker.com/product/8KX2FT/thermaltake-cl-o004-grosgm-a-4g-thermal-paste-cl-o004-grosgm-a,8.64,4
Thermal Hero NEO with paste gun,https://pcpartpicker.com/product/wVfV3C/thermal-hero-neo-with-paste-gun-50-g-thermal-paste-th-201250g-us,50.69,50
