name,part_url,price,type,interface,capacity,price_per_gb,color
Crucial X10,https://pcpartpicker.com/product/LLdMnQ/crucial-x10-8-tb-external-ssd-ct8-000x10ssd9,890.99,Portable,USB Type-C 3.2 Gen 2x2,8000,0.111,Blue
Apricorn Aegis Padlock DT,https://pcpartpicker.com/product/J2GhP6/apricorn-aegis-padlock-dt-12-tb-external-hard-drive-adt-3pl256-12tb,852.53,Desktop,USB Type-A 3.2 Gen 1,12000,0.071,Black
Apricorn Padlock DT FIPS,https://pcpartpicker.com/product/vgxRsY/apricorn-padlock-dt-fips-18-tb-external-hard-drive-adt3pl256f18tb,960.29,Desktop,USB Type-A 3.2 Gen 1,18000,0.053,Black
Apricorn Aegis Padlock,https://pcpartpicker.com/product/3LkwrH/apricom-external-hard-drive-a253pl256s128,535,Portable,USB Type-A 3.2 Gen 1,128,4.18,
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/dky8TW/seagate-expansion-amer-22-tb-external-hard-drive-stkp22000400,372.99,Desktop,USB Type-A 3.2 Gen 1,22000,0.017,
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/Pf2WGX/sandisk-extreme-portable-v2-2-tb-external-ssd-sdssde61-2t00-g25,362.99,Portable,USB Type-C 3.2 Gen 1,2000,0.181,Black / Orange
Corsair EX400U SURVIVOR,https://pcpartpicker.com/product/G39nTW/corsair-ex400u-survivor-2-tb-external-ssd-cssd-ex400us2tb,336.99,Portable,USB Type-C 4.0 Gen 3x2,2000,0.168,Black
Seagate Portable Drive,https://pcpartpicker.com/product/Z2bypg/seagate-portable-drive-4-tb-external-hard-drive-stgx4000400,129.97,Portable,USB Type-A 3.2 Gen 1,4000,0.032,Black
Corsair EX400U,https://pcpartpicker.com/product/Mhtkcf/corsair-ex400u-4-tb-external-ssd-cssd-ex400u4tb,459.99,Portable,USB Type-C 4.0 Gen 3x2,4000,0.115,Black
Seagate Expansion,https://pcpartpicker.com/product/4zQRsY/seagate-expansion-8tb-external-hard-drive-steb8000100,254,Desktop,USB Type-A 3.2 Gen 1,8000,0.032,
Western Digital ELEMENTS,https://pcpartpicker.com/product/Vy9tt6/western-digital-elements-14-tb-external-hard-drive-wdbwlg0140hbk-nesn,372.99,Desktop,USB Type-A 3.2 Gen 2,14000,0.027,Black
Western Digital ELEMENTS,https://pcpartpicker.com/product/hy9nTW/western-digital-elements-16-tb-external-hard-drive-wdbwlg0160hbk-nesn,329.99,Desktop,USB Type-A 3.2 Gen 1,16000,0.021,Black
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/JwC48d/sandisk-extreme-portable-v2-4-tb-external-ssd-sdssde61-4t00-g25,450.99,Portable,USB Type-C 3.2 Gen 1,4000,0.113,Black / Orange
Samsung T7 Portable,https://pcpartpicker.com/product/m8BhP6/samsung-t7-portable-2-tb-external-ssd-mu-pc2t0tam,259.99,Portable,USB Type-C 3.2 Gen 1,2000,0.13,Black / Silver
Seagate Portable Drive,https://pcpartpicker.com/product/YWBFf7/seagate-portable-drive-5-tb-external-hard-drive-stgx5000400,149,Portable,USB Type-A 3.2 Gen 1,5000,0.03,Black
Western Digital My Book,https://pcpartpicker.com/product/GJyV3C/western-digital-my-book-8tb-external-hard-drive-wdbbgb0080hbk-nesn,273.98,Desktop,USB Type-A 3.2 Gen 1,8000,0.034,Black
Apricorn NVX,https://pcpartpicker.com/product/7gyH99/apricorn-nvx-2-tb-external-ssd-anvx-2tb,639.79,Portable,USB Type-C 3.2 Gen 2,2000,0.32,Black
Western Digital My Passport,https://pcpartpicker.com/product/ksyqqs/western-digital-2-tb-external-hard-drive-wdbyvg0020bbk-wesn,105.99,Portable,USB Type-A 3.2 Gen 1,2000,0.053,Black
Seagate Backup Plus Portable,https://pcpartpicker.com/product/fQF48d/seagate-backup-plus-portable-4-tb-external-hard-drive-sthp4000400,149.99,Portable,USB Type-A 3.2 Gen 1,4000,0.037,Black
Samsung T5,https://pcpartpicker.com/product/KbgzK8/samsung-t5-1-tb-external-ssd-mu-pa1t0bam,,Portable,USB Type-C 3.2 Gen 1,1000,,
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/dqwypg/sandisk-extreme-portable-v2-1-tb-external-ssd-sdssde61-1t00-g25,182.99,Portable,USB Type-C 3.2 Gen 1,1000,0.183,Black / Orange
Samsung T9 Portable,https://pcpartpicker.com/product/trtLrH/samsung-t9-portable-2-tb-external-ssd-mu-pg2t0bam,341.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.171,Black
Western Digital My Passport,https://pcpartpicker.com/product/Y7kgXL/western-digital-5-tb-external-hard-drive-wdbpkj0050bwt-wesn,167.99,Portable,USB Type-A 3.2 Gen 1,5000,0.034,White
Western Digital My Book,https://pcpartpicker.com/product/Nz66Mp/western-digital-my-book-4tb-external-hard-drive-wdbbgb0040hbk-nesn,149.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.037,Black
Seagate One Touch,https://pcpartpicker.com/product/frddnQ/seagate-one-touch-18-tb-external-hard-drive-stlc18000400,,Desktop,USB Type-A 3.2 Gen 1,18000,,Black
Crucial X9,https://pcpartpicker.com/product/LmJp99/crucial-x9-1-tb-external-ssd-ct1000x9ssd9,123.99,Portable,USB Type-C 3.2 Gen 2,1000,0.124,Black
Western Digital Elements Portable,https://pcpartpicker.com/product/fGnypg/western-digital-elements-portable-5-tb-external-hard-drive-wdbu6y0050bbk-wesn,165.68,Portable,USB Type-A 3.2 Gen 1,5000,0.033,Black
Western Digital My Book Duo,https://pcpartpicker.com/product/3RK2FT/western-digital-my-book-duo-20-tb-external-hard-drive-wdbfbe0200jbk-nesn,664.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000,0.033,Black
Western Digital My Book,https://pcpartpicker.com/product/mvYQzy/western-digital-my-book-14-tb-external-hard-drive-wdbbgb0140hbk-nesn,319.99,Desktop,USB Type-A 3.2 Gen 2,14000,0.023,Black
Western Digital WD_BLACK P10,https://pcpartpicker.com/product/sC848d/western-digital-wd_black-p10-2-tb-external-hard-drive-wdba2w0020bbk-wesn,,Portable,USB Type-A 3.2 Gen 1,2000,,Black
Western Digital ELEMENTS,https://pcpartpicker.com/product/2FPgXL/western-digital-10-tb-external-hard-drive-wdbwlg0100hbk-nesn,271.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.027,Black
Crucial X10 Pro,https://pcpartpicker.com/product/v4YRsY/crucial-x10-pro-4-tb-external-ssd-ct4000x10prossd902,414.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.104,Black
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/Fyrqqs/apricorn-aegis-fortress-l3-16-tb-external-ssd-afl3-s16tb,123299,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000,7.706,Black
Samsung T5 EVO Portable,https://pcpartpicker.com/product/WwpQzy/samsung-t5-evo-portable-4-tb-external-ssd-mu-ph4t0sam,334,Portable,USB Type-C 3.2 Gen 1,4000,0.083,Black
Kingston XS2000,https://pcpartpicker.com/product/wBGhP6/kingston-xs2000-500-gb-external-ssd-sxs2000500g,94.99,Portable,USB Type-C 3.2 Gen 2x2,500,0.19,Silver
Seagate Backup Plus Portable,https://pcpartpicker.com/product/nxyV3C/seagate-backup-plus-portable-5-tb-external-ssd-sthp5000400,125,Portable,USB Type-A 3.2 Gen 1,5000,0.025,Black
Western Digital WD_BLACK D10,https://pcpartpicker.com/product/BJ7G3C/western-digital-wd_black-d10-12-tb-external-hard-drive-wdba5e0120hbk-nesn,358.99,Desktop,USB Type-A 3.2 Gen 2,12000,0.03,Black
Samsung T5 EVO Portable,https://pcpartpicker.com/product/6xNYcf/samsung-t5-evo-portable-2-tb-external-ssd-mu-ph2t0sam,312.99,Portable,USB Type-C 3.2 Gen 1,2000,0.156,Black
Western Digital Elements Portable,https://pcpartpicker.com/product/yzQG3C/western-digital-elements-portable-4-tb-external-hard-drive-wdbu6y0040bbk-wesn,146.4,Portable,USB Type-A 3.2 Gen 1,4000,0.037,Black
Western Digital My Book Duo,https://pcpartpicker.com/product/9KXYcf/western-digital-my-book-duo-28-tb-external-hard-drive-wdbfbe0280jbk-nesn,794.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",28000,0.028,Black
Sabrent Rocket XTRM-Q,https://pcpartpicker.com/product/jZBG3C/sabrent-rocket-xtrm-q-16-tb-external-ssd-sb-dxmq-8x2,,Desktop,USB Type-C 3.2 Gen 2,16000,,
Apricorn Aegis Fortress,https://pcpartpicker.com/product/xCP8TW/apricorn-aegis-fortress-4-tb-external-ssd-a25-3pl256-s4000f,35769,Portable,USB Type-A 3.2 Gen 1,4000,8.942,Black
Western Digital WD_BLACK P50,https://pcpartpicker.com/product/GZjNnQ/western-digital-wd_black-p50-1-tb-external-ssd-wdba3s0010bbk-wesn,325.89,Portable,USB Type-C 3.2 Gen 1,1000,0.326,Black / Silver
Toshiba Canvio Basics,https://pcpartpicker.com/product/3wzZxr/toshiba-external-hard-drive-hdtb310xk3aa,,Portable,USB Type-A 3.2 Gen 1,1000,,
Samsung T7 Shield,https://pcpartpicker.com/product/RvrRsY/samsung-t7-shield-1-tb-external-ssd-mu-pe1t0sam,202.99,Portable,USB Type-C 3.2 Gen 2,1000,0.203,Black
Kingston XS2000,https://pcpartpicker.com/product/CxRwrH/kingston-xs2000-2-tb-external-ssd-sxs20002000g,293.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.147,Silver
Western Digital My Passport Ultra Portable,https://pcpartpicker.com/product/Jcbkcf/western-digital-external-hard-drive-wdbbkd0020bbknesn,149.99,Portable,USB Type-A 3.2 Gen 1,2000,0.075,
Asus ROG Strix Arion S500,https://pcpartpicker.com/product/bq7MnQ/asus-rog-strix-arion-s500-500-gb-external-ssd-90dd02i0-m09000,,Portable,USB Type-C 3.2 Gen 2,500,,Black
Seagate Backup Plus Hub,https://pcpartpicker.com/product/G3rcCJ/seagate-backup-plus-hub-8-tb-external-hard-drive-stel8000100,,Desktop,USB Type-A 3.2 Gen 2,8000,,
Kingston XS2000,https://pcpartpicker.com/product/G6H7YJ/kingston-xs2000-4-tb-external-ssd-sxs20004000g,556.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.139,Silver
LaCie Rugged Mini,https://pcpartpicker.com/product/9Q8bt6/lacie-rugged-mini-2-tb-external-hard-drive-lac9000298,122.99,Portable,USB Type-A 3.2 Gen 1,2000,0.061,Orange / Silver
Western Digital My Book,https://pcpartpicker.com/product/LcHRsY/western-digital-my-book-6tb-external-hard-drive-wdbbgb0060hbk-nesn,169.99,Desktop,USB Type-A 3.2 Gen 1,6000,0.028,Black
