name,part_url,channels,digital_audio,sample_rate,chipset,interface,manufacturer,part_number
StarTech PCISOUND4LP,https://pcpartpicker.com/product/rX8Zxr/startech-sound-card-pcisound4lp,4.0,16.0,48.0,C-Media CMI8738,PCI,StarTech,PCISOUND4LP
Creative Labs 70SB157000000,https://pcpartpicker.com/product/Tz2kcf/creative-labs-sound-card-70sb157000000,5.1,,,,PCIe x1,Creative Labs,70SB157000000
Creative Labs Sound Blaster X-Fi Xtreme Audio,https://pcpartpicker.com/product/fjTmP6/creative-labs-sound-card-sb1042vp,7.1,24.0,96.0,,PCIe x1,Creative Labs,SB1042VP
HT Omega eClaro,https://pcpartpicker.com/product/7Hckcf/ht-omega-sound-card-eclaro,7.1,24.0,192.0,C-Media CMI8788,PCIe x1,HT Omega,eClaro
Asus Xonar DSX,https://pcpartpicker.com/product/NjTmP6/asus-sound-card-xonardsx,7.1,24.0,192.0,ASUS AV66,PCIe x1,Asus,Xonar DSX
Creative Labs Sound Blaster Audigy2 ZS,https://pcpartpicker.com/product/sbsmP6/creative-labs-sound-blaster-audigy2-zs-24-bit-192-khz-sound-card-sb0350,5.1,24.0,192.0,Audigy2,PCI,Creative Labs,SB0350
Creative Labs Sound Blaster Audigy SE,https://pcpartpicker.com/product/cPCwrH/creative-labs-sound-blaster-audigy-se-24-bit-96-khz-sound-card-70sb057000001,7.1,24.0,96.0,Audigy SE,PCI,Creative Labs,70SB057000001
Creative Labs Recon3D PCIe,https://pcpartpicker.com/product/mvrG3C/creative-labs-sound-card-70sb135000000,5.1,24.0,96.0,Sound Core3D,PCIe x1,Creative Labs,70SB135000000|SB-RECON3D-PCIE
Creative Labs 70SB135A00002,https://pcpartpicker.com/product/hZ6BD3/creative-labs-sound-card-70sb135a00002,5.1,24.0,96.0,Sound Core3D,PCIe x1,Creative Labs,70SB135A00002
SIIG IC-510111-S2,https://pcpartpicker.com/product/ZDYXsY/siig-sound-card-ic510111s2,5.1,24.0,96.0,VIA VT1723,PCIe x1,SIIG,IC-510111-S2
PowerColor DEVIL HDX 7.1,https://pcpartpicker.com/product/jP38TW/powercolor-devil-hdx-71-192-khz-sound-card-scm888-dhdx,7.1,,192.0,,PCIe x1,PowerColor,SCM888-DHDX
Creative Labs Sound Blaster Audigy Rx OEM,https://pcpartpicker.com/product/bYH48d/creative-labs-sound-blaster-audigy-rx-oem-24-bit-192-khz-sound-card-30sb155000001,7.1,24.0,192.0,Creative E-MU,PCIe x1,Creative Labs,30SB155000001
Creative Labs Sound Blaster X-Fi,https://pcpartpicker.com/product/Dnyqqs/creative-labs-sound-blaster-x-fi-24-bit-192-khz-sound-card-sb0670,7.1,24.0,192.0,,PCI,Creative Labs,SB0670
Asus Xonar DG,https://pcpartpicker.com/product/HLGkcf/asus-sound-card-xonardg,5.1,24.0,96.0,C-Media CMI8786,PCI,Asus,XONAR_DG|90-YAA0K0-0UAN0BZ
Diamond XtremeSound XS71,https://pcpartpicker.com/product/tqtCmG/diamond-sound-card-xs71,7.1,16.0,96.0,,PCI,Diamond,XS71
Rosewill RC-703,https://pcpartpicker.com/product/fWg323/rosewill-sound-card-rc703,7.1,,44.1,,PCIe x1,Rosewill,RC-703
HT Omega FENIX,https://pcpartpicker.com/product/crx9TW/ht-omega-sound-card-fenix,7.1,24.0,192.0,,PCIe x1,HT Omega,FENIX
SIIG DP SoundWave,https://pcpartpicker.com/product/vfH48d/siig-dp-soundwave-sound-card-ic-510211-s1,5.1,24.0,,,PCIe x1,SIIG,IC-510211-S1
Creative Labs SB X-Fi Xtreme Audio,https://pcpartpicker.com/product/Kb3RsY/creative-labs-sound-card-70sb104000000,7.1,24.0,96.0,,PCIe x1,Creative Labs,70SB104000000
