name,part_url,type,efficiency,wattage,modular,color,manufacturer,part_number,length,atx_4_pin_connectors,eps_8_pin_connectors,pcie_16_pin_12vhpwr_12v_2x6_connectors,pcie_12_pin_connectors,pcie_8_pin_connectors,pcie_6_2_pin_connectors,pcie_6_pin_connectors,sata_connectors,amp_molex_4_pin_connectors
Asus ROG STRIX 1200P Gaming,https://pcpartpicker.com/product/qrDnTW/asus-rog-strix-1200p-gaming-1200-w-80-platinum-certified-fully-modular-atx-power-supply-rog-strix-1200p-gaming,ATX,platinum,1200,Full,Black / Silver,Asus,rog-strix-1200p-gaming|90YE00W0-B0NA00,160.0,0,2,1,0,0,4,0,6,3
Corsair SF850 (2024),https://pcpartpicker.com/product/ZsTZxr/corsair-sf850-2024-850-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020256,SFX,platinum,850,Full,Black,Corsair,CP-9020256|CP-9020256-NA|CP-9020256-AU|CP-9020256-UK|CP-9020256-EU,100.0,0,2,1,0,0,3,0,8,3
Cooler Master MWE GOLD 750 V2 FULL MODULAR,https://pcpartpicker.com/product/sscG3C/cooler-master-mwe-gold-v2-750-w-80-gold-certified-fully-modular-atx-power-supply-mpe-7501-afaag-us,ATX,gold,750,Full,Black,Cooler Master,MPE-7501-AFAAG-US|MPE-7501-AFAAG-UK|MPE-7501-AFAAG-EU|MPE-7501-AFAAG-ST|MPE-7501-AFAAG-AU|MPE-7501-AFAAG-BR|MPE-7501-AFAAG-KR|MPE-7501-AFAAG-TW|MPE-7501-AFAAG-JP|MPE-7501-AFAAG-IN,160.0,0,2,0,0,0,4,0,12,4
be quiet! Pure Power 13 M,https://pcpartpicker.com/product/PJpD4D/be-quiet-pure-power-13-m-1000-w-80-gold-certified-fully-modular-atx-power-supply-bp028us,ATX,gold,1000,Full,Black,be quiet!,BP028US|BP028UK|BP028U2|BP028EU|BP028AU,160.0,0,2,1,0,0,4,0,6,2
Super Flower Leadex Titanium,https://pcpartpicker.com/product/YNBFf7/super-flower-leadex-titanium-2800-w-80-titanium-certified-fully-modular-atx-power-supply-sf-2800f14hp,ATX,titanium,2800,Full,Black,Super Flower,SF-2800F14HP|SF-2800F14HP ATX3.1,200.0,0,2,4,0,0,6,0,16,4
MSI MAG A650GLS PCIE5,https://pcpartpicker.com/product/DsgZxr/msi-mag-a650gls-pcie5-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gls-pcie5,ATX,gold,650,Full,Black,MSI,MAG A650GLS PCIE5,150.0,0,2,1,0,0,2,0,5,2
Corsair RM1000e (2025),https://pcpartpicker.com/product/9K2j4D/corsair-rm1000e-2025-1000-w-fully-modular-atx-power-supply-cp-9020294-na,ATX,,1000,Full,White,Corsair,CP-9020294-NA|CP-9020294-AU|CP-9020294-UK|CP-9020294-EU,140.0,0,2,1,0,0,4,0,6,2
be quiet! Pure Power 13 M,https://pcpartpicker.com/product/yWJBD3/be-quiet-pure-power-13-m-750-w-80-gold-certified-fully-modular-atx-power-supply-bp026us,ATX,gold,750,Full,Black,be quiet!,BP026US|BP026AU|BP026U2|BP026UK|BP026EU,160.0,0,2,1,0,0,4,0,6,2
SeaSonic PRIME PX-2200 ATX 3 (2024),https://pcpartpicker.com/product/kqxxFT/seasonic-prime-px-2200-atx-3-2024-2200-w-80-platinum-certified-fully-modular-atx-power-supply-atx3-prime-px-2200,ATX,platinum,2200,Full,Black,SeaSonic,atx3-prime-px-2200|PRIME-PX-2200-ATX30,210.0,0,3,2,0,0,4,0,18,3
Corsair CX650M (2021),https://pcpartpicker.com/product/x96p99/corsair-cx650m-2021-650-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020221-na,ATX,bronze,650,Semi,Black,Corsair,CP-9020221-NA|CP-9020221-UK|CP-9020221-EU|CP-9020221-AU,140.0,0,2,0,0,0,2,0,6,4
be quiet! Pure Power 13 M,https://pcpartpicker.com/product/dbRnTW/be-quiet-pure-power-13-m-850-w-80-gold-certified-fully-modular-atx-power-supply-bp027us,ATX,gold,850,Full,Black,be quiet!,BP027US|BP027U2|BP027AU|BP027EU|BP027UK,160.0,0,2,1,0,0,4,0,6,2
MSI MPG A850GS PCIE5,https://pcpartpicker.com/product/rGqNnQ/msi-mpg-a850gs-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a850gs-pcie5,ATX,gold,850,Full,Black,MSI,MPG A850GS PCIE5|306-7ZPFZ11-CE0,150.0,0,2,1,0,0,3,0,8,4
Corsair RM850x (2021),https://pcpartpicker.com/product/26rRsY/corsair-rm850x-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na,ATX,gold,850,Full,Black,Corsair,CP-9020200-NA|CP-9020200-UK|CP-9020200-EU|CP-9020200-AU,160.0,0,3,0,0,0,4,0,14,4
Thermaltake Toughpower GX2,https://pcpartpicker.com/product/pG6qqs/thermaltake-toughpower-gx2-600-w-80-gold-certified-atx-power-supply-ps-tpd-0600nnfagu-2,ATX,gold,600,false,Black,Thermaltake,PS-TPD-0600NNFAGU-2,140.0,0,1,0,0,0,2,0,6,3
Thermaltake Smart,https://pcpartpicker.com/product/6RTrxr/thermaltake-smart-600-w-80-certified-atx-power-supply-ps-spd-0600npcwus-w,ATX,plus,600,false,,Thermaltake,PS-SPD-0600NPCWUS-W,140.0,0,1,0,0,0,2,0,6,3
Corsair HX1200i (2025),https://pcpartpicker.com/product/ghjv6h/corsair-hx1200i-2025-1200-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020307-na,ATX,platinum,1200,Full,Black,Corsair,CP-9020307-NA|CP-9020307-AU|CP-9020307-WW|CP-9020307-UK|CP-9020307|CP-9020307-EU,200.0,0,2,2,0,0,5,0,8,6
Lian Li EDGE,https://pcpartpicker.com/product/WX4Zxr/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000-white,ATX,platinum,1000,Full,White,Lian Li,EG1000 White|G9P.EG1000.WE00|EG1000WE.US|G9P.EG1000.WE00.EU|EG1000.WE|EG1000W,182.0,0,2,1,0,0,4,0,12,4
MSI MAG A750BN PCIE5,https://pcpartpicker.com/product/bpvD4D/msi-mag-a750bn-pcie5-750-w-80-bronze-certified-atx-power-supply-mag-a750bn-pcie5,ATX,bronze,750,false,Black,MSI,MAG A750BN PCIE5|306-7ZP2C11-CE0,140.0,0,2,1,0,0,2,0,5,2
Apevia CAPTAIN,https://pcpartpicker.com/product/rqmmP6/apevia-captain-550-w-atx-power-supply-captain550,ATX,,550,false,Black,Apevia,CAPTAIN550,140.0,0,1,0,0,0,1,0,3,3
Lian Li EDGE,https://pcpartpicker.com/product/ZCHqqs/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000,ATX,platinum,1000,Full,Black,Lian Li,EG1000|EG1000 Black|G9P.EG1000.BE00.EU|G9P.EG1000.BE00|EG1000.BE|EG1000B|EG1000BE.US,182.0,0,2,1,0,0,4,0,12,4
MSI MAG A650GL,https://pcpartpicker.com/product/xfV2FT/msi-mag-a650gl-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gl,ATX,gold,650,Full,Black,MSI,MAG A650GL|306-7ZP8C11-CE0,140.0,0,2,0,0,0,4,0,6,4
Corsair RM850e (2025),https://pcpartpicker.com/product/K4ZWGX/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020293-na,ATX,,850,Full,White,Corsair,CP-9020293-NA|CP-9020293-EU|CP-9020293-UK|CP-9020293-AU,140.0,0,2,1,0,0,3,0,6,2
Corsair RM750e (2025),https://pcpartpicker.com/product/q3Nscf/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020292-na,ATX,,750,Full,White,Corsair,CP-9020292-NA|CP-9020292-UK|CP-9020292-EU|CP-9020292-AU,140.0,0,2,1,0,0,3,0,6,2
Apevia Galaxy,https://pcpartpicker.com/product/cN26Mp/apevia-galaxy-650-w-80-gold-certified-semi-modular-atx-power-supply-atx-gx650w,ATX,gold,650,Semi,Black,Apevia,ATX-GX650W,160.0,0,2,0,0,0,4,0,4,4
Corsair HX1500i (2025),https://pcpartpicker.com/product/q98Pxr/corsair-hx1500i-2025-1500-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020309-na,ATX,platinum,1500,Full,Black,Corsair,CP-9020309-NA|CP-9020309-AU|CP-9020309-UK|CP-9020309-WW|CP-9020309-EU|CP-9020309,200.0,0,2,2,0,0,5,0,8,6
Montech CENTURY II,https://pcpartpicker.com/product/yJkqqs/montech-century-ii-1050-w-80-gold-certified-fully-modular-atx-power-supply-century-ii-1050w,ATX,gold,1050,Full,Black,Montech,CENTURY II 1050W,140.0,0,2,1,0,0,6,0,12,4
Cooler Master V850 SFX GOLD,https://pcpartpicker.com/product/Q36qqs/cooler-master-v850-sfx-gold-850-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-8501-sfhagv-us,SFX,gold,850,Full,Black,Cooler Master,MPY-8501-SFHAGV-US|MPY-8501-SFHAGV-UK|MPY-8501-SFHAGV-EU|MPY-8501-SFHAGV-AU|MPY-8501-SFHAGV-IN,100.0,0,2,0,0,0,4,0,8,4
Corsair CX (2023),https://pcpartpicker.com/product/f2fxFT/corsair-cx-2023-550-w-80-bronze-certified-atx-power-supply-cp-9020277-na,ATX,bronze,550,false,Black,Corsair,CP-9020277-NA|CP-9020277-WW|CP-9020277-EU|CP-9020277-AU|CP-9020277-UK,125.0,0,1,0,0,0,2,0,3,2
SeaSonic Focus GX V4 ATX 3 (2024),https://pcpartpicker.com/product/TQ88TW/seasonic-focus-gx-atx-30-v4-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-850-v4,ATX,gold,850,Full,Black,SeaSonic,FOCUS-GX-850-V4|Focus V4 GX-850,140.0,0,2,1,0,0,3,0,8,3
be quiet! Dark Power 13,https://pcpartpicker.com/product/Yqqrxr/be-quiet-dark-power-13-1000-w-80-titanium-certified-fully-modular-atx-power-supply-bn661,ATX,titanium,1000,Full,Black,be quiet!,BN661|BN705|BN702|BN335,175.0,0,2,1,0,0,4,0,13,3
