name,part_url,rpm,color,size,manufacturer,part_number,height,supported_sockets,water_cooled_size,is_water_cooled
Enermax Liqtech II 280,https://pcpartpicker.com/product/nHCD4D/enermax-liqtech-ii-280-8071-cfm-liquid-cpu-cooler-elc-ltto280-tbp,"500,1500",Black,280.0,Enermax,ELC-LTTO280-TBP,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,280.0,True
Rosewill PB120-RGB,https://pcpartpicker.com/product/VWbCmG/rosewill-pb120-rgb-412-cfm-liquid-cpu-cooler-pb120-rgb,"800,1800",Black,120.0,Rosewill,PB120-RGB,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,120.0,True
Silverstone Tundra SST-TD02-LITE-V2,https://pcpartpicker.com/product/ZJkj4D/silverstone-tundra-sst-td02-lite-v2-925-cfm-liquid-cpu-cooler-sst-td02-lite-v2,"1500,2500",Black / White,240.0,Silverstone,SST-TD02-LITE-V2,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,240.0,True
Phanteks PH-TC12LS_RGB,https://pcpartpicker.com/product/mbbwrH/phanteks-ph-tc12ls_rgb-533-cfm-cpu-cooler-ph-tc12ls_rgb,,Black / White,,Phanteks,PH-TC12LS_RGB,74.0,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
Cooler Master GeminII M5 LED,https://pcpartpicker.com/product/K9ZFf7/cooler-master-geminii-m5-led-5043-cfm-cpu-cooler-geminii-m5-led,"500,1600",Black / Silver,,Cooler Master,GeminII M5 LED,62.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
ID-COOLING IS-50X,https://pcpartpicker.com/product/CNvqqs/id-cooling-is-50x-536-cfm-cpu-cooler-is-50x,"600,1600",Black,,ID-COOLING,IS-50X,57.0,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200,,False
upHere CCF150CF,https://pcpartpicker.com/product/Xrwkcf/uphere-ccf150cf-497-cfm-cpu-cooler-ccf150cf-usa,"600,1800",Black,,upHere,CCF150CF-USA,154.0,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
upHere CCF150RD,https://pcpartpicker.com/product/hcyqqs/uphere-ccf150rd-497-cfm-cpu-cooler-ccf150rd-usa,"600,1800",Black,,upHere,CCF150RD-USA,154.0,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
upHere CCF150BE,https://pcpartpicker.com/product/HMyqqs/uphere-ccf150be-497-cfm-cpu-cooler-ccf150be-usa,"600,1800",Black,,upHere,CCF150BE-USA,154.0,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
upHere AC12BE,https://pcpartpicker.com/product/FDmFf7/uphere-ac12be-cpu-cooler-ac12be,"600,1750",Black,,upHere,ac12be,154.0,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
upHere CC1201 Red,https://pcpartpicker.com/product/PfDkcf/uphere-cc1201-red-497-cfm-liquid-cpu-cooler-newcc1201-usa,"600,1700",Black / White,120.0,upHere,newCC1201-usa,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,120.0,True
Dynatron K987,https://pcpartpicker.com/product/qQW9TW/dynatron-k987-cpu-cooler-k987,"1200,2800",Black / Silver,,Dynatron,K987,73.0,LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
Alpenföhn Brocken 3,https://pcpartpicker.com/product/kvCFf7/alpenfohn-brocken-3-6062-cfm-cpu-cooler-84000000155,"400,1050",White,,Alpenföhn,84000000155,165.0,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
ID-COOLING SE-207,https://pcpartpicker.com/product/6yTzK8/id-cooling-se-207-745-cfm-cpu-cooler-se-207,"700,1800",Black / White,,ID-COOLING,SE-207,159.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
Reeven Justice II,https://pcpartpicker.com/product/FFrYcf/reeven-justice-ii-5093-cfm-cpu-cooler-rc-1207,"300,1200",Black / Silver,,Reeven,RC-1207,155.0,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
RAIJINTEK Orcus 120,https://pcpartpicker.com/product/wB6qqs/raijintek-orcus-120-4217-cfm-liquid-cpu-cooler-0r100080,"800,1800",Black,120.0,RAIJINTEK,0R100080,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,120.0,True
RAIJINTEK Orcus 120 RGW,https://pcpartpicker.com/product/s2wkcf/raijintek-orcus-120-rgw-358-cfm-liquid-cpu-cooler-0r10b00102,"400,1800",Black,120.0,RAIJINTEK,0R10B00102,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,120.0,True
RAIJINTEK Orcus 240 RGW,https://pcpartpicker.com/product/dkrYcf/raijintek-orcus-240-rgw-358-cfm-liquid-cpu-cooler-0r10b00105,"400,1800",Black,240.0,RAIJINTEK,0R10B00105,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,240.0,True
