name,part_url,rpm,color,size,manufacturer,part_number,height,supported_sockets,water_cooled_size,is_water_cooled
Thermalright Peerless Assassin 120 SE,https://pcpartpicker.com/product/hYxRsY/thermalright-peerless-assassin-120-se-6617-cfm-cpu-cooler-pa120-se-d3,1550,Black / Silver,,Thermalright,PA120 SE-D3|PA120 SE|PA120 SE D6-CAD|PA120 SE 1700|PA120 SE 1700-d6|419043,155.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
ARCTIC Liquid Freezer III Pro 360,https://pcpartpicker.com/product/v2kqqs/arctic-liquid-freezer-iii-pro-360-77-cfm-liquid-cpu-cooler-acfre00180a,"600,3000",Black,360.0,ARCTIC,ACFRE00180A,68.0,AM4|AM5|LGA1700|LGA1851,360.0,True
Cooler Master Hyper 212 Black Edition,https://pcpartpicker.com/product/HyTPxr/cooler-master-hyper-212-black-edition-42-cfm-cpu-cooler-rr-212s-20pk-r1,"650,2000",Black,,Cooler Master,RR-212S-20PK-R1,159.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
Thermalright Aqua Elite V3,https://pcpartpicker.com/product/ZQBzK8/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-black-v3,1500,Black,360.0,Thermalright,Aqua Elite 360 Black V3|AQUA ELITE 360 V3|Aqua Elite 360 Black Argb V3|814256016346,,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
Corsair NAUTILUS 360 RS ARGB,https://pcpartpicker.com/product/DhsV3C/corsair-nautilus-360-rs-argb-7437-cfm-liquid-cpu-cooler-cw-9060093-ww,2100,Black,360.0,Corsair,CW-9060093-WW,,AM4|AM5|LGA1700|LGA1851,360.0,True
ARCTIC Liquid Freezer III Pro A-RGB 360,https://pcpartpicker.com/product/Xh9nTW/arctic-liquid-freezer-iii-pro-a-rgb-360-77-cfm-liquid-cpu-cooler-acfre00184a,"600,3000",Black,360.0,ARCTIC,ACFRE00184A,68.0,AM4|AM5|LGA1700|LGA1851,360.0,True
Thermalright Phantom Spirit 120 SE ARGB,https://pcpartpicker.com/product/MzMMnQ/thermalright-phantom-spirit-120-se-argb-6617-cfm-cpu-cooler-ps120se-argb,1500,Black / Silver,,Thermalright,PS120SE ARGB|PS120 SE ARGB D6-CAD|Phantom Spirit 120 SE ARGB,154.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Thermalright Assassin X 120 Refined SE,https://pcpartpicker.com/product/q6H7YJ/thermalright-assassin-x-120-refined-se-6617-cfm-cpu-cooler-ax120-se-d3,1550,Black / Silver,,Thermalright,AX120 SE-D3|AX120 Refined SE,148.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Noctua NH-D15 chromax.black,https://pcpartpicker.com/product/84MTwP/noctua-nh-d15-chromaxblack-8252-cfm-cpu-cooler-nh-d15-chromaxblack,"300,1500",Black,,Noctua,NH-D15 CHROMAX.BLACK|NH-D15 CH.BK|NH-D15-CH-BK,165.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
ARCTIC Liquid Freezer III Pro A-RGB 360,https://pcpartpicker.com/product/hYXMnQ/arctic-liquid-freezer-iii-pro-a-rgb-360-77-cfm-liquid-cpu-cooler-acfre00188a,"600,3000",White,360.0,ARCTIC,ACFRE00188A,68.0,AM4|AM5|LGA1700|LGA1851,360.0,True
Thermalright Aqua Elite V3,https://pcpartpicker.com/product/BvmNnQ/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-240-black-v3,1500,Black,240.0,Thermalright,Aqua Elite 240 Black V3|AQUA ELITE 240 V3|AQUA ELITE 240 BLACK ARGB V3|814256016339,,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,240.0,True
be quiet! Dark Rock Pro 5,https://pcpartpicker.com/product/LyyH99/be-quiet-dark-rock-pro-5-cpu-cooler-bk036,"1300,2000",Black,,be quiet!,BK036,168.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
MSI MPG CORELIQUID D360,https://pcpartpicker.com/product/sPNYcf/msi-mpg-coreliquid-d360-774-cfm-liquid-cpu-cooler-mpg-coreliquid-d360,,Black,360.0,MSI,MPG CORELIQUID D360|936-6A1521-001,84.0,AM4|AM5|sTR4|sTRX4|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
Corsair NAUTILUS 360 RS ARGB,https://pcpartpicker.com/product/CgYRsY/corsair-nautilus-360-rs-argb-7437-cfm-liquid-cpu-cooler-cw-9060095-ww,2100,White,360.0,Corsair,CW-9060095-WW,,AM4|AM5|LGA1700|LGA1851,360.0,True
NZXT Kraken 240,https://pcpartpicker.com/product/LDqrxr/nzxt-kraken-240-7802-cfm-liquid-cpu-cooler-rl-kn240-b1,"500,1800",Black,240.0,NZXT,RL-KN240-B1,56.0,AM4|AM5|sTR4|sTRX4|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,240.0,True
NZXT Kraken Elite 360 RGB (2024),https://pcpartpicker.com/product/pjwmP6/nzxt-kraken-elite-360-rgb-2024-7512-cfm-liquid-cpu-cooler-rl-kr36e-w2,"500,2400",White,360.0,NZXT,RL-KR36E-W2,,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
AMD Wraith Prism,https://pcpartpicker.com/product/3WfxFT/amd-wraith-prism-2800-cfm-cpu-cooler-199-999888,2800,,,AMD,199-999888,93.0,AM4|AM5,,False
Thermalright Phantom Spirit 120 SE,https://pcpartpicker.com/product/GpbRsY/thermalright-phantom-spirit-120-se-6617-cfm-cpu-cooler-ps120se,1500,Black / Silver,,Thermalright,PS120SE|PS120 SE D6-CAD|PHANTOM-SPIRIT-120-SE,154.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Corsair iCUE LINK TITAN 360 RX LCD,https://pcpartpicker.com/product/TtXV3C/corsair-icue-link-titan-360-rx-lcd-735-cfm-liquid-cpu-cooler-cw-9061023-ww,"300,2100",Black,360.0,Corsair,CW-9061023-WW,,AM4|AM5|LGA1700|LGA1851,360.0,True
ARCTIC Liquid Freezer III Pro,https://pcpartpicker.com/product/zn8Pxr/arctic-liquid-freezer-iii-pro-77-cfm-liquid-cpu-cooler-acfre00178a,"600,3000",Black,240.0,ARCTIC,ACFRE00178A,68.0,AM4|AM5|LGA1700|LGA1851,240.0,True
Noctua NH-D15,https://pcpartpicker.com/product/4vzv6h/noctua-nh-d15-825-cfm-cpu-cooler-nh-d15,"300,1500",,,Noctua,NH-D15,165.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
ID-COOLING SE-214-XT ARGB,https://pcpartpicker.com/product/Zr8bt6/id-cooling-se-214-xt-argb-682-cfm-cpu-cooler-se-214-xt-argb,"500,1500",Black,,ID-COOLING,SE-214-XT ARGB,150.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
ARCTIC Freezer 36,https://pcpartpicker.com/product/N6bRsY/arctic-freezer-36-cpu-cooler-acfre00123a,"200,1800",Black,,ARCTIC,ACFRE00123A,159.0,AM4|AM5|LGA1700|LGA1851,,False
Thermalright Peerless Assassin 120 SE ARGB,https://pcpartpicker.com/product/zyNxFT/thermalright-peerless-assassin-120-se-argb-6617-cfm-cpu-cooler-pa-120-se-argb,1550,Black,,Thermalright,PA 120 SE ARGB|PA120 SE ARGB 1700|PA120 SE ARGB D6-CAD|419041|Peerless Assassin 120 SE Argb|814256003766,155.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Cooler Master MasterLiquid 360L Core ARGB,https://pcpartpicker.com/product/jBrqqs/cooler-master-masterliquid-360l-core-argb-liquid-cpu-cooler-mlw-d36m-a18pz-r1,"350,1750",Black,360.0,Cooler Master,MLW-D36M-A18PZ-R1,47.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
Cooler Master Hyper 212 Spectrum V3,https://pcpartpicker.com/product/jgbRsY/cooler-master-hyper-212-spectrum-v3-7193-cfm-cpu-cooler-rr-s4na-17pa-r1,"650,1750",Black / Silver,,Cooler Master,RR-S4NA-17PA-R1,152.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Thermalright Peerless Assassin 120 SE WHITE ARGB,https://pcpartpicker.com/product/xMLFf7/thermalright-peerless-assassin-120-se-white-argb-6617-cfm-cpu-cooler-pa120-se-white-argb,1550,White,,Thermalright,PA120 SE White ARGB|PA120 SE White ARGB-D3|PA120 SE ARGB White-D1|PA120 SE WHITE ARGB D6-CAD,155.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
NZXT Kraken Elite 360 (2024),https://pcpartpicker.com/product/Ff3NnQ/nzxt-kraken-elite-360-2024-7347-cfm-liquid-cpu-cooler-rl-kn36e-b2,"500,2000",Black,360.0,NZXT,RL-KN36E-B2,,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
Asus ROG Ryujin III 360 ARGB Extreme,https://pcpartpicker.com/product/VxLdnQ/asus-rog-ryujin-iii-360-argb-extreme-8973-cfm-liquid-cpu-cooler-90rc0131-m0eay0,"1,2800",Black,360.0,Asus,90RC0131-M0EAY0|ROG Ryujin III 360 ARGB Extreme|90RC0131-M0AAY0,108.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
Thermalright Phantom Spirit EVO,https://pcpartpicker.com/product/BRMMnQ/thermalright-phantom-spirit-evo-69-cfm-cpu-cooler-phantom-spirit-120-evo,2150,Black,,Thermalright,Phantom Spirit 120 EVO|PS120 EVO|PS120 EVO D6|814256015585,157.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
TRYX PANORAMA SE ARGB,https://pcpartpicker.com/product/ggtkcf/tryx-panorama-se-argb-6609-cfm-liquid-cpu-cooler-l-p360l-am3m-g0k,"500,1850",Black,360.0,TRYX,L-P360L-AM3M-G0K,125.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
Lian Li Hydroshift LCD 360S,https://pcpartpicker.com/product/zWFmP6/lian-li-hydroshift-lcd-360s-7314-cfm-liquid-cpu-cooler-hslcd36sw,"200,2500",White,360.0,Lian Li,HSLCD36SW|GHSLCD36SW,59.0,AM4|AM5|LGA1700|LGA1851,360.0,True
Noctua NH-L9A-AM5,https://pcpartpicker.com/product/qwrqqs/noctua-nh-l9a-am5-3384-cfm-cpu-cooler-nh-l9a-am5,"600,2500",Brown / Silver,,Noctua,NH-L9A-AM5,37.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+,,False
be quiet! Pure Rock 3,https://pcpartpicker.com/product/tmDnTW/be-quiet-pure-rock-3-596-cfm-cpu-cooler-bk039,2000,Black,,be quiet!,BK039,154.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Corsair NAUTILUS 240 RS ARGB,https://pcpartpicker.com/product/MmV2FT/corsair-nautilus-240-rs-argb-7437-cfm-liquid-cpu-cooler-cw-9060092-ww,2100,Black,240.0,Corsair,CW-9060092-WW,,AM4|AM5|LGA1700|LGA1851,240.0,True
Corsair NAUTILUS 360 RS LCD,https://pcpartpicker.com/product/wZrp99/corsair-nautilus-360-rs-lcd-728-cfm-liquid-cpu-cooler-cw-9061033-ww,2100,Black,360.0,Corsair,CW-9061033-WW,125.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
Asus ROG Ryuo IV SLC 360 ARGB,https://pcpartpicker.com/product/HJTFf7/asus-rog-ryuo-iv-slc-360-argb-7144-cfm-liquid-cpu-cooler-90rc0151-b0eay0,"800,2650",Black,360.0,Asus,90RC0151-B0EAY0|ROG Ryuo IV SLC 360 ARGB,133.0,AM4|AM5|LGA1700|LGA1851,360.0,True
Thermalright Assassin Spirit 120 EVO,https://pcpartpicker.com/product/zrP8TW/thermalright-assassin-spirit-120-evo-689-cfm-cpu-cooler-as120-evo,2000,Black,,Thermalright,AS120 EVO|Assassin Spirit 120 EVO|814256016377,156.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Corsair iCUE LINK TITAN 360 RX LCD,https://pcpartpicker.com/product/ZGvD4D/corsair-icue-link-titan-360-rx-lcd-735-cfm-liquid-cpu-cooler-cw-9061026-ww,"300,2100",White,360.0,Corsair,CW-9061026-WW,,AM4|AM5|LGA1700|LGA1851,360.0,True
Thermalright Frozen Infinity 360 ARGB,https://pcpartpicker.com/product/F9kH99/thermalright-frozen-infinity-360-argb-689-cfm-liquid-cpu-cooler-frozen-infinity-360-white,2000,White,360.0,Thermalright,Frozen Infinity 360 WHITE,60.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
MSI MAG CORELIQUID A13,https://pcpartpicker.com/product/tWn9TW/msi-mag-coreliquid-a13-626-cfm-liquid-cpu-cooler-mag-coreliquid-a13-360,,Black,360.0,MSI,MAG CORELIQUID A13 360|306-7ZWDA11-L80,57.0,AM4|AM5|LGA1700|LGA1851,360.0,True
TRYX PANORAMA SE ARGB,https://pcpartpicker.com/product/qF8Pxr/tryx-panorama-se-argb-6609-cfm-liquid-cpu-cooler-l-p360l-am3m-g0w,"500,1850",White,360.0,TRYX,L-P360L-AM3M-G0W,125.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
MSI MAG CORELIQUID A13,https://pcpartpicker.com/product/H4FmP6/msi-mag-coreliquid-a13-626-cfm-liquid-cpu-cooler-mag-coreliquid-a13-240,,Black,240.0,MSI,MAG CORELIQUID A13 240|306-7ZWCA11-L80|MAG CORELIQUID A13 240 Black,57.0,AM4|AM5|LGA1700|LGA1851,240.0,True
Noctua NH-L9A-AM5 CHROMAX.BLACK,https://pcpartpicker.com/product/KNn9TW/noctua-nh-l9a-am5-chromaxblack-3384-cfm-cpu-cooler-nh-l9a-am5-chromaxblack,"600,2500",Black,,Noctua,NH-L9A-AM5 CHROMAX.BLACK,37.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+,,False
Cooler Master MasterLiquid 240L Core ARGB,https://pcpartpicker.com/product/FRV2FT/cooler-master-masterliquid-240l-core-argb-liquid-cpu-cooler-mlw-d24m-a18pz-r1,"350,1750",Black,240.0,Cooler Master,MLW-D24M-A18PZ-R1,47.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,240.0,True
Lian Li Galahad II Trinity SL-INF,https://pcpartpicker.com/product/hQfxFT/lian-li-galahad-ii-trinity-sl-inf-613-cfm-liquid-cpu-cooler-ga2t36inb,2100,Black,360.0,Lian Li,GA2T36INB|G89.GA2T36INB.00,69.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
Noctua NH-L9x65 chromax.black,https://pcpartpicker.com/product/QvvD4D/noctua-nh-l9x65-chromaxblack-3384-cfm-cpu-cooler-nh-l9x65-chromaxblack,"600,2500",Black,,Noctua,NH-L9x65 chromax.black|NH-L9x65 ch.bk|NH-L9x65chromaxblack|NH-L9X65-CH-BK|NOCTUA NH-L9X65 CHROMAX.BLACK,65.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Thermalright Frozen Notte ARGB,https://pcpartpicker.com/product/RD7scf/thermalright-frozen-notte-argb-7237-cfm-liquid-cpu-cooler-frozen-notte-360-black-argb-d1,2000,Black,360.0,Thermalright,Frozen Notte 360 BLACK ARGB-D1|Frozen Notte 360 BLACK ARGB D6|Frozen Notte 360 BLACK ARGB,,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
Corsair NAUTILUS 360 RS,https://pcpartpicker.com/product/GVtLrH/corsair-nautilus-360-rs-7437-cfm-liquid-cpu-cooler-cw-9060089-ww,2100,Black,360.0,Corsair,CW-9060089-WW,,AM4|AM5|LGA1700|LGA1851,360.0,True
ID-COOLING SE-903-XT,https://pcpartpicker.com/product/hctLrH/id-cooling-se-903-xt-458-cfm-cpu-cooler-se-903-xt-black,"500,2200",Black,,ID-COOLING,SE-903-XT BLACK,123.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Thermalright Aqua Elite V3,https://pcpartpicker.com/product/YXFmP6/thermalright-aqua-elite-v3-6617-cfm-liquid-cpu-cooler-aqua-elite-360-white-v3,1500,White,360.0,Thermalright,Aqua Elite 360 White V3,,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
Thermalright AXP90-X47,https://pcpartpicker.com/product/7GTp99/thermalright-axp90-x47-4258-cfm-cpu-cooler-axp90-x47-black,2700,Black,,Thermalright,AXP90-X47 BLACK,47.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
NZXT Kraken Elite RGB (2025),https://pcpartpicker.com/product/tmFCmG/nzxt-kraken-elite-rgb-2025-9861-cfm-liquid-cpu-cooler-rl-kr42e-b2,"500,2000",Black,420.0,NZXT,RL-KR42E-B2,65.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,420.0,True
Thermalright AQUA ELITE ARGB V4,https://pcpartpicker.com/product/6RVfrH/thermalright-aqua-elite-argb-v4-6617-cfm-liquid-cpu-cooler-aqua-elite-360-argb-v4,1550,Black,360.0,Thermalright,AQUA ELITE 360 ARGB V4,48.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
ID-COOLING FROZN A620 PRO SE,https://pcpartpicker.com/product/MFvD4D/id-cooling-frozn-a620-pro-se-58-cfm-cpu-cooler-frozn-a620-pro-se,"300,2000",Black,,ID-COOLING,FROZN A620 PRO SE,157.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
ARCTIC Liquid Freezer III Pro,https://pcpartpicker.com/product/Xm2j4D/arctic-liquid-freezer-iii-pro-110-cfm-liquid-cpu-cooler-acfre00181a,"400,2500",Black,420.0,ARCTIC,ACFRE00181A,68.0,AM4|AM5|LGA1700|LGA1851,420.0,True
Thermalright Assassin X SE,https://pcpartpicker.com/product/8wZXsY/thermalright-assassin-x-se-3277-cfm-cpu-cooler-ax90se-v2,2200,Black / Silver,,Thermalright,AX90SE V2|AX90SE V2 D6|Assassin-X-90-SE-V2,118.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Fractal Design Celsius+ S36 Prisma PWM ARGB,https://pcpartpicker.com/product/d3jNnQ/fractal-design-celsius-s36-prisma-pwm-argb-8571-cfm-liquid-cpu-cooler-fd-w-2-s3602,"500,2000",Black,360.0,Fractal Design,FD-W-2-S3602,,AM2|AM2+|AM3|AM3+|AM4|AM5|sTR4|sTRX4|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
ARCTIC Alpine 23,https://pcpartpicker.com/product/MKBG3C/arctic-alpine-23-cpu-cooler-acalp00035a,"100,2000",White / Black,,ARCTIC,ACALP00035A,65.0,AM4|AM5,,False
Intel E97379-001,https://pcpartpicker.com/product/xm22FT/intel-e97379-001-cpu-cooler-e97379-001,"1200,2800",Silver / Black,,Intel,E97379-001,51.0,LGA1150|LGA1151|LGA1155|LGA1156|LGA1200,,False
Lian Li Hydroshift LCD 360S,https://pcpartpicker.com/product/jL3NnQ/lian-li-hydroshift-lcd-360s-7314-cfm-liquid-cpu-cooler-hslcd36sb,"200,2500",Black,360.0,Lian Li,HSLCD36SB|GHSLCD36SB,59.0,AM4|AM5|LGA1700|LGA1851,360.0,True
be quiet! Pure Rock Pro 3,https://pcpartpicker.com/product/3cHp99/be-quiet-pure-rock-pro-3-596-cfm-cpu-cooler-bk042,2000,Black,,be quiet!,BK042,155.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Thermalright Assassin X Refined SE ARGB,https://pcpartpicker.com/product/jvjv6h/thermalright-assassin-x-refined-se-argb-cpu-cooler-ax120r-se-argb-d6-cad,1550,Black / Silver,,Thermalright,AX120R SE ARGB D6-CAD|Assassin X 120 Refined SE ARGB|AX120 R SE ARGB 1700|814256003780,148.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
be quiet! Silent Loop 3,https://pcpartpicker.com/product/N3ZWGX/be-quiet-silent-loop-3-767-cfm-liquid-cpu-cooler-bw025,2500,Black,360.0,be quiet!,BW025,94.0,AM4|AM5|sTR4|sTRX4|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
Deepcool AK400,https://pcpartpicker.com/product/QPkWGX/deepcool-ak400-6647-cfm-cpu-cooler-r-ak400-bknnmn-g-1,"500,1850",Black / Silver,,Deepcool,R-AK400-BKNNMN-G-1,155.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
TRYX PANORAMA ARGB (2025),https://pcpartpicker.com/product/dyVfrH/tryx-panorama-argb-2025-6564-cfm-liquid-cpu-cooler-l-p360a-as3m-g1k,"500,1850",Black,360.0,TRYX,L-P360A-AS3M-G1K,118.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
Corsair iCUE LINK TITAN 360 RX RGB,https://pcpartpicker.com/product/fT6NnQ/corsair-icue-link-titan-360-rx-rgb-735-cfm-liquid-cpu-cooler-cw-9061018-ww,"300,2100",Black,360.0,Corsair,CW-9061018-WW,,AM4|AM5|LGA1700|LGA1851,360.0,True
Thermaltake Gravity i2,https://pcpartpicker.com/product/2G38TW/thermaltake-cpu-cooler-clp0556d,1800,,,Thermaltake,CLP0556-D,63.0,LGA1150|LGA1151|LGA1155|LGA1156|LGA1200,,False
Thermalright AXP90-X36,https://pcpartpicker.com/product/8b92FT/thermalright-axp90-x36-4258-cfm-cpu-cooler-axp90-x36,2700,Gray,,Thermalright,AXP90-X36,36.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Noctua NH-D9L,https://pcpartpicker.com/product/8pgPxr/noctua-nh-d9l-4644-cfm-cpu-cooler-nh-d9l,"400,2000",,,Noctua,NH-D9L,110.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
Thermalright Phantom Spirit 120 SE,https://pcpartpicker.com/product/CwGhP6/thermalright-phantom-spirit-120-se-6617-cfm-cpu-cooler-ps120se-black,1500,Black,,Thermalright,PS120SE Black|Phantom Spirit 120 SE BLACK,154.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,,False
Thermalright Frozen Infinity 360 ARGB,https://pcpartpicker.com/product/QnxxFT/thermalright-frozen-infinity-360-argb-689-cfm-liquid-cpu-cooler-frozen-infinity-360-black,2000,Black,360.0,Thermalright,Frozen Infinity 360 BLACK,60.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
Noctua NH-U12A chromax.black,https://pcpartpicker.com/product/HCgFf7/noctua-nh-u12a-chromaxblack-6009-cfm-cpu-cooler-nh-u12a-chromaxblack,"450,2000",Black,,Noctua,NH-U12A chromax.black|NH-U12A ch.bk,158.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
NZXT Kraken Plus 360,https://pcpartpicker.com/product/h6qNnQ/nzxt-kraken-plus-360-7347-cfm-liquid-cpu-cooler-rl-kn360-b2,"500,2000",Black,360.0,NZXT,RL-KN360-B2,56.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851,360.0,True
Thermalright Peerless Assassin 120 White,https://pcpartpicker.com/product/476p99/thermalright-peerless-assassin-120-white-6617-cfm-cpu-cooler-pa120-white,1550,White,,Thermalright,PA120 White|PA120 WHITE D6-CAD,157.0,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
Cooler Master Hyper 212 RGB Black Edition,https://pcpartpicker.com/product/hHDJ7P/cooler-master-hyper-212-rgb-black-edition-573-cfm-cpu-cooler-rr-212s-20pc-r1,"650,2000",Black,,Cooler Master,RR-212S-20PC-R1,159.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
Lian Li Hydroshift II LCD-S 360 TL,https://pcpartpicker.com/product/c2nXsY/lian-li-hydroshift-ii-lcd-s-360-tl-901-cfm-liquid-cpu-cooler-ghs2lcds36tb,"200,2600",Black,360.0,Lian Li,GHS2LCDS36TB|HS2LCDS36TB|G89.GHS2LCDS36TB.00,62.0,AM4|AM5|LGA1700|LGA1851,360.0,True
