name,part_url,bd,dvd,cd,manufacturer,part_number,form_factor,interface
Pioneer DVR-216D,https://pcpartpicker.com/product/3dsnTW/pioneer-dvr-216d-dvdcd-writer-dvr-216d,,16.0,40.0,Pioneer,DVR-216D,5.25,SATA 6.0 Gb/s
LG BH16NS55.AUAR10B,https://pcpartpicker.com/product/P34NnQ/lg-bh16ns55auar10b-blu-raydvdcd-writer-bh16ns55auar10b,,,40.0,LG,BH16NS55.AUAR10B,5.25,SATA 6.0 Gb/s
LG GGC-H20L,https://pcpartpicker.com/product/ck98TW/lg-optical-drive-ggch20l,6.0,16.0,40.0,LG,GGC-H20L,5.25,SATA 3.0 Gb/s
Asus BC-12B1ST/BLK/B/AS,https://pcpartpicker.com/product/hCR48d/asus-optical-drive-bc12b1stblkbas,12.0,16.0,48.0,Asus,BC-12B1ST/BLK/B/AS,5.25,SATA 3.0 Gb/s
HP AR629AA,https://pcpartpicker.com/product/ydK7YJ/hp-optical-drive-ar629aa,,16.0,48.0,HP,AR629AA,5.25,SATA 3.0 Gb/s
Pioneer BDR-S12XLT,https://pcpartpicker.com/product/7JpD4D/pioneer-bdr-s12xlt-blu-raydvdcd-writer-bdr-s12xlt,16.0,16.0,40.0,Pioneer,BDR-S12XLT,5.25,SATA 6.0 Gb/s
LG GS40N,https://pcpartpicker.com/product/pf7CmG/lg-optical-drive-gs40n,,8.0,24.0,LG,GS40N,5.25 Slim Slot Load,SATA 3.0 Gb/s
Samsung SH-224BB,https://pcpartpicker.com/product/RdLypg/samsung-optical-drive-sh224bb,,16.0,48.0,Samsung,SH-224BB,5.25,SATA 3.0 Gb/s
Asus DVD-E818AAT/BLK/B/GE,https://pcpartpicker.com/product/RPx9TW/asus-optical-drive-dvde818aatblkbge,,18.0,48.0,Asus,DVD-E818AAT/BLK/B/GE,5.25,SATA 3.0 Gb/s
Asus SDRW-08U1MT,https://pcpartpicker.com/product/bD4Zxr/asus-sdrw-08u1mt-dvdcd-writer-sdrw-08u1mt,,,24.0,Asus,SDRW-08U1MT|SDRW-08U1MT/BLK/B/GEN|90DD027X-B10000,5.25 Slim,SATA 3.0 Gb/s
Asus DRW-24B3ST/BLK/G/AS,https://pcpartpicker.com/product/W8V48d/asus-optical-drive-drw24b3stblkgas,,16.0,48.0,Asus,DRW-24B3ST/BLK/G/AS,5.25,SATA 3.0 Gb/s
LG UH12NS30,https://pcpartpicker.com/product/NJh9TW/lg-optical-drive-uh12ns30,12.0,16.0,,LG,UH12NS30,5.25,SATA 3.0 Gb/s
Pioneer BDR-212EBK,https://pcpartpicker.com/product/QVNgXL/pioneer-bdr-212ebk-blu-ray-reader-dvdcd-writer-bdr-212ebk,16.0,,,Pioneer,BDR-212EBK,5.25,SATA 6.0 Gb/s
Silverstone SOB03,https://pcpartpicker.com/product/jyD7YJ/silverstone-sob03-blu-raydvdcd-writer-sst-sob03,6.0,8.0,24.0,Silverstone,SST-SOB03,5.25 Slim Slot Load,SATA 1.5 Gb/s
Memorex 98240,https://pcpartpicker.com/product/J3TmP6/memorex-optical-drive-98240,,16.0,48.0,Memorex,98240,5.25,SATA 3.0 Gb/s
Asus DVDE818A7T/BLK/B/GEN,https://pcpartpicker.com/product/p7Np99/asus-optical-drive-dvde818a7tblkbgen,,18.0,48.0,Asus,DVDE818A7T/BLK/B/GEN,5.25,SATA 3.0 Gb/s
LG BH12LS35,https://pcpartpicker.com/product/tv38TW/lg-optical-drive-bh12ls35,,,,LG,BH12LS35,5.25,SATA 6.0 Gb/s
Silverstone TOB04,https://pcpartpicker.com/product/fzpmP6/silverstone-tob04-blu-raydvdcd-writer-sst-tob04,6.0,8.0,24.0,Silverstone,SST-TOB04,5.25 Slim,SATA 1.5 Gb/s
LG GUD0N,https://pcpartpicker.com/product/6dn9TW/lg-gud0n-dvdcd-writer-gud0n,,,,LG,GUD0N,5.25 Slim,SATA 3.0 Gb/s
Sony BD-5740H-01,https://pcpartpicker.com/product/CNbp99/sony-optical-drive-bd5740h01,6.0,8.0,24.0,Sony,BD-5740H-01,5.25,SATA 3.0 Gb/s
LG BH14NS40,https://pcpartpicker.com/product/J9MFf7/lg-optical-drive-bh14ns40,12.0,16.0,48.0,LG,BH14NS40,5.25,SATA 3.0 Gb/s
Sony AD-7280S-02,https://pcpartpicker.com/product/MyMFf7/sony-optical-drive-ad7280s02,,16.0,48.0,Sony,AD-7280S-02,5.25,SATA 3.0 Gb/s
Lite-On DS-8ABSH-01,https://pcpartpicker.com/product/ZsyFf7/lite-on-optical-drive-ds8absh01,,8.0,24.0,Lite-On,DS-8ABSH-01,5.25 Slim,SATA 3.0 Gb/s
Lite-On IHBS112-04,https://pcpartpicker.com/product/DtDwrH/lite-on-optical-drive-ihbs11204,8.0,16.0,48.0,Lite-On,IHBS112-04,5.25,SATA 3.0 Gb/s
HP 447328-B21,https://pcpartpicker.com/product/TGZQzy/hp-optical-drive-447328b21,,16.0,50.0,HP,447328-B21,5.25,SATA 3.0 Gb/s
Samsung SH-B123L/RSBP,https://pcpartpicker.com/product/HXw323/samsung-optical-drive-shb123lrsbp,12.0,16.0,48.0,Samsung,SH-B123L/RSBP,5.25,SATA 3.0 Gb/s
LG GH24NS95,https://pcpartpicker.com/product/MD9KHx/lg-optical-drive-gh24ns95,,16.0,48.0,LG,GH24NS95,5.25,SATA 3.0 Gb/s
LG GH24NSC0B,https://pcpartpicker.com/product/9nQRsY/lg-optical-drive-gh24nsc0b,,16.0,48.0,LG,GH24NSC0B,5.25,SATA 3.0 Gb/s
LG BH10LS30,https://pcpartpicker.com/product/JgJkcf/lg-optical-drive-bh10ls30,6.0,16.0,48.0,LG,BH10LS30,5.25,SATA 6.0 Gb/s
Asus DRW-24B3LT,https://pcpartpicker.com/product/HdR48d/asus-optical-drive-drw24b3lt,,16.0,48.0,Asus,DRW-24B3LT,5.25,SATA 3.0 Gb/s
Sony BWU-500S,https://pcpartpicker.com/product/TBV48d/sony-optical-drive-bwu500s,8.0,16.0,48.0,Sony,BWU-500S,5.25,SATA 3.0 Gb/s
Samsung SH-S203B,https://pcpartpicker.com/product/hKJgXL/samsung-sh-s203b-dvdcd-writer-sh-s203b,,20.0,48.0,Samsung,SH-S203B,5.25,SATA 3.0 Gb/s
I/O Magic IDVD22DL,https://pcpartpicker.com/product/CmsKHx/io-magic-optical-drive-idvd22dl,,16.0,48.0,I/O Magic,IDVD22DL,5.25,PATA 100
LG GH24NS90,https://pcpartpicker.com/product/Xth9TW/lg-optical-drive-gh24ns90,,16.0,48.0,LG,GH24NS90,5.25,SATA 3.0 Gb/s
Lite-On DL-8A4SH-01,https://pcpartpicker.com/product/2qK7YJ/lite-on-optical-drive-dl8a4sh01,,8.0,24.0,Lite-On,DL-8A4SH-01,5.25 Slim Slot Load,SATA 6.0 Gb/s
Asus BC-12B1ST,https://pcpartpicker.com/product/JjGxFT/asus-bc-12b1st-dvdcd-writer-bc-12b1st,,,,Asus,BC-12B1ST,5.25,SATA 6.0 Gb/s
Pioneer BDR-206MBK,https://pcpartpicker.com/product/rdh9TW/pioneer-optical-drive-bdr206mbk,6.0,8.0,24.0,Pioneer,BDR-206MBK,5.25,SATA 3.0 Gb/s
Lite-On iHDS118-04,https://pcpartpicker.com/product/JVphP6/lite-on-optical-drive-ihds11804,,18.0,48.0,Lite-On,iHDS118-04,5.25,SATA 3.0 Gb/s
LG WH12LS30,https://pcpartpicker.com/product/x4Lypg/lg-optical-drive-wh12ls30,10.0,16.0,48.0,LG,WH12LS30,5.25,SATA 3.0 Gb/s
Lite-On IHBS312-98,https://pcpartpicker.com/product/gnzv6h/lite-on-optical-drive-ihbs31298,8.0,16.0,48.0,Lite-On,IHBS312-98,5.25,SATA 3.0 Gb/s
MSI DH-24AS U88,https://pcpartpicker.com/product/V7Qypg/msi-optical-drive-dh24asu88,,16.0,48.0,MSI,DH-24AS U88,5.25,SATA 3.0 Gb/s
HP DVD1265I,https://pcpartpicker.com/product/fpfp99/hp-optical-drive-dvd1265i,,16.0,48.0,HP,DVD1265I,5.25,SATA 6.0 Gb/s
Pioneer BDR-211EBK,https://pcpartpicker.com/product/RLKcCJ/pioneer-bdr-211ebk-blu-raydvdcd-writer-bdr-211ebk,,,,Pioneer,BDR-211EBK,5.25,SATA 3.0 Gb/s
Samsung SH-S223C,https://pcpartpicker.com/product/7dQypg/samsung-optical-drive-shs223c,,16.0,48.0,Samsung,SH-S223C,5.25,SATA 3.0 Gb/s
HP 1270i,https://pcpartpicker.com/product/F7Np99/hp-optical-drive-hp1270i,,16.0,48.0,HP,HP 1270i,5.25,SATA 3.0 Gb/s
LG GH22NS50 Bulk,https://pcpartpicker.com/product/QpPfrH/lg-optical-drive-gh22ns50bulk,,16.0,48.0,LG,GH22NS50 Bulk,5.25,SATA 3.0 Gb/s
Lite-On iHAS224-06,https://pcpartpicker.com/product/MzV48d/lite-on-optical-drive-ihas22406,,16.0,48.0,Lite-On,iHAS224-06,5.25,SATA 3.0 Gb/s
Buslink DBW-1647,https://pcpartpicker.com/product/cCYXsY/buslink-optical-drive-dbw1647,,16.0,48.0,Buslink,DBW-1647,5.25,PATA 100
Sony BC5640H-03,https://pcpartpicker.com/product/zZYXsY/sony-optical-drive-bc5640h03,6.0,8.0,24.0,Sony,BC5640H-03,5.25 Slim Slot Load,SATA 3.0 Gb/s
Pioneer BDC-207DBK,https://pcpartpicker.com/product/QJckcf/pioneer-optical-drive-bdc207dbk,8.0,16.0,40.0,Pioneer,BDC-207DBK,5.25,SATA 3.0 Gb/s
Pioneer BDR-2209,https://pcpartpicker.com/product/4Fzv6h/pioneer-optical-drive-bdr2209,12.0,16.0,40.0,Pioneer,BDR-2209,5.25,SATA 3.0 Gb/s
Silverstone SST-SOB02,https://pcpartpicker.com/product/mr9KHx/silverstone-optical-drive-sstsob02,,,24.0,Silverstone,SST-SOB02|SOB02,5.25 Slim Slot Load,SATA 3.0 Gb/s
Samsung SH-224FB,https://pcpartpicker.com/product/6D8H99/samsung-sh-224fb-dvdcd-writer-sh-224fb,,16.0,48.0,Samsung,SH-224FB,5.25,SATA 3.0 Gb/s
LG BH12LS38,https://pcpartpicker.com/product/R2CFf7/lg-bh12ls38-blu-raydvdcd-writer-bh12ls38,12.0,16.0,48.0,LG,BH12LS38,5.25,SATA 6.0 Gb/s
HP 652238-B21,https://pcpartpicker.com/product/d2h9TW/hp-optical-drive-652238b21,,8.0,24.0,HP,652238-B21,5.25,SATA 3.0 Gb/s
Sony AD-7260S-0B,https://pcpartpicker.com/product/WgMFf7/sony-optical-drive-ad7260s0b,,16.0,48.0,Sony,AD-7260S-0B,5.25,SATA 3.0 Gb/s
Lite-On iHOS104-06,https://pcpartpicker.com/product/yGZQzy/lite-on-optical-drive-ihos10406,4.0,8.0,32.0,Lite-On,iHOS104-06,5.25,SATA 3.0 Gb/s
Sony BC-5500H-01,https://pcpartpicker.com/product/PPphP6/sony-optical-drive-bc5500h01,4.0,8.0,24.0,Sony,BC-5500H-01,5.25 Slim,SATA 3.0 Gb/s
MSI DH-18D4P,https://pcpartpicker.com/product/pbJwrH/msi-optical-drive-dh18d4p,,18.0,48.0,MSI,DH-18D4P,5.25,PATA 100
MSI DH-22AP,https://pcpartpicker.com/product/zsGkcf/msi-optical-drive-dh22ap,,16.0,48.0,MSI,DH-22AP,5.25,PATA 100
LG GH22NS90B,https://pcpartpicker.com/product/g2yFf7/lg-optical-drive-gh22ns90b,,16.0,48.0,LG,GH22NS90B,5.25,SATA 3.0 Gb/s
Samsung SH-222AL/BSBS,https://pcpartpicker.com/product/tth9TW/samsung-optical-drive-sh222albsbs,,22.0,48.0,Samsung,SH-222AL/BSBS,5.25,SATA 1.5 Gb/s
