name,part_url,bd,dvd,cd,manufacturer,part_number,form_factor,interface
I/O Magic IDVD24S,https://pcpartpicker.com/product/RwrcCJ/io-magic-optical-drive-idvd24s,,,,I/O Magic,IDVD24S,5.25,SATA 3.0 Gb/s
Samsung SH-118CB/BEBE,https://pcpartpicker.com/product/gPx9TW/samsung-optical-drive-sh118cbbebe,,18.0,48.0,Samsung,SH-118CB/BEBE,5.25,SATA 3.0 Gb/s
Lenovo 0A65618,https://pcpartpicker.com/product/7CmxFT/lenovo-optical-drive-0a65618,,,,Lenovo,0A65618,5.25,SATA 3.0 Gb/s
Samsung SH-224FB/RSMS,https://pcpartpicker.com/product/dBZ2FT/samsung-optical-drive-sh224fbrsms,,,,Samsung,SH-224FB/RSMS,5.25,SATA 6.0 Gb/s
Pioneer BDR-213EBK,https://pcpartpicker.com/product/WFWJ7P/pioneer-bdr-213ebk-bdr-213ebk,,,,Pioneer,BDR-213EBK,5.25,SATA 1.5 Gb/s
LG GH22LP21,https://pcpartpicker.com/product/FQH323/lg-optical-drive-gh22lp21,,16.0,48.0,LG,GH22LP21,5.25,PATA 100
LG GH22NS70 OEM,https://pcpartpicker.com/product/3hzv6h/lg-optical-drive-gh22ns70oem,,16.0,48.0,LG,GH22NS70 OEM,5.25,SATA 3.0 Gb/s
LG GH24LS70,https://pcpartpicker.com/product/9bPfrH/lg-optical-drive-gh24ls70,,16.0,48.0,LG,GH24LS70,5.25,SATA 3.0 Gb/s
Lite-On IHBS112-29,https://pcpartpicker.com/product/Y3YXsY/lite-on-optical-drive-ihbs11229,8.0,16.0,48.0,Lite-On,IHBS112-29,5.25,SATA 3.0 Gb/s
Lite-On iHAP122-04,https://pcpartpicker.com/product/tv9KHx/lite-on-optical-drive-ihap12204,,16.0,48.0,Lite-On,iHAP122-04,5.25,PATA 100
Lite-On iHAP222-06,https://pcpartpicker.com/product/ZVvRsY/lite-on-optical-drive-ihap22206,,16.0,48.0,Lite-On,iHAP222-06,5.25,PATA 100
Lite-On iHBS212-08,https://pcpartpicker.com/product/gVvRsY/lite-on-optical-drive-ihbs21208,8.0,16.0,48.0,Lite-On,iHBS212-08,5.25,SATA 3.0 Gb/s
Pioneer BDR-206DBKS,https://pcpartpicker.com/product/86W9TW/pioneer-optical-drive-bdr206dbks,8.0,16.0,40.0,Pioneer,BDR-206DBKS,5.25,SATA 3.0 Gb/s
Pioneer DVR-118LBK,https://pcpartpicker.com/product/m6W9TW/pioneer-optical-drive-dvr118lbk,,22.0,40.0,Pioneer,DVR-118LBK,5.25,PATA 100
Plextor PX-B940SA-11,https://pcpartpicker.com/product/tMW9TW/plextor-optical-drive-pxb940sa11,8.0,16.0,40.0,Plextor,PX-B940SA-11,5.25,SATA 3.0 Gb/s
Samsung SH-222AL,https://pcpartpicker.com/product/N8tCmG/samsung-optical-drive-sh222al,,16.0,48.0,Samsung,SH-222AL,5.25,SATA 3.0 Gb/s
Sony AD-7261S-0B,https://pcpartpicker.com/product/6GZQzy/sony-optical-drive-ad7261s0b,,16.0,48.0,Sony,AD-7261S-0B,5.25,SATA 3.0 Gb/s
Sony AD-7690H-01,https://pcpartpicker.com/product/GpPfrH/sony-optical-drive-ad7690h01,,8.0,24.0,Sony,AD-7690H-01,5.25 Slim Slot Load,SATA 3.0 Gb/s
Sony AD-7710H-01,https://pcpartpicker.com/product/VjrG3C/sony-optical-drive-ad7710h01,,8.0,24.0,Sony,AD-7710H-01,5.25 Slim,SATA 3.0 Gb/s
Sony BD-5300S-0B,https://pcpartpicker.com/product/wxBv6h/sony-optical-drive-bd5300s0b,8.0,16.0,48.0,Sony,BD-5300S-0B,5.25,SATA 3.0 Gb/s
LG UH12LS28 OEM,https://pcpartpicker.com/product/kVvRsY/lg-optical-drive-uh12ls28oem,12.0,16.0,48.0,LG,UH12LS28 OEM,5.25,SATA 3.0 Gb/s
Plextor PX-L871A,https://pcpartpicker.com/product/vBBv6h/plextor-optical-drive-pxl871a,,16.0,48.0,Plextor,PX-L871A,5.25,PATA 100
Plextor PX-L890SA,https://pcpartpicker.com/product/X4Lypg/plextor-optical-drive-pxl890sa,,16.0,48.0,Plextor,PX-L890SA,5.25,SATA 3.0 Gb/s
Sony DDU1681S-0B,https://pcpartpicker.com/product/mbPfrH/sony-optical-drive-ddu1681s0b,,18.0,48.0,Sony,DDU1681S-0B,5.25,SATA 3.0 Gb/s
Asus DRW-24B3LT/BLK/G/AS,https://pcpartpicker.com/product/dyn2FT/asus-optical-drive-drw24b3ltblkgas,,16.0,48.0,Asus,DRW-24B3LT/BLK/G/AS,5.25,SATA 3.0 Gb/s
Lite-On iHAP422-98,https://pcpartpicker.com/product/BXw323/lite-on-optical-drive-ihap42298,,16.0,48.0,Lite-On,iHAP422-98,5.25,PATA 100
Lite-On iHAS-324-98B,https://pcpartpicker.com/product/Yv9KHx/lite-on-optical-drive-ihas32498b,,16.0,48.0,Lite-On,iHAS-324-98B,5.25,SATA 3.0 Gb/s
Plextor PX-L890SA R,https://pcpartpicker.com/product/hhzv6h/plextor-optical-drive-pxl890sar,,16.0,48.0,Plextor,PX-L890SA R,5.25,SATA 3.0 Gb/s
Samsung SH-S222A,https://pcpartpicker.com/product/gv9KHx/samsung-optical-drive-shs222a,,16.0,48.0,Samsung,SH-S222A,5.25,PATA 100
Lite-On iHDP118-04,https://pcpartpicker.com/product/f8Np99/lite-on-optical-drive-ihdp11804,,18.0,48.0,Lite-On,iHDP118-04,5.25,PATA 100
Lite-On iHDP118-08,https://pcpartpicker.com/product/kLQypg/lite-on-optical-drive-ihdp11808,,18.0,48.0,Lite-On,iHDP118-08,5.25,PATA 100
Asus DRW-22B3S/BLK/G/AS,https://pcpartpicker.com/product/3RW9TW/asus-optical-drive-drw22b3sblkgas,,16.0,48.0,Asus,DRW-22B3S/BLK/G/AS,5.25,PATA 100
Asus DRW-22B2Sb/BLK/B/AS,https://pcpartpicker.com/product/ywsKHx/asus-optical-drive-drw22b2sbblkbas,,16.0,48.0,Asus,DRW-22B2Sb/BLK/B/AS,5.25,PATA 100
Lite-On iHAS524-T98A,https://pcpartpicker.com/product/6hH323/lite-on-optical-drive-ihas524t98a,,16.0,48.0,Lite-On,iHAS524-T98A,5.25,SATA 3.0 Gb/s
MSI DH-24AAS-17 R,https://pcpartpicker.com/product/Z8V48d/msi-optical-drive-dh24aas17r,,16.0,48.0,MSI,DH-24AAS-17 R,5.25,SATA 3.0 Gb/s
Lite-On DC-8A2SH,https://pcpartpicker.com/product/vKrG3C/lite-on-optical-drive-dc8a2sh,,8.0,24.0,Lite-On,DC-8A2SH,5.25 Slim Slot Load,SATA 3.0 Gb/s
Lite-On iHES208-08,https://pcpartpicker.com/product/qKrG3C/lite-on-optical-drive-ihes20808,8.0,16.0,48.0,Lite-On,iHES208-08,5.25,SATA 3.0 Gb/s
Sony BD-5750H,https://pcpartpicker.com/product/gRW9TW/sony-optical-drive-bd5750h,6.0,8.0,24.0,Sony,BD-5750H,5.25 Slim,SATA 3.0 Gb/s
Teac DV516E/S,https://pcpartpicker.com/product/xcphP6/teac-optical-drive-dv516es,,16.0,48.0,Teac,DV516E/S,5.25,PATA 100
Memorex 98240-KIT,https://pcpartpicker.com/product/2yCwrH/memorex-optical-drive-98240kit,,16.0,48.0,Memorex,98240-KIT,5.25,SATA 3.0 Gb/s
Lite-On DS-8A8SH,https://pcpartpicker.com/product/qHyFf7/lite-on-optical-drive-ds8a8sh,,8.0,24.0,Lite-On,DS-8A8SH,5.25 Slim,SATA 3.0 Gb/s
Memorex MRX-550L,https://pcpartpicker.com/product/rF2kcf/memorex-optical-drive-mrx550l,,16.0,48.0,Memorex,MRX-550L,5.25,SATA 3.0 Gb/s
Sony AD-7740H-01,https://pcpartpicker.com/product/R4bp99/sony-optical-drive-ad7740h01,,8.0,,Sony,AD-7740H-01,5.25 Slim,SATA 3.0 Gb/s
Samsung SH-222AL/RSBS,https://pcpartpicker.com/product/48V48d/samsung-optical-drive-sh222alrsbs,,16.0,48.0,Samsung,SH-222AL/RSBS,5.25,SATA 3.0 Gb/s
Samsung SH-222AL/BSBE,https://pcpartpicker.com/product/4msKHx/samsung-optical-drive-sh222albsbe,,16.0,48.0,Samsung,SH-222AL/BSBE,5.25,SATA 3.0 Gb/s
Samsung TS-HB43L/HPBHF,https://pcpartpicker.com/product/XzDwrH/samsung-optical-drive-tshb43lhpbhf,,16.0,40.0,Samsung,TS-HB43L/HPBHF,5.25,SATA 3.0 Gb/s
HP 447326-B21,https://pcpartpicker.com/product/F8Np99/hp-optical-drive-447326b21,,16.0,40.0,HP,447326-B21,5.25,SATA 3.0 Gb/s
Lite-On ihes108-29,https://pcpartpicker.com/product/BbJwrH/lite-on-optical-drive-ihes10829,8.0,16.0,48.0,Lite-On,ihes108-29,5.25,SATA 3.0 Gb/s
Lite-On iHAS324-99,https://pcpartpicker.com/product/QqvRsY/lite-on-optical-drive-ihas32499,,16.0,48.0,Lite-On,iHAS324-99,5.25,SATA 3.0 Gb/s
Lite-On iHAS524-06,https://pcpartpicker.com/product/YTLypg/lite-on-optical-drive-ihas52406,,16.0,48.0,Lite-On,iHAS524-06,5.25,SATA 3.0 Gb/s
Lite-On iHES212-08,https://pcpartpicker.com/product/4qvRsY/lite-on-optical-drive-ihes21208,12.0,16.0,48.0,Lite-On,iHES212-08,5.25,SATA 3.0 Gb/s
Sony 5280S-CB-PLUS,https://pcpartpicker.com/product/sHH323/sony-optical-drive-5280scbplus,,16.0,48.0,Sony,5280S-CB-PLUS,5.25,SATA 3.0 Gb/s
LG CH12LS28,https://pcpartpicker.com/product/vwW9TW/lg-optical-drive-ch12ls28,10.0,16.0,48.0,LG,CH12LS28,5.25,SATA 3.0 Gb/s
Pioneer BDR-207DBKS,https://pcpartpicker.com/product/qg6BD3/pioneer-optical-drive-bdr207dbks,10.0,16.0,40.0,Pioneer,BDR-207DBKS,5.25,SATA 3.0 Gb/s
Pioneer BDR-207,https://pcpartpicker.com/product/vcXfrH/pioneer-optical-drive-bdr207,10.0,16.0,40.0,Pioneer,BDR-207,5.25,SATA 3.0 Gb/s
Pioneer BDR-2207,https://pcpartpicker.com/product/ZWkD4D/pioneer-optical-drive-bdr2207,10.0,16.0,40.0,Pioneer,BDR-2207,5.25,SATA 3.0 Gb/s
LG GH24NS72,https://pcpartpicker.com/product/4YkD4D/lg-optical-drive-gh24ns72,,16.0,48.0,LG,GH24NS72,5.25,SATA 3.0 Gb/s
Lite-On IHAS324-98,https://pcpartpicker.com/product/6z3RsY/lite-on-optical-drive-ihas32498,,16.0,48.0,Lite-On,IHAS324-98,5.25,SATA 3.0 Gb/s
Lite-On IHES312-98,https://pcpartpicker.com/product/pKw323/lite-on-optical-drive-ihes31298,12.0,16.0,48.0,Lite-On,IHES312-98,5.25,SATA 3.0 Gb/s
MSI DH-24AS,https://pcpartpicker.com/product/hFV48d/msi-optical-drive-dh24as,,16.0,48.0,MSI,DH-24AS,5.25,SATA 3.0 Gb/s
Samsung SH-222BB/RSBS,https://pcpartpicker.com/product/yp6BD3/samsung-optical-drive-sh222bbrsbs,,16.0,48.0,Samsung,SH-222BB/RSBS,5.25,SATA 3.0 Gb/s
Samsung SH-224BB/RSBS,https://pcpartpicker.com/product/Y3PfrH/samsung-optical-drive-sh224bbrsbs,,16.0,48.0,Samsung,SH-224BB/RSBS,5.25,SATA 3.0 Gb/s
Lite-On DS-8A9SH-01,https://pcpartpicker.com/product/8kphP6/lite-on-optical-drive-ds8a9sh01,,8.0,24.0,Lite-On,DS-8A9SH-01,5.25 Slim,SATA 3.0 Gb/s
Pioneer BDR-208DBK,https://pcpartpicker.com/product/Kbbp99/pioneer-optical-drive-bdr208dbk,12.0,16.0,40.0,Pioneer,BDR-208DBK,5.25,SATA 3.0 Gb/s
Plextor PX-891SA-26,https://pcpartpicker.com/product/xNdqqs/plextor-optical-drive-px891sa26,,16.0,48.0,Plextor,PX-891SA-26,5.25,SATA 3.0 Gb/s
Plextor PX-891SA-28,https://pcpartpicker.com/product/k7Qypg/plextor-optical-drive-px891sa28,,16.0,48.0,Plextor,PX-891SA-28,5.25,SATA 3.0 Gb/s
LG GT80N,https://pcpartpicker.com/product/Q7K7YJ/lg-optical-drive-gt80n,,8.0,24.0,LG,GT80N,5.25 Slim,SATA 3.0 Gb/s
Samsung SH-118BB,https://pcpartpicker.com/product/ZdBv6h/samsung-optical-drive-sh118bb,,18.0,48.0,Samsung,SH-118BB,5.25,SATA 3.0 Gb/s
Samsung SN-208DB/BEBET,https://pcpartpicker.com/product/Xmbp99/samsung-optical-drive-sn208dbbebet,,8.0,24.0,Samsung,SN-208DB/BEBET,5.25 Slim,SATA 3.0 Gb/s
Supermicro DVM-TEAC-824B,https://pcpartpicker.com/product/FdBv6h/supermicro-optical-drive-dvmteac824b,,8.0,24.0,Supermicro,DVM-TEAC-824B,5.25,PATA 100
Archgon CB-5021-GB,https://pcpartpicker.com/product/wT8Zxr/archgon-optical-drive-cb5021gb,6.0,8.0,24.0,Archgon,CB-5021-GB,5.25,SATA 3.0 Gb/s
Archgon CB-5021-GD,https://pcpartpicker.com/product/D6YXsY/archgon-optical-drive-cb5021gd,,8.0,24.0,Archgon,CB-5021-GD,5.25,SATA 3.0 Gb/s
EVGA 100-OD-S101-BR,https://pcpartpicker.com/product/Zz2kcf/evga-optical-drive-100ods101br,,,,EVGA,100-OD-S101-BR,5.25 Slim Slot Load,SATA 3.0 Gb/s
Pioneer BDR-S09XLT,https://pcpartpicker.com/product/VHYXsY/pioneer-optical-drive-bdrs09xlt,,5.0,40.0,Pioneer,BDR-S09XLT,5.25,SATA 6.0 Gb/s
OcUK OcUKSATADVDRW,https://pcpartpicker.com/product/BGvRsY/ocuk-optical-drive-ocuksatadvdrw,,16.0,40.0,OcUK,OcUKSATADVDRW,5.25,SATA 3.0 Gb/s
LG GH24NSB0B,https://pcpartpicker.com/product/JRfp99/lg-optical-drive-gh24nsb0b,,16.0,48.0,LG,GH24NSB0B,5.25,SATA 3.0 Gb/s
LG CU20N,https://pcpartpicker.com/product/fNGj4D/lg-optical-drive-cu20n,6.0,8.0,24.0,LG,CU20N,5.25 Slim,SATA 3.0 Gb/s
Lenovo 41N5618,https://pcpartpicker.com/product/L9Trxr/lenovo-optical-drive-41n5618,,16.0,40.0,Lenovo,41N5618,5.25,SATA 3.0 Gb/s
Lite-On DH-4O1S-11,https://pcpartpicker.com/product/PccMnQ/lite-on-optical-drive-dh4o1s11,4.0,12.0,32.0,Lite-On,DH-4O1S-11,5.25,SATA 3.0 Gb/s
Asus BC-06B1ST,https://pcpartpicker.com/product/fPVBD3/asus-optical-drive-bc06b1st,6.0,16.0,48.0,Asus,BC-06B1ST,5.25,SATA 3.0 Gb/s
Sony AD-7200S-0B,https://pcpartpicker.com/product/GdDzK8/sony-optical-drive-ad7200s0b,,,,Sony,AD-7200S-0B,5.25,SATA 3.0 Gb/s
Teac BD-W512GSA,https://pcpartpicker.com/product/kBcMnQ/teac-optical-drive-bdw512gsa,,,,Teac,BD-W512GSA,5.25,SATA 6.0 Gb/s
Samsung SH-224FB/RSBS,https://pcpartpicker.com/product/K3bkcf/samsung-sh-224fbrsbs-dvdcd-writer-sh-224fbrsbs,,16.0,48.0,Samsung,SH-224FB/RSBS,5.25,SATA 3.0 Gb/s
Asus DRW-24F1MT,https://pcpartpicker.com/product/BZvbt6/asus-drw-24f1mt-dvdcd-writer-drw-24f1mt,,,,Asus,DRW-24F1MT,5.25,SATA 6.0 Gb/s
Samsung SN-208DB/BEBE,https://pcpartpicker.com/product/NBkD4D/samsung-sn-208dbbebe-dvdcd-writer-sn-208dbbebe,,8.0,24.0,Samsung,SN-208DB/BEBE,5.25,SATA 3.0 Gb/s
